source-and-representation-contract	generic-value-boundary	supplied-host-input-contract	returned-default-static-contract	acceptance-cells	remaining-acceptance-cells	related-gaps	schema
Nominal key carried in schema; :some(value) is taggedTuple, not Enum.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q04;Q08;Q21;QG-Atom;QN-atom-identity	Q01;QG-Atom	G25	Atom
Source declarations blockedG11; canonical enum SchemaBody/constant codec already exists below frontend.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q27;Q32	Q01;Q27;Q32	G11	Enum
Explicit None/Some of exact child schema; unresolved Empty_ is not materialized.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q02;Q08;Q21;QG-Option	Q01;QG-Option	G25	Option
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	Unit can construct empty tuple only; general tuple has no RuntimeHostInputValue variant	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q03;Q04;Q07;Q08;Q09;Q10;Q13;Q14;Q15;Q25;Q26;QG-Tuple	Q01;QG-Tuple	G06;G09;G17;G25	Tuple
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q03;Q04;Q06;Q08;QG-Record	Q01;QG-Record	G25	Record
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	Only BoolMatrix,IndexMatrix,F32Matrix,F64Matrix 2-D nonempty row-major forms; no generic element type host enum variant	2-D F32/F64 matrix only (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q02;Q03;Q06;Q08;Q09;Q10;Q25;QG-Matrix;QN-matrix-extent	Q01;QG-Matrix	G06;G17;G25	Matrix
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q03;Q04;Q06;Q08;Q12;Q13;QG-Table	Q01;QG-Table	G25	Table
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q11;Q23;QG-Set	Q01;QG-Set	G25	Set
Use the family-specific cells; operator admissibility is catalog authority and is not inferred from representation membership.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q04;Q05;Q08;Q22;Q24;QG-Map;QN-map-key	Q01;QG-Map	G25	Map
Value holds KindExpr or referenced SchemaKey; independent of scalar numeric materialization.	Canonical immutable Value + SchemaTable + SourceProgram inputs/constants/output or CanonicalSourceProgram.bind_input_constants; schema admission and exact bindings are separately qualified	No RuntimeHostInputValue input variant; use canonical Value/snapshot boundary where schema admission permits	RuntimeHostInputValue::from_numeric_value rejects this schema family (frozen implementation; this restriction requires explicit product-contract review before any widening)	Q01;Q28;Q33	Q01;Q28;Q33	G13	ReifiedType
