method	responsibility	replacement	retirement	distinctive-existing-witnesses	open-obligation	basic-probe-limit
compile_source_artifact	ordinary artifact compilation	canonical shared implementation at C	keep responsibility; adopt canonical route	compiler_entry_point_witnesses; canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode	O02: nonempty provider inputs and effects beyond answer := 42; semantic gaps apply	empty inputs/single literal do not prove the distinctive contract
compile_document_artifact	ordinary artifact compilation	canonical shared implementation at C	keep responsibility; adopt canonical route	compiler_entry_point_witnesses; canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode	O02: nonempty provider inputs and effects beyond answer := 42; semantic gaps apply	empty inputs/single literal do not prove the distinctive contract
compile_document_artifact_with_inputs	supplied planning inputs/live defaults	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_planning_values_remain_constants_and_live_defaults_are_detached; canonical_resource_defaults_do_not_create_unselected_live_observations	O02: all host-value variants and rejection paths; G05	empty inputs/single literal do not prove the distinctive contract
compile_document_artifact_with_input_initializers	supplied planning inputs/live defaults	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_planning_values_remain_constants_and_live_defaults_are_detached; canonical_resource_defaults_do_not_create_unselected_live_observations	O02: all host-value variants and rejection paths; G05	empty inputs/single literal do not prove the distinctive contract
evaluate_static_document_symbols	static projection	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_static_symbols_filter_and_detach_matrix_values; canonical_static_projection_preserves_independent_integrity_constraints	O02: input/provider projection across actual wrapper; G05 control-derived initializer	empty inputs/single literal do not prove the distinctive contract
evaluate_static_document_symbols_with_inputs	static projection	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_static_symbols_filter_and_detach_matrix_values; canonical_static_projection_preserves_independent_integrity_constraints	O02: input/provider projection across actual wrapper; G05 control-derived initializer	empty inputs/single literal do not prove the distinctive contract
compile_canonical_source_artifact	ordinary artifact compilation	canonical shared implementation at C	keep responsibility; adopt canonical route	compiler_entry_point_witnesses; canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode	O02: nonempty provider inputs and effects beyond answer := 42; semantic gaps apply	empty inputs/single literal do not prove the distinctive contract
compile_tree_artifact	ordinary artifact compilation	compile_document_artifact	G21: old tree authority remains at C	compiler_entry_point_witnesses; canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode	O02: nonempty provider inputs and effects beyond answer := 42; semantic gaps apply	empty inputs/single literal do not prove the distinctive contract
compile_tree_artifact_with_inputs	supplied planning inputs/live defaults	compile_document_artifact_with_inputs	G21: old tree authority remains at C	canonical_planning_values_remain_constants_and_live_defaults_are_detached; canonical_resource_defaults_do_not_create_unselected_live_observations	O02: all host-value variants and rejection paths; G05	empty inputs/single literal do not prove the distinctive contract
compile_tree_artifact_with_input_initializers	supplied planning inputs/live defaults	compile_document_artifact_with_input_initializers	G21: old tree authority remains at C	canonical_planning_values_remain_constants_and_live_defaults_are_detached; canonical_resource_defaults_do_not_create_unselected_live_observations	O02: all host-value variants and rejection paths; G05	empty inputs/single literal do not prove the distinctive contract
evaluate_static_tree_symbols	static projection	evaluate_static_document_symbols	G21: old tree authority remains at C	canonical_static_symbols_filter_and_detach_matrix_values; canonical_static_projection_preserves_independent_integrity_constraints	O02: input/provider projection across actual wrapper; G05 control-derived initializer	empty inputs/single literal do not prove the distinctive contract
evaluate_static_tree_symbols_with_inputs	static projection	evaluate_static_document_symbols_with_inputs	G21: old tree authority remains at C	canonical_static_symbols_filter_and_detach_matrix_values; canonical_static_projection_preserves_independent_integrity_constraints	O02: input/provider projection across actual wrapper; G05 control-derived initializer	empty inputs/single literal do not prove the distinctive contract
compile_root	resolved/rooted graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_root_keeps_resource_authority_and_dependency_errors	O02: options, grant and failure behavior through distinct wrappers	empty inputs/single literal do not prove the distinctive contract
compile_interactive_root	resolved/rooted graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_root_keeps_resource_authority_and_dependency_errors	O02: options, grant and failure behavior through distinct wrappers	empty inputs/single literal do not prove the distinctive contract
compile_roots	ordered graph	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_ordered_roots_share_prior_definitions_and_reject_invalid_edges; ordered_transitive_explicit_root_witness	G16; O02: transitive provider count, cross-root function resources, later-root rollback	empty inputs/single literal do not prove the distinctive contract
compile_mixed_source	mixed partitioning/activation	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_mixed_document_owns_partitioning_and_typed_initializers; canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers	O02: real configured complete application and method-specific context; O04; O05	empty inputs/single literal do not prove the distinctive contract
compile_mixed_document	mixed partitioning/activation	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_mixed_document_owns_partitioning_and_typed_initializers; canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers	O02: real configured complete application and method-specific context; O04; O05	empty inputs/single literal do not prove the distinctive contract
compile_mixed_tree	mixed partitioning/activation	compile_mixed_document	G21: old tree authority remains at C	canonical_mixed_document_owns_partitioning_and_typed_initializers; canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers	O02: real configured complete application and method-specific context; O04; O05	empty inputs/single literal do not prove the distinctive contract
compile_canonical_mixed_root	mixed partitioning/activation	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_mixed_document_owns_partitioning_and_typed_initializers; canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers	O02: real configured complete application and method-specific context; O04; O05	empty inputs/single literal do not prove the distinctive contract
compile_canonical_mixed_resolved_root	mixed partitioning/activation	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_mixed_document_owns_partitioning_and_typed_initializers; canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers	O02: real configured complete application and method-specific context; O04; O05	empty inputs/single literal do not prove the distinctive contract
compile_mixed_root	mixed partitioning/activation	canonical shared implementation at C	keep responsibility; adopt canonical route	canonical_mixed_document_owns_partitioning_and_typed_initializers; canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers	O02: real configured complete application and method-specific context; O04; O05	empty inputs/single literal do not prove the distinctive contract
