cell-id	consumer-id	polarity	acceptance-name	frozen-input-policy	frozen-failure-policy	production-boundary	witness-source-or-test	execution-recipe	expected-result-or-policy	current-status	evidence	evidence-head	related-gaps	qualification-package
runtime.config-profile.positive	runtime.config-profile	positive	restricted-config-values-and-defaults	raw	propagate	parse_config_document -> canonical restricted config evaluator	src/runtime/src/config/profile/lower.rs::run_paths_parse_and_lower;src/runtime/src/config/profile/lower.rs::serve_presentation_parses_and_defaults_to_document	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib run_paths_parse_and_lower -- --nocapture; cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib serve_presentation_parses_and_defaults_to_document -- --nocapture	config.run.paths [foo.mec,bar.mec] lowers in order; config.serve.presentation output lowers Output; absent presentation defaults Document. No general ProgramCompiler execution or host effects.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347		O04;O05
runtime.config-profile.negative	runtime.config-profile	negative	unknown-config-fields-not-silently-ignored	raw	propagate	parse_config_document -> canonical restricted config evaluator	src/runtime/src/config/profile/lower.rs::unknown_run_field_fails;src/runtime/src/config/profile/lower.rs::unknown_serve_presentation_fails	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib unknown_run_field_fails -- --nocapture; cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib unknown_serve_presentation_fails -- --nocapture	"config := {run: {bad: true}} rejects unknown field; config := {serve: {presentation: ""canvas""}} rejects with permitted values document/output; no partial settings accepted."	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347		O04;O05
runtime.interactive-clear.positive	runtime.interactive-clear	positive	clear-removes-complete-owned-binding	empty-literal+trimmed	propagate	ResidentReplSession::clear_variables	src/runtime/src/interactive.rs::canonical_clear_removes_definitions_assignments_and_op_assignments	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_clear_removes_definitions_assignments_and_op_assignments -- --nocapture	Starting ~x :=1; x=2; x+=1; y:=9, clearing x removes its definition and both writes and leaves exact source y := 9 newline; same-line y survives; clearing whole tuple removes its one owning declaration.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.interactive-clear.negative	runtime.interactive-clear	negative	clear-absent-or-partial-tuple-is-atomic	empty-literal+trimmed	propagate	ResidentReplSession::clear_variables	src/runtime/src/interactive.rs::canonical_clear_preserves_same_line_statements_and_tuple_ownership	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_clear_preserves_same_line_statements_and_tuple_ownership -- --nocapture	Clearing x alone from (x,y):=pair rejects and leaves exact source/state; clearing already absent x also rejects without replacing accepted source.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.interactive-replace.positive	runtime.interactive-replace	positive	replace-rewires-projection-without-replaying-state	trimmed	propagate	ResidentReplSession::replace_document / replace_source_preserving	src/runtime/src/interactive.rs::canonical_interactive_rewired_projection_uses_the_migrated_epoch	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_interactive_rewired_projection_uses_the_migrated_epoch -- --nocapture	After two extra turns a=3,b=106; replacing display:=a+10 with display:=b+10 preserves a=3,b=106 and publishes display=ans=116, not reset or replayed values.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.interactive-replace.negative	runtime.interactive-replace	negative	bad-candidate-keeps-source-and-live-matrix	trimmed	propagate	ResidentReplSession candidate activation and commit	src/runtime/src/interactive.rs::canonical_interactive_matrix_projection_and_failed_candidate_preserve_state	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_interactive_matrix_projection_and_failed_candidate_preserve_state -- --nocapture	After values=[3;4] and display=[13;14], undefined-call candidate rejects; source and snapshots unchanged; subsequent accepted step gives values=[4;5].	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.interactive-reset.positive	runtime.interactive-reset	positive	reset-restores-initial-document-once	empty-literal	propagate	ResidentReplSession::reset	src/runtime/src/interactive.rs::canonical_interactive_lifecycle_executes_only_final_streams	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_interactive_lifecycle_executes_only_final_streams -- --nocapture	Initial x:=1 activates once; submitted y then replacement x:=3 take activations to 3; reset restores exact x:=1 source and activation count 4. Empty initial session resets to valid empty canonical document.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.interactive-reset.negative	runtime.interactive-reset	negative	nonfinal-candidate-cannot-change-reset-baseline	empty-literal	propagate	ResidentReplSession finished-stream/reset lifecycle	src/runtime/src/interactive.rs::canonical_interactive_lifecycle_executes_only_final_streams	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_interactive_lifecycle_executes_only_final_streams -- --nocapture	Open submit and cancelled replacement reject; accepted source and activation count unchanged. A reset after those errors still restores initial accepted document, not cancelled bytes.	partially-tested	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution. Existing test checks refusal and counts; the additional reset-after-cancel ordering must be added explicitly.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.interactive-submit.positive	runtime.interactive-submit	positive	submit-uses-selected-ans-and-suppression	trimmed	propagate	ResidentReplSession::submit / submit_finished_stream	src/runtime/src/interactive.rs::canonical_finished_stream_preserves_pending_selection	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_finished_stream_preserves_pending_selection -- --nocapture	Selected value 40 plus submitted ans+2 produces 42, then ans+1 gives 43; exactly one source echo; semicolon suppresses inspection event but not value/state; final stream matches complete submission.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.interactive-submit.negative	runtime.interactive-submit	negative	failed-submit-preserves-selection-and-state	trimmed	propagate	ResidentReplSession::submit_without_source_echo via shared submit_prepared_entry	src/runtime/src/interactive.rs::canonical_finished_stream_preserves_pending_selection	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_finished_stream_preserves_pending_selection -- --nocapture	missing-name+ans fails while accepted source and counter remain unchanged; selected ans remains 40. Open/cancelled stream cannot enter activation.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.module-index.positive	runtime.module-index	positive	stored-source-index-retains-owner-scopes	trimmed	propagate	source_index_for_module_record_source via module build/materialize context imports	src/runtime/src/resolver/memory.rs::canonical_insertion_hands_off_root_dependencies_and_preserves_local_owners;src/runtime/tests/canonical_declaration_handoff.rs::resolved_bindings_remain_local_to_root_named_and_mika_owners	Build/store a text-only module with +> ./root.mec and Mika-local +> ./child.mec plus @env/HOME; inspect the stored CanonicalDocumentIndex and resolve imported bindings through the actual module record route.	Exactly one root dependency ./root.mec with memory:main.mec referrer; one Mika-local child import/read remains local; imported/exported value bindings are usable without flattening scopes.	partially-tested	Resolver and declaration handoff evidence passes; actual optional-Program module-index branch remains and needs direct text-only plus cached-tree-negative coverage.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.module-index.negative	runtime.module-index	negative	invalid-retained-authority-cannot-use-cached-program	trimmed	propagate	source_index_for_module_record_source -> SourceIndex for module record	src/runtime/src/runtime/module/tests/source_document_transfer.rs::invalid_canonical_authority_remains_rejected_after_module_transfer	Construct retained source with fuel=1 diagnostics; attach an available stale Program tree only as a pre-retirement regression input, then ask actual module-index/context materialization route to index it. Final deletion removes this cached-tree construction API entirely.	Invalid retained authority stays rejected before source facts/context bindings publish; no cached Program success can override its diagnostics. Module transfer must preserve invalidity.	blocked	C helper still returns SourceIndex::from_program whenever syntax_tree exists (module/mod.rs:44–49); existing transfer test has no Program and does not cover that branch.		G21	O04;O05
runtime.program-artifact.positive	runtime.program-artifact	positive	artifact-nonempty-values-and-live-defaults	trimmed	propagate	compile_document_artifact_with_inputs / with_input_initializers / static projection	src/runtime/src/runtime/program/tests.rs::canonical_static_symbols_filter_and_detach_matrix_values	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_static_symbols_filter_and_detach_matrix_values -- --nocapture	Explicit f32 matrix input/default is preserved as 2x2 values[1,2,3,4]; filtered answer projection is42; projected defaults detach from compiled artifact and become exactly one requested live input.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.program-artifact.negative	runtime.program-artifact	negative	artifact-projection-unavailable-name-does-not-alias	trimmed	propagate	evaluate_static_document_symbols_with_inputs and artifact projection	src/runtime/src/runtime/program/tests.rs::canonical_static_symbol_result_does_not_alias_the_implicit_result	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_static_symbol_result_does_not_alias_the_implicit_result -- --nocapture; cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_resource_defaults_do_not_create_unselected_live_observations -- --nocapture	Requested static symbol is resolved by its own output mapping; unknown symbol rejects instead of returning the implicit final output. Unselected resource defaults do not create live inputs.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.program-compile.positive	runtime.program-compile	positive	production-root-compiler-resolves-dependency	trimmed	propagate	ProgramCompiler::compile_root -> canonical graph/source entry	src/runtime/src/runtime/program/tests.rs::cutover_rooted_entrypoints_use_the_canonical_dependency_graph	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib cutover_rooted_entrypoints_use_the_canonical_dependency_graph -- --nocapture	dep exports41, main adds1; actual root wrapper produces output42 and one dependency, ordinary product has no interactive symbol output mapping. Explicit transitive ordered roots are separately failing G16.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G16;G21	O04;O05
runtime.program-compile.negative	runtime.program-compile	negative	compiler-missing-dependency-no-stale-reuse	trimmed	propagate	ProgramCompiler rooted source graph plus shared canonical compiler	src/runtime/src/runtime/program/tests.rs::canonical_interactive_root_keeps_resource_authority_and_dependency_errors	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_interactive_root_keeps_resource_authority_and_dependency_errors -- --nocapture	main with configured timer keeps exact resource requirement; broken root importing absent.mec rejects as missing canonical dependency; compiling valid root afterward succeeds without poisoned graph.	partially-tested	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution. Negative executes interactive canonical route; repeat ordinary public compile_root with same broken resolver source to close its exact dispatch cell.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.program-declaration-tree.positive	runtime.program-declaration-tree	positive	mixed-declarations-share-transitive-values	trimmed	propagate	compile_mixed_document / compile_canonical_mixed_root / resolved variant	src/runtime/src/runtime/program/tests.rs::canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers -- --nocapture	leaf2 -> dep3; compute x default3, coordinator activation x6; live inputs6 and10 produce outputs9 and13; root/resolved products match revisions and list both dependency stamps.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.program-declaration-tree.negative	runtime.program-declaration-tree	negative	mixed-cycle-and-multiple-regions-fail	trimmed	propagate	canonical mixed declaration partition and dependency graph	src/runtime/src/runtime/program/tests.rs::mixed_compilation_rejects_multiple_compute_regions_for_v04	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib mixed_compilation_rejects_multiple_compute_regions_for_v04 -- --nocapture; cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers -- --nocapture	Two compute regions reject under the explicit v0.4 single-region contract; a cyclic dependency root rejects and compiler subsequently handles a valid graph. No duplicate/partial coordinator effects.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.program-executable-tree.positive	runtime.program-executable-tree	positive	only-active-root-units-plan-resources	trimmed	propagate	compile_document / compile_canonical_source executable unit collector	src/runtime/src/runtime/program/tests.rs::canonical_resource_planning_excludes_inactive_document_owners	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_resource_planning_excludes_inactive_document_owners -- --nocapture	Root answer42 compiles while unavailable resource reads/sends inside named worker, disabled fence and Mika child produce zero root artifact inputs and no resource planning.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.program-executable-tree.negative	runtime.program-executable-tree	negative	active-unbound-context-rejects	trimmed	propagate	compile_document / compile_canonical_source executable unit collector	src/runtime/src/runtime/program/tests.rs::canonical_resource_planning_excludes_inactive_document_owners	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_resource_planning_excludes_inactive_document_owners -- --nocapture	Same @missing/input read at root or ordinary executable fence rejects; inactive owner exclusion must not hide actual active root failure.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.program-interactive.positive	runtime.program-interactive	positive	interactive-result-and-symbol-identity	trimmed	propagate	compile_interactive_document / canonical rooted interactive variants	src/runtime/src/runtime/program/tests.rs::canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols -- --nocapture; cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_interactive_result_identity_is_independent_of_fence_publication -- --nocapture	Resolved/rooted interactive outputs preserve document/revision and symbol names; fixture with fenced41 and ordinary42 returns program_output=ans=42, independent of fenced publication ordinal.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.program-interactive.negative	runtime.program-interactive	negative	interactive-denied-candidate-preserves-authority	trimmed	propagate	canonical interactive root and accepted-candidate lifecycle	src/runtime/src/runtime/program/tests.rs::canonical_interactive_uses_configured_resource_planning	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_interactive_uses_configured_resource_planning -- --nocapture	Denied new resource candidate keeps accepted source/state; no extra driver/effect becomes active; resource scheme/config authority is enforced while reusable compiler/session remains valid.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.program-source-tree.positive	runtime.program-source-tree	positive	compiler-retains-one-accepted-source-revision	trimmed	propagate	SourceDocument handoff through module/store/workspace into compiler	src/runtime/src/workspace/load.rs::workspace_snapshot_preserves_the_exact_accepted_source_revision	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib workspace_snapshot_preserves_the_exact_accepted_source_revision -- --nocapture	Stored value:=1 revision0 and workspace-transferred source share exact snapshot identity and raw bytes; resolved compiler records consume the retained revision.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.program-source-tree.negative	runtime.program-source-tree	negative	rejected-source-does-not-consume-accepted-revision	trimmed	propagate	SourceDocument module/store/compiler source history	src/runtime/src/runtime/module/tests/source_document_transfer.rs::successful_and_rejected_runtime_replacements_preserve_revision_history	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib successful_and_rejected_runtime_replacements_preserve_revision_history -- --nocapture	Accept value1 at revision0 and value2 at revision1; reject value:=[; next valid value3 uses revision2; earlier exact text remains readable and same document identity is retained.	recorded-pass	Exact C runtime-library run records this named test as passing; this is runtime boundary evidence, not browser/CLI execution.	e31d08260fac40bcf7982e854cc5d2623a606347	G21	O04;O05
runtime.resolver-file.positive	runtime.resolver-file	positive	file-accepted-revision	trimmed	propagate	SourceResolver for FileSourceResolver::resolve	src/runtime/src/resolver/file.rs::canonical_file_replacement_advances_revision_and_rejection_preserves_history	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_file_replacement_advances_revision_and_rejection_preserves_history -- --nocapture; repeat its calls via SourceResolver::resolve, not only resolve_canonical.	Resolve file value1 at revision0; malformed edit rejects; value2 resolves at revision1 with same document ID; original exact text remains readable; relative dependency referrers remain file URI scoped.	partially-tested	Named canonical test passed; actual resolve uses same with_source_revision(...admit_canonical_document) admission but is a separate method body. Repeat exact identity/error cases through trait entry.	e31d08260fac40bcf7982e854cc5d2623a606347		O04;O05
runtime.resolver-file.negative	runtime.resolver-file	negative	file-malformed-admission	trimmed	propagate	SourceResolver for FileSourceResolver::resolve	src/runtime/src/resolver/file.rs::canonical_file_resolution_rejects_malformed_retained_source	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib canonical_file_resolution_rejects_malformed_retained_source -- --nocapture; repeat its calls via SourceResolver::resolve, not only resolve_canonical.	Malformed value:=[ file rejects before facts are published; accepted file history unchanged. Missing path preserves resolver None/I/O policy instead of parser fallback.	partially-tested	Named canonical test passed; actual resolve uses same with_source_revision(...admit_canonical_document) admission but is a separate method body. Repeat exact identity/error cases through trait entry.	e31d08260fac40bcf7982e854cc5d2623a606347		O04;O05
