case-id	family	observed-stage	expected-stage	contract-comparison	disposition	oracle	gap-id	acceptance-gap	acceptance-cells	milestone-capability-group	milestone-positive-witness	open-obligation	witness	expected-json
numeric-u32-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u32-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u32-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u32-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u32-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u32-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u32-pow	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u32-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-u32	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-u32 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-u64	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-u64 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-u64-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u64-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u64-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u64-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u64-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u64-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u64-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u64-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u64-pow	numeric	activation	activation	pass	current-contract-probe	current-target-rejection	G02	G02		CAP-POWER	MECH_AUDIT_REQUIRE_CAPABILITY=1 MECH_AUDIT_REQUIRE_PASS=1 MECH_AUDIT_CASE=numeric-u64-pow ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses		MECH_AUDIT_CASE=numeric-u64-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-u64	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-u64 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-u128	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-u128 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-u128-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u128-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u128-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u128-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u128-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u128-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u128-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-u128-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-u128-pow	numeric	activation	activation	pass	current-contract-probe	current-target-rejection	G02	G02		CAP-POWER	MECH_AUDIT_REQUIRE_CAPABILITY=1 MECH_AUDIT_REQUIRE_PASS=1 MECH_AUDIT_CASE=numeric-u128-pow ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses		MECH_AUDIT_CASE=numeric-u128-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-u128	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-u128 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-i8	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-i8 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-i8-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i8-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i8-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i8-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i8-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i8-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i8-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i8-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i8-pow	numeric	activation	activation	pass	current-contract-probe	current-target-rejection	G02	G02		CAP-POWER	MECH_AUDIT_REQUIRE_CAPABILITY=1 MECH_AUDIT_REQUIRE_PASS=1 MECH_AUDIT_CASE=numeric-i8-pow ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses		MECH_AUDIT_CASE=numeric-i8-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-i8	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-i8 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-i16	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-i16 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-i16-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i16-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i16-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i16-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i16-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i16-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i16-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i16-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i16-pow	numeric	activation	activation	pass	current-contract-probe	current-target-rejection	G02	G02		CAP-POWER	MECH_AUDIT_REQUIRE_CAPABILITY=1 MECH_AUDIT_REQUIRE_PASS=1 MECH_AUDIT_CASE=numeric-i16-pow ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses		MECH_AUDIT_CASE=numeric-i16-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-i16	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-i16 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-i32	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-i32 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-i32-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i32-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i32-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i32-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i32-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i32-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i32-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i32-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i32-pow	numeric	activation	activation	pass	current-contract-probe	current-target-rejection	G02	G02		CAP-POWER	MECH_AUDIT_REQUIRE_CAPABILITY=1 MECH_AUDIT_REQUIRE_PASS=1 MECH_AUDIT_CASE=numeric-i32-pow ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses		MECH_AUDIT_CASE=numeric-i32-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-i32	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-i32 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-i64	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-i64 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-i64-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i64-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i64-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i64-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i64-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i64-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i64-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i64-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i64-pow	numeric	activation	activation	pass	current-contract-probe	current-target-rejection	G02	G02		CAP-POWER	MECH_AUDIT_REQUIRE_CAPABILITY=1 MECH_AUDIT_REQUIRE_PASS=1 MECH_AUDIT_CASE=numeric-i64-pow ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses		MECH_AUDIT_CASE=numeric-i64-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-i64	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-i64 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-i128	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-i128 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-i128-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i128-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i128-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i128-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i128-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i128-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i128-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-i128-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-i128-pow	numeric	activation	activation	pass	current-contract-probe	current-target-rejection	G02	G02		CAP-POWER	MECH_AUDIT_REQUIRE_CAPABILITY=1 MECH_AUDIT_REQUIRE_PASS=1 MECH_AUDIT_CASE=numeric-i128-pow ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses		MECH_AUDIT_CASE=numeric-i128-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-i128	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-i128 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-f32	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-f32 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-f32-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-f32-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-f32-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-f32-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-f32-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-f32-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-f32-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-f32-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-f32-pow	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-f32-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-f32	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-f32 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-f64	scalar	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=scalar-f64 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-f64-add	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-f64-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-f64-sub	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-f64-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-f64-mul	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-f64-mul MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-f64-div	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-f64-div MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-f64-pow	numeric	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=numeric-f64-pow MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
matrix-repeat-f64	selection	pass	pass	pass	current-contract-probe	explicit-two-turn-values							MECH_AUDIT_CASE=matrix-repeat-f64 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
scalar-c32	scalar	activation	activation	pass	current-contract-probe	current-target-rejection	G02	G02		CAP-C32	MECH_AUDIT_REQUIRE_CAPABILITY=1 MECH_AUDIT_REQUIRE_PASS=1 MECH_AUDIT_CASE=scalar-c32 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses		MECH_AUDIT_CASE=scalar-c32 MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""false""]"
numeric-c32-add	numeric	activation	activation	pass	current-contract-probe	current-target-rejection	G02	G02		CAP-C32	MECH_AUDIT_REQUIRE_CAPABILITY=1 MECH_AUDIT_REQUIRE_PASS=1 MECH_AUDIT_CASE=numeric-c32-add ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses		MECH_AUDIT_CASE=numeric-c32-add MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
numeric-c32-sub	numeric	activation	activation	pass	current-contract-probe	current-target-rejection	G02	G02		CAP-C32	MECH_AUDIT_REQUIRE_CAPABILITY=1 MECH_AUDIT_REQUIRE_PASS=1 MECH_AUDIT_CASE=numeric-c32-sub ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses		MECH_AUDIT_CASE=numeric-c32-sub MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	"[""true"", ""true""]"
