consumer-id	frozen-owner	source-path	caller	input-policy	failure-policy	candidate-route-state	evidence-boundary	positive-witness	negative-witness	related-gaps	open-obligation	final-entry
runtime.module-index	A	src/runtime/src/runtime/module/mod.rs	source_index_for_module_record_source	trimmed	propagate	canonical adapter/path present; full product qualification distinct	C canonical consumer integration suites: 134 passing; exact per-row witness below	canonical_insertion_hands_off_root_dependencies_and_preserves_local_owners: root dependency plus Mika-local index remain usable	invalid_canonical_authority_never_falls_back_to_an_available_legacy_tree: resolved and stored entry points reject		O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	CanonicalDocumentIndex::from_document through source_index_for_module_record_source
runtime.program-artifact	B	src/runtime/src/runtime/program/compiler.rs	impl ProgramCompiler::compile_source_artifact	trimmed	propagate	canonical adapter/path present; full product qualification distinct	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	canonical_planning_values_remain_constants_and_live_defaults_are_detached; canonical_static_symbols_filter_and_detach_matrix_values; matrix_declaration_defaults_become_typed_live_inputs (C)	canonical_static_symbol_result_does_not_alias_the_implicit_result; canonical_resource_defaults_do_not_create_unselected_live_observations	G21	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	compile_document_artifact; compile_document_artifact_with_inputs; compile_document_artifact_with_input_initializers; evaluate_static_document_symbols
runtime.program-compile	B	src/runtime/src/runtime/program/compiler.rs	impl <'a>ProgramCompilerView<'a>::compile_source	trimmed	propagate	canonical adapter/path present; full product qualification distinct	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; cutover_rooted_entrypoints_use_the_canonical_dependency_graph (C)	canonical_interactive_root_keeps_resource_authority_and_dependency_errors; explicit_dependency_root_plans_provider_reads_exactly_once still fails in C	G21	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	compile_canonical_root_with_options; compile_canonical_resolved_root_with_options; ordered-root canonical linker remains required
runtime.program-declaration-tree	B	src/runtime/src/runtime/program/compiler.rs	declaration_tree	trimmed	propagate	old parsing helpers removed in C; tree planning authority still present (G21)	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers; mixed_root_preserves_imports_in_coordinator_and_compute_products (C); mixed_root_inlines_user_function_graphs_into_compute_artifacts (C)	canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers: cycle rejection and compiler reuse; mixed_compilation_rejects_multiple_compute_regions_for_v04	G21	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	compile_mixed_document; compile_canonical_mixed_root; compile_canonical_mixed_resolved_root
runtime.program-executable-tree	B	src/runtime/src/runtime/program/compiler.rs	executable_tree	trimmed	propagate	old parsing helpers removed in C; tree planning authority still present (G21)	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	canonical_resource_planning_excludes_inactive_document_owners; retained_document_can_be_loaded_as_a_production_resident_program (C)	canonical resource/context admission tests pass; C source failures remain visible in the full runtime suite	G21	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	compile_document and compile_canonical_root through retained executable scopes
runtime.program-interactive	B	src/runtime/src/runtime/program/compiler.rs	impl <'a>ProgramCompilerView<'a>::compile_interactive_source	trimmed	propagate	canonical adapter/path present; full product qualification distinct	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_result_identity_is_independent_of_fence_publication	canonical_interactive_root_keeps_resource_authority_and_dependency_errors; canonical_interactive_matrix_projection_and_failed_candidate_preserve_state	G21	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	compile_interactive_document; compile_canonical_interactive_root_with_options; compile_canonical_interactive_resolved_root_with_options
runtime.program-source-tree	A	src/runtime/src/runtime/program/compiler.rs	source_tree	trimmed	propagate	old parsing helpers removed in C; tree planning authority still present (G21)	C runtime lib: 713 pass / 2 fail; G05/G19 account for failures; named witness below	workspace_snapshot_preserves_the_exact_accepted_source_revision: module/store/workspace share one accepted snapshot	successful_and_rejected_runtime_replacements_preserve_revision_history: malformed candidate cannot consume accepted revision	G21	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	SourceDocument through retained compiler source records
runtime.resolver-file	A	src/runtime/src/resolver/file.rs	impl SourceResolver for FileSourceResolver::resolve	trimmed	propagate	canonical adapter/path present; full product qualification distinct	C canonical consumer integration suites: 134 passing; exact per-row witness below	canonical_file_replacement_advances_revision_and_rejection_preserves_history: stable document identity and advancing accepted revision	canonical_file_resolution_rejects_malformed_retained_source: malformed retained files reject before admission		O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	FileSourceResolver::resolve with SourceDocument and CanonicalDocumentIndex
runtime.resolver-memory-insert	A	src/runtime/src/resolver/memory.rs	impl InMemorySourceResolver::insert_string	trimmed	propagate	canonical adapter/path present; full product qualification distinct	C canonical consumer integration suites: 134 passing; exact per-row witness below	canonical_insertion_hands_off_root_dependencies_and_preserves_local_owners: admitted source publishes usable dependency handoff	canonical_insertion_fails_closed_before_replacing_the_accepted_revision: malformed candidate leaves accepted entry intact		O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	InMemorySourceResolver::insert_string with SourceDocument strict admission
runtime.resolver-memory-with	A	src/runtime/src/resolver/memory.rs	impl InMemorySourceResolver::with_string	trimmed	omit-cache	canonical adapter/path present; full product qualification distinct	C canonical consumer integration suites: 134 passing; exact per-row witness below	canonical_builder_retains_malformed_source_without_publishing_facts: exact malformed source and diagnostics retained	canonical_builder_retains_malformed_source_without_publishing_facts: no tree, facts, dependencies or valid index published		O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	InMemorySourceResolver::with_string with retained diagnostics
serve.workspace-render	B	src/serve.rs	impl ServerSourceRegistry::sync_workspace_snapshot	raw	render-diagnostic	canonical adapter/path present; full product qualification distinct	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	configured_served_root_uses_snapshot_dependencies_and_planning_hosts; 90 ordinary server tests passed at the preceding C checkpoint	configured_served_root_uses_snapshot_dependencies_and_planning_hosts: old snapshot stable after disk edit, refreshed dependency invalidates old artifact	G22	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	ServerSourceRegistry::sync_workspace_snapshot canonical render/publication
wasm.document-capture	A	src/wasm/src/project.rs	document_runtime_tree	fixed-capture	propagate	blocked: actual C bootstrap/decoder still owns Program	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	canonical_browser_capture_keeps_hidden_disabled_named_and_mika_owners: exact owner results render in the browser adapter	canonical_browser_capture_keeps_hidden_disabled_named_and_mika_owners: hidden output is absent and stale revision results reject	G22	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	Typed document output capture through document_runtime_tree replacement
wasm.initial-repl-source	A	src/wasm/src/project.rs	impl WasmDocumentBootstrap::initial_repl_source	trimmed	format-tree-fallback	canonical adapter/path present; full product qualification distinct	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	canonical_browser_source_preserves_exact_text_and_transactional_revisions: whitespace/CRLF/Unicode source and accepted replacements preserved	canonical_browser_source_preserves_exact_text_and_transactional_revisions: malformed replacement leaves accepted revision unchanged	G22	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	WasmDocumentBootstrap::initial_repl_source from retained revision
wasm.interactive-tree	B	src/wasm/src/project.rs	impl WasmDocumentBootstrap::interactive_tree	trimmed	propagate	blocked: actual C bootstrap/decoder still owns Program	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	canonical native interactive lifecycle passes; WasmDocumentBootstrap must reach the same retained-document activation factory	canonical native rejected-candidate/state tests pass; execute the browser equivalents after factory adoption	G22	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	WasmDocumentBootstrap interactive canonical source compilation
wasm.mixed-compute-source	B	src/wasm/src/mixed_compute.rs	impl WasmMixedComputeProject::from_source	trimmed	map-js-error	canonical adapter/path present; full product qualification distinct	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	scripts/smoke-canonical-compute-browser.py; scripts/smoke-gpu-particles-browser.py: complete B particle application on real WebGPU	canonical compute successive-turn and rejected-publication regressions across CPU/SIMD/JIT/native GPU; full C browser rejection witness still required		O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	WasmMixedComputeProject::from_source through canonical mixed compiler
wasm.repl-format	A	src/wasm/src/project.rs	document::impl WasmDocument::repl_format_source	trimmed	return-none	canonical adapter/path present; full product qualification distinct	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	canonical_browser_repl_renderer_obeys_admission_contract: complete canonical root source highlights through canonical renderer	canonical_browser_repl_renderer_obeys_admission_contract: prose, incomplete, command, fence and Mika-local source return None		O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	WasmDocument::repl_format_source through canonical renderer
wasm.repl-load-documentation	B	src/wasm/src/project.rs	document::impl WasmDocument::repl_load_documentation	raw	map-js-error	blocked: actual C bootstrap/decoder still owns Program	existing prepared witness below; exact C production-boundary run untested or blocked, not implied by native tests	canonical native rendering and interactive compilation exist; actual repl_load_documentation product witness remains required	execute malformed/partial documentation rejection at the real browser boundary after transport adoption	G22	O04: run both frozen contracts at real C entry; O05 exact maintained distribution profiles	WasmDocument::repl_load_documentation canonical render and submission
