acceptance-cell	source-ledger	source-ids	primary-review-boundary	supporting-review-boundaries	owning-responsibility	related-gaps
compiler:P25	compiler-acceptance-cells.tsv	P25	E8		runtime mixed initializer shape: batched compute initializers retain outer extent and canonical values	""
compiler:P26	compiler-acceptance-cells.tsv	P26	E8		runtime mixed effect preflight: wrong coordinator payload shape rejects before provider execution	""
compiler:P27	compiler-acceptance-cells.tsv	P27	R21		runtime retirement: tree compiler APIs cease to be an independent production authority	G21
compiler:P28	compiler-acceptance-cells.tsv	P28	E6		runtime existing-runtime compiler view: shipping rooted loader uses configured runtime contracts and same decoded revision	""
compiler:P29	compiler-acceptance-cells.tsv	P29	E5		runtime detached host values: finite supplied/default/static host-value acceptance	""
compiler:P30	compiler-acceptance-cells.tsv	P30	E5		runtime planning conflicts: supplied input cannot shadow configured resource read	""
compiler:P31	compiler-acceptance-cells.tsv	P31	E6		runtime graph admission: shipping request wrapper preserves missing-root error classification	""
compiler:P32	compiler-acceptance-cells.tsv	P32	E7		runtime interactive loader: existing-runtime interactive rooted projection keeps all root symbols	""
compiler:P33	compiler-acceptance-cells.tsv	P33	E7	R22	runtime interactive candidate lifecycle: denied replacement preserves accepted live state	G22
compiler:F01	compiler-acceptance-cells.tsv	F01	E4		engine expression frontend: expression lowering preserves typed graph and retained anchors	""
compiler:F02	compiler-acceptance-cells.tsv	F02	E4		engine definition frontend: definition annotations and mutable state preserve canonical type	""
compiler:F03	compiler-acceptance-cells.tsv	F03	E4		engine admission: recovered syntax cannot produce partial semantics	""
compiler:F04	compiler-acceptance-cells.tsv	F04	E4		engine document collection: root statements compile in source order	""
compiler:F05	compiler-acceptance-cells.tsv	F05	E4		engine named document owners: named scopes are isolated and repeated fences share their owner	""
compiler:F06	compiler-acceptance-cells.tsv	F06	E4		engine named document owners: absent named owner never falls back to root	""
compiler:F07	compiler-acceptance-cells.tsv	F07	E4		engine Mika ownership: Mika body state is local to exact retained section	""
compiler:F08	compiler-acceptance-cells.tsv	F08	E4		engine named Mika ownership: named fences within Mika share only that Mika owner	""
compiler:F09	compiler-acceptance-cells.tsv	F09	E7		engine statement inspection: root statement nodes support transactional source removal	""
compiler:F10	compiler-acceptance-cells.tsv	F10	E7		engine mutation inspection: root mutation census excludes inactive owners	""
compiler:F11	compiler-acceptance-cells.tsv	F11	E4		engine source input transport: input transport names are reversible and collision-free	""
compiler:F12	compiler-acceptance-cells.tsv	F12	E4		engine source input transport: out-of-range input ordinal returns no transport name	""
compiler:F13	compiler-acceptance-cells.tsv	F13	R03		engine constant binding: fixed imported snapshot specializes inferred matrix dimensions	""
compiler:F14	compiler-acceptance-cells.tsv	F14	R03		engine constant binding: resolved dependency export seals into canonical constant	""
compiler:F15	compiler-acceptance-cells.tsv	F15	R03		engine constant binding: binding errors and input renumbering preserve all reference owners	""
compiler:F16	compiler-acceptance-cells.tsv	F16	E4		engine referenced input census: only executable references count across four source reference owners	""
compiler:F17	compiler-acceptance-cells.tsv	F17	E5		engine resource binding: replacing a middle input with resource read rewires every reference	""
compiler:F18	compiler-acceptance-cells.tsv	F18	E5		engine artifact contracts: external contract resolver owns requirement-bearing operation contracts	""
compiler:F19	compiler-acceptance-cells.tsv	F19	E5		engine schema override admission: supplied schema narrows only named inputs	""
compiler:F20	compiler-acceptance-cells.tsv	F20	E5		engine static semantic projection: static projection retains state dependencies and anchors	""
schema:Q01	schema-acceptance-cells.tsv	Q01	R03		artifact constant codec identity	""
schema:Q02	schema-acceptance-cells.tsv	Q02	R04		dynamic optional payload construction and live publication	""
schema:Q03	schema-acceptance-cells.tsv	Q03	R04		foreign dynamic payload rebinding through table join	""
schema:Q04	schema-acceptance-cells.tsv	Q04	E4		composite constructors preserve child identity and order	""
schema:Q05	schema-acceptance-cells.tsv	Q05	E3		duplicate live key rejection is atomic	""
schema:Q06	schema-acceptance-cells.tsv	Q06	E4		annotations preserve nested live matrix schemas	""
schema:Q07	schema-acceptance-cells.tsv	Q07	E4		zero-field tuple materialization	""
schema:Q08	schema-acceptance-cells.tsv	Q08	E4		contextual absence and nested optional materialization	""
schema:Q09	schema-acceptance-cells.tsv	Q09	R06		fixed-population logical-read shape contract	G17
schema:Q10	schema-acceptance-cells.tsv	Q10	E4		literal-mask selection order with changed live values	""
schema:Q11	schema-acceptance-cells.tsv	Q11	E3		set union cardinality and changed input publication	""
schema:Q12	schema-acceptance-cells.tsv	Q12	E3		table join is executed and tracks matched payload rows	""
schema:Q13	schema-acceptance-cells.tsv	Q13	E3		variable-cardinality table child propagates current row extent	""
schema:Q14	schema-acceptance-cells.tsv	Q14	E4		whole string selection preserves changed Unicode and empty input	""
schema:Q15	schema-acceptance-cells.tsv	Q15	E3		composite memory rejection preserves accepted value	""
schema:Q16	schema-acceptance-cells.tsv	Q16	E3	R02	exact c32 literal storage and c64 live arithmetic publication	G02
schema:Q17	schema-acceptance-cells.tsv	Q17	E4		large exact literals survive codec and execution	""
schema:Q18	schema-acceptance-cells.tsv	Q18	E4		signed minimum magnitude admission preserves width	""
schema:Q19	schema-acceptance-cells.tsv	Q19	E4		Id source annotation denotes canonical Id schema	""
schema:Q20	schema-acceptance-cells.tsv	Q20	E4		Index annotations survive source range construction	""
schema:Q21	schema-acceptance-cells.tsv	Q21	E4		nominal atom annotation acceptance/rejection	""
schema:Q22	schema-acceptance-cells.tsv	Q22	E3		map keyability applies equally to empty and populated values	""
schema:Q23	schema-acceptance-cells.tsv	Q23	E3		typed empty sets use same keyability rule as populated sets	""
schema:Q24	schema-acceptance-cells.tsv	Q24	E4		typed empty map materializes without unresolved entry kind	""
schema:Q25	schema-acceptance-cells.tsv	Q25	R09		composite generator destructuring into primitive bindings already executes	G06
schema:Q26	schema-acceptance-cells.tsv	Q26	R10		scalar match can publish compound output	G09
schema:Q27	schema-acceptance-cells.tsv	Q27	R13		source enum declarations and nominal variant construction	G11
schema:Q28	schema-acceptance-cells.tsv	Q28	R14		sized and scalar reified source kinds versus dimensionless constructor	G13
schema:Q29	schema-acceptance-cells.tsv	Q29	E4		dynamic-to-concrete conversion remains a positioned rejection	""
schema:Q30	schema-acceptance-cells.tsv	Q30	R03		typed Id input, generic constant binding and publication	""
schema:Q31	schema-acceptance-cells.tsv	Q31	R03		typed Index input, generic binding and range endpoints	""
schema:Q32	schema-acceptance-cells.tsv	Q32	R03	R13	generic enum snapshot artifact publication independent of source declaration	G11
schema:Q33	schema-acceptance-cells.tsv	Q33	R14		reified output exact identity	G13
schema:QT-u8	schema-acceptance-cells.tsv	QT-u8	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-u16	schema-acceptance-cells.tsv	QT-u16	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-u32	schema-acceptance-cells.tsv	QT-u32	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-u64	schema-acceptance-cells.tsv	QT-u64	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-u128	schema-acceptance-cells.tsv	QT-u128	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-i8	schema-acceptance-cells.tsv	QT-i8	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-i16	schema-acceptance-cells.tsv	QT-i16	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-i32	schema-acceptance-cells.tsv	QT-i32	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-i64	schema-acceptance-cells.tsv	QT-i64	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-i128	schema-acceptance-cells.tsv	QT-i128	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-f32	schema-acceptance-cells.tsv	QT-f32	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-f64	schema-acceptance-cells.tsv	QT-f64	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-c32	schema-acceptance-cells.tsv	QT-c32	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-c64	schema-acceptance-cells.tsv	QT-c64	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-r64	schema-acceptance-cells.tsv	QT-r64	R03		exact scalar typed-input/constant/publication identity	G25
schema:QT-bool	schema-acceptance-cells.tsv	QT-bool	R03		exact scalar typed-input/constant/publication identity	""
schema:QT-string	schema-acceptance-cells.tsv	QT-string	R03		exact scalar typed-input/constant/publication identity	""
schema:QG-Dynamic	schema-acceptance-cells.tsv	QG-Dynamic	R04		generic canonical snapshot input binding and exact publication	G26
schema:QG-Atom	schema-acceptance-cells.tsv	QG-Atom	R03		generic canonical snapshot input binding and exact publication	G25
schema:QG-Option	schema-acceptance-cells.tsv	QG-Option	R03		generic canonical snapshot input binding and exact publication	G25
schema:QG-Tuple	schema-acceptance-cells.tsv	QG-Tuple	R03		generic canonical snapshot input binding and exact publication	G25
schema:QG-Record	schema-acceptance-cells.tsv	QG-Record	R03		generic canonical snapshot input binding and exact publication	G25
schema:QG-Matrix	schema-acceptance-cells.tsv	QG-Matrix	R03		generic canonical snapshot input binding and exact publication	G25
schema:QG-Table	schema-acceptance-cells.tsv	QG-Table	R03		generic canonical snapshot input binding and exact publication	G25
schema:QG-Set	schema-acceptance-cells.tsv	QG-Set	R03		generic canonical snapshot input binding and exact publication	G25
schema:QG-Map	schema-acceptance-cells.tsv	QG-Map	R03		generic canonical snapshot input binding and exact publication	G25
schema:QN-scalar-schema	schema-acceptance-cells.tsv	QN-scalar-schema	R03		reject wrong scalar schema in Snapshot-backed lane at documented semantic boundaries	""
schema:QN-native-scalar-schema	schema-acceptance-cells.tsv	QN-native-scalar-schema	R03		reject wrong scalar schema in native Bool lane at documented semantic boundaries	""
schema:QN-atom-identity	schema-acceptance-cells.tsv	QN-atom-identity	R03		reject nominal atom identity at documented semantic boundaries	""
schema:QN-matrix-extent	schema-acceptance-cells.tsv	QN-matrix-extent	R03		reject closed matrix extent at documented semantic boundaries	""
schema:QN-map-key	schema-acceptance-cells.tsv	QN-map-key	R03		reject map key schema at documented semantic boundaries	""
rule:R01	rule-acceptance-cells.tsv	R01	R23		canonical syntax certification: 80 direct Phase 2I parse/typed-access/recovery contracts	""
rule:R02	rule-acceptance-cells.tsv	R02	E2		canonical syntax certification: 112 direct S7 document-root/dependency syntax contracts and exact 131 disposition inventory	""
rule:R03	rule-acceptance-cells.tsv	R03	R21		runtime typed REPL request parser: 17 historical grammar rows are retired document entries; current command registry owns requests	""
rule:R04	rule-acceptance-cells.tsv	R04	R23		canonical semantic certification: review shape-sensitive evidence before refreshing fingerprints	G24
rule:R05	rule-acceptance-cells.tsv	R05	E4		canonical expression lowering: precedence and parentheses across executable formula layers	""
rule:R06	rule-acceptance-cells.tsv	R06	E4		canonical literal and named-call admission: positive execution for families whose grammar certification used an expected user error	""
rule:R07	rule-acceptance-cells.tsv	R07	R09		resident comprehension baseline and lexical binding: working matrix/set generator, filter, primitive destructuring and repeated-binding filtering	""
rule:R08	rule-acceptance-cells.tsv	R08	R09		resident control retained value storage: G06 exact kind and compound comprehension payloads	G06
rule:R09	rule-acceptance-cells.tsv	R09	R11		canonical nested control graph and collection shape ownership: G07 nested comprehension and match inside comprehension	G07
rule:R10	rule-acceptance-cells.tsv	R10	R12		canonical computed-pattern evaluation: G08 expression pattern with captures and ordered filtering	G08
rule:R11	rule-acceptance-cells.tsv	R11	R10		canonical ordinary match lowering: G09 structural match patterns alongside working scalar/compound-result match	G09
rule:R12	rule-acceptance-cells.tsv	R12	R13		canonical semantic declaration environment: G10 kind aliases including use sites and declaration errors	G10
rule:R13	rule-acceptance-cells.tsv	R13	R15		canonical constrained annotation admission and language prerequisite: G12 represented range constraints cannot be silently erased	G12
rule:R14	rule-acceptance-cells.tsv	R14	R05		canonical selected assignment and resident atomic publication: G04 occurrence-ordered promoted/nested updates and rollback	G04
rule:R15	rule-acceptance-cells.tsv	R15	R08		resident downstream collection shape/layout capability; milestone scope review: G18 finite unimplemented concat/transpose consumer capability; current target rejection remains separate from completion	G18
rule:R16	rule-acceptance-cells.tsv	R16	R16		canonical tuple destructuring: typed local function outputs and destructuring admission	""
rule:R17	rule-acceptance-cells.tsv	R17	R16		canonical document function environment: working statement-bodied typed/named calls and resource scope	""
rule:R18	rule-acceptance-cells.tsv	R18	E10		canonical document scope and completed-result publication: source order, inline/fence output binding and result identity	""
rule:R19	rule-acceptance-cells.tsv	R19	E10		canonical retained document renderer: plain document, title/subtitle, paragraphs and blank-line preservation	""
rule:R20	rule-acceptance-cells.tsv	R20	E10		canonical retained document renderer with executable inline values: title front matter is presentation metadata with completed expressions	""
rule:R21	rule-acceptance-cells.tsv	R21	E10		canonical retained document inline renderer: semantic inline markup and code/link escaping	""
rule:R22	rule-acceptance-cells.tsv	R22	E10		canonical retained document block renderer: abstract, quote, prompt and six typed callouts	""
rule:R23	rule-acceptance-cells.tsv	R23	E10		canonical retained document list renderer: ordered, unordered, nested and checklist structure	""
rule:R24	rule-acceptance-cells.tsv	R24	E10		canonical retained document table renderer: Mechdown table header/body alignment; independent of executable Table value schemas	""
rule:R25	rule-acceptance-cells.tsv	R25	E10		canonical retained document figure/image renderer: figures, options and safe image attributes	""
rule:R26	rule-acceptance-cells.tsv	R26	E10		canonical retained document references renderer: citation order, safe backmatter and complete footnotes	""
rule:R27	rule-acceptance-cells.tsv	R27	E10		canonical retained document float renderer: float direction and child ownership	""
rule:R28	rule-acceptance-cells.tsv	R28	E2		canonical Mika registry, document scopes and renderer: Mika faces have registered token roles; local execution owners stay isolated	""
rule:R29	rule-acceptance-cells.tsv	R29	E10		canonical retained document fence renderer and scope collector: executable, inert, hidden and output-suppressed fences	""
rule:R30	rule-acceptance-cells.tsv	R30	E5		canonical document semantic collector: root statements, resource sends, invariants and metadata ownership	""
rule:R31	rule-acceptance-cells.tsv	R31	R03		canonical composite lowering and selection: constructors, ordered fields and exact live projection	""
rule:R32	rule-acceptance-cells.tsv	R32	E10		canonical retained inline highlight renderer: highlight variant missing from the existing mixed/inline semantic assertions	""
control:FSM01	control-acceptance-cells.tsv	FSM01	R18		A declared machine binds positional and named inputs; rejects duplicate/missing inputs, unknown machine/state, incompatible payload/output kinds and duplicate declarations at retained anchors.	G14
control:FSM02	control-acceptance-cells.tsv	FSM02	R18		State and guarded transitions select the intended branch; declaration payloads survive transitions; TrafficLight(6)=0 and Fibonacci(10)=55.	G14
control:FSM03	control-acceptance-cells.tsv	FSM03	R18		Statement/block transitions use ordinary state-candidate ordering; outputs publish only a completed successful transition.	G14
control:FSM04	control-acceptance-cells.tsv	FSM04	R18		One yield resumes without any external input; creating turn cannot also resume it.	G14
control:FSM05	control-acceptance-cells.tsv	FSM05	R18		Two yields cross two distinct later turns; no extra same-turn fixed-point resume.	G14
control:FSM06	control-acceptance-cells.tsv	FSM06	R18		Failed and discarded new yields publish neither state nor output nor durable wakeup.	G14
control:FSM07	control-acceptance-cells.tsv	FSM07	R18		A failed/discarded resumed turn preserves the earlier committed continuation; retry advances it exactly once.	G14
control:FSM08	control-acceptance-cells.tsv	FSM08	R18		Reset and replacement reject queued stale generations.	G14
control:FSM09	control-acceptance-cells.tsv	FSM09	R18		Earlier lexical binding differs from changed external input read after resume; managed composite captures remain valid.	G14
control:FSM10	control-acceptance-cells.tsv	FSM10	R18		No output means no default value; yielding preserves the last committed output until an output transition succeeds.	G14
control:FSM11	control-acceptance-cells.tsv	FSM11	R18		Duplicate wakeups coalesce; each instance resumes at most once per turn.	G14
control:FSM12	control-acceptance-cells.tsv	FSM12	R18		A repeated async chain exhausts a bounded drain while another runnable instance progresses, leaving pending work for a later drain.	G14
control:FSM13	control-acceptance-cells.tsv	FSM13	R18		Malformed typed machine/control references and excessive work/storage fail admission or the candidate without partial publication.	G14
control:ACT01	control-acceptance-cells.tsv	ACT01	R19		Load/activation does not run the scope body or advance its registers.	G15
control:ACT02	control-acceptance-cells.tsv	ACT02	R19		A trigger causes one body evaluation; sampled external changes alone cause none; the next trigger observes the latest external value.	G15
control:ACT03	control-acceptance-cells.tsv	ACT03	R19		Body-local dependent expressions see current local results, without retriggering the scope after commit.	G15
control:ACT04	control-acceptance-cells.tsv	ACT04	R19		Two register writes commit atomically; body failure/discard preserves published registers and permits retry.	G15
control:ACT05	control-acceptance-cells.tsv	ACT05	R19		First matching successful guard wins; unselected bodies do not execute failing operations.	G15
control:ACT06	control-acceptance-cells.tsv	ACT06	R19		Tuple/tagged/array/rest/repeated/computed patterns bind correct values; no bindings leak across arms or overwrite the outer binding.	G15
control:ACT07	control-acceptance-cells.tsv	ACT07	R19		Pattern expressions and called-function results sample only on trigger, using the current capture.	G15
control:ACT08	control-acceptance-cells.tsv	ACT08	R19		Nonexhaustive arms, early wildcard, incompatible repeated binding, impure guard, invalid trigger and own-trigger write reject before partial installation.	G15
control:ACT09	control-acceptance-cells.tsv	ACT09	R19		Context sends and excluded nested definitions remain positioned rejections before effects or registration.	G15
control:ACT10	control-acceptance-cells.tsv	ACT10	R19		Repeated triggers do not grow executable topology or retained capture storage; reset/replacement releases or invalidates the old owner.	G15
control:FUN01	control-acceptance-cells.tsv	FUN01	R16		Nonrecursive scalar pattern body, ordered overlapping arms and omitted-pattern wildcard body return the independently expected result.	G19
control:FUN02	control-acceptance-cells.tsv	FUN02	R16		Positional and reordered named calls bind identical typed arguments; duplicate/missing/unknown names and incompatible argument/output kinds reject at the call/definition anchor.	G19
control:FUN03	control-acceptance-cells.tsv	FUN03	R16		Tuple/array/tag patterns and lexical bindings use the shared canonical pattern owner without caller/arm binding leakage.	G19
control:FUN04	control-acceptance-cells.tsv	FUN04	R16		Nested calls in a formula return the correct value; uncalled functions neither bind inputs nor plan providers.	G19
control:FUN05	control-acceptance-cells.tsv	FUN05	R16		Any single-value function lifts elementwise over homogeneous matrices and sets under specification.mec:1089. Preserve matrix shape/order; set outputs deduplicate by canonical key relation; scalar output kind may differ from input where the result collection type is valid. Empty input and element failure publish no partial result.	G19
control:FUN06	control-acceptance-cells.tsv	FUN06	R16		A matching partial numeric function succeeds; a nonmatching call has no invented output; enum exhaustiveness is checked against declared variants.	G19
control:FUN07	control-acceptance-cells.tsv	FUN07	R17		A self-recursive base case and non-tail factorial(5)=120 run with source/bytecode agreement on subsequent turns.	G20
control:FUN08	control-acceptance-cells.tsv	FUN08	R17		Branching recursion fib(10)=55 and tail-recursive countdown terminate without graph expansion; local frames do not alias.	G20
control:FUN09	control-acceptance-cells.tsv	FUN09	R17		Excessive/nonterminating recursion exhausts one bounded work/frame budget without host-stack overflow or partial state/output publication; valid retry succeeds.	G20
control:FUN10	control-acceptance-cells.tsv	FUN10	R17		Recursive typed aggregate arguments/results obey managed storage accounting, bytecode validation and drop/abort cleanup; recursion invoked within shared control uses the same work budget.	G20
consumer:bundle-web.project.positive	consumer-acceptance-cells.tsv	bundle-web.project.positive	R22		bundle_web_project -> emitted CanonicalProgramBundle -> production browser loader	G22
consumer:bundle-web.project.negative	consumer-acceptance-cells.tsv	bundle-web.project.negative	R22		bundle_web_project producer and actual WasmDocument loader	G22
consumer:cli.compute-inline.positive	consumer-acceptance-cells.tsv	cli.compute-inline.positive	E10		compile_inline_compute_application with normal CLI RunExecutionPlan and native runtime	""
consumer:cli.compute-inline.negative	consumer-acceptance-cells.tsv	cli.compute-inline.negative	E10		compile_inline_compute_application and shipping CLI runtime	""
consumer:cli.format.positive	consumer-acceptance-cells.tsv	cli.format.positive	E10		mech format -> cli::commands::format::run	""
consumer:cli.format.negative	consumer-acceptance-cells.tsv	cli.format.negative	E10		mech format -> cli::commands::format::run	""
consumer:cli.run-classification.positive	consumer-acceptance-cells.tsv	cli.run-classification.positive	E10		mech run -> parses_as_executable_run_source	""
consumer:cli.run-classification.negative	consumer-acceptance-cells.tsv	cli.run-classification.negative	E10		parses_as_executable_run_source through the shipping command classifier	""
consumer:engine.frozen-ekf.positive	consumer-acceptance-cells.tsv	engine.frozen-ekf.positive	E4		compile_frozen_ekf_product through canonical semantic frontend	""
consumer:engine.frozen-ekf.negative	consumer-acceptance-cells.tsv	engine.frozen-ekf.negative	R23		compile_frozen_ekf_product semantic admission before activation	G23
consumer:runtime.config-profile.positive	consumer-acceptance-cells.tsv	runtime.config-profile.positive	E1		parse_config_document -> canonical restricted config evaluator	""
consumer:runtime.config-profile.negative	consumer-acceptance-cells.tsv	runtime.config-profile.negative	E1		parse_config_document -> canonical restricted config evaluator	""
consumer:runtime.interactive-clear.positive	consumer-acceptance-cells.tsv	runtime.interactive-clear.positive	R21		ResidentReplSession::clear_variables	G21
consumer:runtime.interactive-clear.negative	consumer-acceptance-cells.tsv	runtime.interactive-clear.negative	R21		ResidentReplSession::clear_variables	G21
consumer:runtime.interactive-replace.positive	consumer-acceptance-cells.tsv	runtime.interactive-replace.positive	R21		ResidentReplSession::replace_document / replace_source_preserving	G21
consumer:runtime.interactive-replace.negative	consumer-acceptance-cells.tsv	runtime.interactive-replace.negative	R21		ResidentReplSession candidate activation and commit	G21
consumer:runtime.interactive-reset.positive	consumer-acceptance-cells.tsv	runtime.interactive-reset.positive	R21		ResidentReplSession::reset	G21
consumer:runtime.interactive-reset.negative	consumer-acceptance-cells.tsv	runtime.interactive-reset.negative	R21		ResidentReplSession finished-stream/reset lifecycle	G21
consumer:runtime.interactive-submit.positive	consumer-acceptance-cells.tsv	runtime.interactive-submit.positive	R21		ResidentReplSession::submit / submit_finished_stream	G21
consumer:runtime.interactive-submit.negative	consumer-acceptance-cells.tsv	runtime.interactive-submit.negative	R21		ResidentReplSession::submit_without_source_echo via shared submit_prepared_entry	G21
consumer:runtime.module-index.positive	consumer-acceptance-cells.tsv	runtime.module-index.positive	R21		source_index_for_module_record_source via module build/materialize context imports	G21
consumer:runtime.module-index.negative	consumer-acceptance-cells.tsv	runtime.module-index.negative	R21		source_index_for_module_record_source -> SourceIndex for module record	G21
consumer:runtime.program-artifact.positive	consumer-acceptance-cells.tsv	runtime.program-artifact.positive	R21		compile_document_artifact_with_inputs / with_input_initializers / static projection	G21
consumer:runtime.program-artifact.negative	consumer-acceptance-cells.tsv	runtime.program-artifact.negative	R21		evaluate_static_document_symbols_with_inputs and artifact projection	G21
consumer:runtime.program-compile.positive	consumer-acceptance-cells.tsv	runtime.program-compile.positive	R20	R21	ProgramCompiler::compile_root -> canonical graph/source entry	G16;G21
consumer:runtime.program-compile.negative	consumer-acceptance-cells.tsv	runtime.program-compile.negative	R21		ProgramCompiler rooted source graph plus shared canonical compiler	G21
consumer:runtime.program-declaration-tree.positive	consumer-acceptance-cells.tsv	runtime.program-declaration-tree.positive	R21		compile_mixed_document / compile_canonical_mixed_root / resolved variant	G21
consumer:runtime.program-declaration-tree.negative	consumer-acceptance-cells.tsv	runtime.program-declaration-tree.negative	R21		canonical mixed declaration partition and dependency graph	G21
consumer:runtime.program-executable-tree.positive	consumer-acceptance-cells.tsv	runtime.program-executable-tree.positive	R21		compile_document / compile_canonical_source executable unit collector	G21
consumer:runtime.program-executable-tree.negative	consumer-acceptance-cells.tsv	runtime.program-executable-tree.negative	R21		compile_document / compile_canonical_source executable unit collector	G21
consumer:runtime.program-interactive.positive	consumer-acceptance-cells.tsv	runtime.program-interactive.positive	R21		compile_interactive_document / canonical rooted interactive variants	G21
consumer:runtime.program-interactive.negative	consumer-acceptance-cells.tsv	runtime.program-interactive.negative	R21		canonical interactive root and accepted-candidate lifecycle	G21
consumer:runtime.program-source-tree.positive	consumer-acceptance-cells.tsv	runtime.program-source-tree.positive	R21		SourceDocument handoff through module/store/workspace into compiler	G21
consumer:runtime.program-source-tree.negative	consumer-acceptance-cells.tsv	runtime.program-source-tree.negative	R21		SourceDocument module/store/compiler source history	G21
consumer:runtime.resolver-file.positive	consumer-acceptance-cells.tsv	runtime.resolver-file.positive	R21		SourceResolver for FileSourceResolver::resolve	""
consumer:runtime.resolver-file.negative	consumer-acceptance-cells.tsv	runtime.resolver-file.negative	R21		SourceResolver for FileSourceResolver::resolve	""
consumer:runtime.resolver-memory-insert.positive	consumer-acceptance-cells.tsv	runtime.resolver-memory-insert.positive	R21		InMemorySourceResolver::insert_string	""
consumer:runtime.resolver-memory-insert.negative	consumer-acceptance-cells.tsv	runtime.resolver-memory-insert.negative	R21		InMemorySourceResolver::insert_string	""
consumer:runtime.resolver-memory-with.positive	consumer-acceptance-cells.tsv	runtime.resolver-memory-with.positive	R21		InMemorySourceResolver::with_string	""
consumer:runtime.resolver-memory-with.negative	consumer-acceptance-cells.tsv	runtime.resolver-memory-with.negative	R21		InMemorySourceResolver::with_string	""
consumer:serve.workspace-render.positive	consumer-acceptance-cells.tsv	serve.workspace-render.positive	R22		ServerSourceRegistry::sync_workspace_snapshot -> HTTP routes -> document controller	G22
consumer:serve.workspace-render.negative	consumer-acceptance-cells.tsv	serve.workspace-render.negative	R22		ServerSourceRegistry::sync_workspace_snapshot and actual HTTP/controller publication	G22
