cell-id	owning-layer	responsibility	positive-witness-json	negative-or-boundary-witness-json	expected-result	evidence-status	related-gaps	proof-limit
R11	canonical ordinary match lowering	G09 structural match patterns alongside working scalar/compound-result match	"{""source"":""(1, 2) ? | (x, y) => x + y | * => 0\n"",""expected"":3,""tests"":[{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""matching_executes_patterns_guards_and_bound_arm_results""},{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""match_publishes_the_selected_compound_result_across_turns""}]}"	"{""source"":""(1, 2) ? | (x, x) => 99 | * => 0\n"",""expected"":0,""construction"":""Repeat existing structured-pattern tuple/array/tagged cases as ordinary match subjects; a mismatching repeated binding must fall through without leaking partial bindings.""}"	Structural tuple match returns3; repeated binding mismatch returns0; working scalar inputs0,4,-2 yield10,5,-1; compound result retains exact tuple schema.	recorded-match-tuple-lowering-failure;paired-ordinary-structural-match-tests-required	G09	Ordinary match acceptance is independent of function partial-match policy FUN06 and activation exhaustive-arm policy ACT08.
R12	canonical semantic declaration environment	G10 kind aliases including use sites and declaration errors	"{""source"":""<count> := <u8>\nx<count> := 1\nx\n"",""expected"":""U8(1) with the canonical u8 schema; alias name does not create a second numeric authority""}"	"{""sources"":[""<count> := <u8>\n<count> := <f64>\n"",""<a> := <b>\n<b> := <a>\n"",""<count> := <not-declared>\n""],""expected"":""duplicate name, cyclic alias and unknown referenced kind reject at the offending declaration/reference; no partial type environment publishes""}"	Alias resolves through the canonical type environment and transports exact type/value through bytecode; declaration errors remain source anchored.	recorded-KindDefine-lowering-rejection;paired-declaration-tests-required	G10	Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R13	canonical constrained annotation admission and language prerequisite	G12 represented range constraints cannot be silently erased	"{""test"":{""path"":""src/engine/tests/canonical_source_semantics.rs"",""test"":""semantic_kind_edges_are_resolved_before_graph_emission""},""source"":""x := 2<u8:1..10?>\nx\n"",""observation-log"":""/private/tmp/mech-syntax-qualification/s8-audit-constraint-contract.log"",""observed-stage"":""lowering"",""observed-code"":""source-semantics/unsupported-kind-constraint""}"	"{""test"":{""path"":""src/engine/tests/canonical_source_semantics.rs"",""test"":""semantic_kind_edges_are_resolved_before_graph_emission""},""boundary"":""The unconstrained optional1<u8?> has an exact Option<U8> success oracle in the surrounding kind tests; constrained1<u8:1..10?> currently rejects unsupported-kind-constraint.""}"	The corrected document form passes syntax/index and reaches lowering, which rejects source-semantics/unsupported-kind-constraint as the existing constrained-expression test requires. This is a reproduced missing language-contract prerequisite, not a completed constrained-type family.	recorded-corrected-document-lowering-rejection;contract-design-prerequisite	G12	This records honest current admission only. Final constrained semantics require the six explicit decisions in CONTRACT-DECISIONS-TYPES.md; no invented interval enforcement or permanent exclusion.
R14	canonical selected assignment and resident atomic publication	G04 occurrence-ordered promoted/nested updates and rollback	"{""fixtures"":[""mixed-repeated"",""nested-repeated""],""fixture-file"":""tests/fixtures/s8-replacement-audit/semantic-cases.json"",""expected"":[""true then false"",""true then false""],""test"":{""path"":""src/engine/tests/canonical_document_state.rs"",""test"":""repeated_matrix_compound_selectors_accumulate_in_occurrence_order""}}"	"{""tests"":[{""path"":""src/engine/tests/canonical_document_state.rs"",""test"":""assignment_errors_are_anchored_to_the_target_or_value""},{""path"":""src/engine/tests/canonical_document_state.rs"",""test"":""repeated_compound_overflow_rejects_without_publishing_and_valid_retry_succeeds""}]}"	Repeated target occurrences accumulate even through promotion/nested selectors; unknown, immutable and incompatible targets reject at exact anchor; overflow leaves epoch/state unchanged and retry publishes123.	recorded-wrong-result-for-two-fixtures;existing-negative-tests-source-inspected	G04	Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R15	resident downstream collection shape/layout capability; milestone scope review	G18 finite unimplemented concat/transpose consumer capability; current target rejection remains separate from completion	"{""source"":""xs := [1 2]\ny := [x | x <- xs]\n[y y]\n"",""expected"":""Matrix<f64>[1,2,1,2] shape1x4 on both turns, in source and decoded artifact"",""changing-source"":""y := [x | x <- signal<[f64]:1,2>, x > 0]\n[y y]\n"",""changing-inputs"":[[1,2],[-1,2],[-1,-2]],""changing-expected"":{""values"":[[1,2,1,2],[2,2],[]],""concat-shapes"":[[1,4],[1,2],[1,0]],""transpose-shapes"":[[2,1],[1,1],[0,1]]},""existing-fixed-layout-test"":{""path"":""src/engine/src/resident/numeric.rs"",""test"":""admitted_matrix_families_execute_dense_and_snapshot_layouts""},""existing-producer-test"":{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""comprehension_executes_generator_filter_and_yield""}}"	"{""current-target-source"":""xs := [1 2]\ny := [x | x <- xs]\n[y y]\n"",""current-observation"":""Pure direct activation returns KernelBind node1 UnsupportedLayout. This is permitted current-target rejection, not evidence of late production preflight."",""actual-loader-recipe"":""Compile the canonical document to ProgramArtifact. In a fresh empty MechRuntime invoke load_compiled_program; in a second fresh runtime invoke matching load_bytecode_program. Observe SemanticUnsupported before any instance or active program is installed. loading.rs:402 already invokes target preflight; this exact source-specific loader test has not been run. Replacement preservation is a separate interactive consumer contract, not permission to load over an occupied program slot."",""capability-negative"":""Incompatible concat common axes, invalid captured child schema, and exhausted output budget must preserve prior values, shapes and epoch.""}"	Retain the explicit positive source/decoded values and changing-cardinality shapes as finite unimplemented capability acceptance for scope review. Record safe current fixed-target rejection separately. Neither factory absence nor that rejection authorizes a milestone exclusion; a scope decision or positive implementation result must close the retained item.	observed-current-target-unavailable;finite-unimplemented-capability-retained-for-scope-review	G18	CONTROL-TARGET-RECONCILIATION.md distinguishes current physical limits, safe pure activation/loader preflight, and milestone coverage. No demonstrated late-rejection defect and no accepted G18 milestone exclusion. Positive requirements remain reviewable; implementation freeze continues.
R16	canonical tuple destructuring	typed local function outputs and destructuring admission	"{""test"":{""path"":""src/runtime/src/runtime/program/tests.rs"",""test"":""canonical_tuple_destructure_consumes_local_function_outputs""}}"	"{""test"":{""path"":""src/runtime/src/runtime/program/tests.rs"",""test"":""canonical_tuple_destructure_consumes_local_function_outputs""}}"	pair(20f32) destructures20,22 and static answer42f32; scalar RHS, arity mismatch, duplicate binding, and binding collision reject.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R17	canonical document function environment	working statement-bodied typed/named calls and resource scope	"{""test"":{""path"":""src/runtime/src/runtime/program/tests.rs"",""test"":""canonical_document_functions_inline_typed_named_calls_without_leaking_bindings""}}"	"{""tests"":[{""path"":""src/runtime/src/runtime/program/tests.rs"",""test"":""canonical_functions_do_not_capture_caller_symbols_or_existing_inputs""},{""path"":""src/runtime/src/runtime/program/tests.rs"",""test"":""canonical_uncalled_functions_do_not_bind_resource_inputs""}]}"	Typed/named statement calls produce their declared result without leaking bindings; caller symbols are not accidental closure inputs, and uncalled functions bind no resources.	existing-exact-test-source-inspected;not-rerun		Statement-body evidence cannot certify blocked pattern bodies/recursion; those remain FUN cells.
R18	canonical document scope and completed-result publication	source order, inline/fence output binding and result identity	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_outputs.rs"",""test"":""inline_and_fence_results_keep_their_source_order_versions""},{""path"":""src/runtime/tests/canonical_document_outputs.rs"",""test"":""fenced_definitions_share_root_scope_without_flattening_child_or_disabled_scopes""}]}"	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""renderer_rejects_results_from_another_document_owner""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""renderer_rejects_results_from_an_older_document_revision""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""renderer_rejects_duplicate_results_for_one_presentation_slot""}]}"	In-place results retain source versions and selected execution scope; stale/wrong-owner/duplicate presentation results reject before rendering.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R19	canonical retained document renderer	plain document, title/subtitle, paragraphs and blank-line preservation	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""renderer_preserves_title_subtitle_and_plain_document_structure""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""text_renderer_preserves_retained_blank_lines""}]}"	"{""test"":{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""renderer_preserves_title_subtitle_and_plain_document_structure""},""boundary"":""Body A & B. renders escaped A &amp; B.; title underline separators must not appear in semantic HTML.""}"	Headings and paragraphs render their exact semantic elements, plain text remains escaped, and text rendering preserves both blank lines and source ordering.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R20	canonical retained document renderer with executable inline values	title front matter is presentation metadata with completed expressions	"{""test"":{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""title_front_matter_is_semantic_and_uses_completed_inline_results""}}"	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""source_body_preserves_front_matter_without_duplicate_framing""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""renderer_rejects_results_from_an_older_document_revision""}]}"	Title Result Report, author Ada and value42 render once; {answer} and = framing do not leak; stale results reject.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R21	canonical retained document inline renderer	semantic inline markup and code/link escaping	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""retained_inline_markup_uses_semantic_elements_without_delimiters""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""raw_hyperlinks_and_inline_code_use_semantic_html""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""shared_mixed_document_fixture_is_rendered_without_dropping_nodes""}]}"	"{""test"":{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""renderer_rejects_active_script_hyperlinks""},""boundary"":""Raw source markup delimiters do not leak into semantic HTML; javascript: links reject at their retained range.""}"	Emphasis, strong, underline, strike and inline code use semantic escaped elements; safe links preserve URL; markup/source boundaries do not execute active URL content.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R22	canonical retained document block renderer	abstract, quote, prompt and six typed callouts	"{""test"":{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""retained_rich_document_nodes_use_semantic_html_containers""}}"	"{""construction"":""Take each of the exact nine block fixtures exercised by that test and replace its payload text with A < B & C; assert the same block container with A &lt; B &amp; C and no raw HTML tags."",""expected"":""Container remains unchanged; payload remains inert escaped text.""}"	Each retained block renders its named HTML container and all payload paragraphs; paired escaping matrix closes the exact nine block variants.	existing-positive-tests;explicit-nine-block-escaping-pair-required		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R23	canonical retained document list renderer	ordered, unordered, nested and checklist structure	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""retained_lists_use_semantic_html_without_source_markers""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""ordered_lists_preserve_their_authored_start_and_item_values""}]}"	"{""test"":{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""retained_lists_use_semantic_html_without_source_markers""},""boundary"":""Unchecked item must lack checked attribute; checked item includes disabled checked; source markers must not leak.""}"	List HTML preserves start3 and item5, continuation paragraphs, semantic list items and checked/unchecked state; author markers disappear only from semantic HTML.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R24	canonical retained document table renderer	Mechdown table header/body alignment; independent of executable Table value schemas	"{""test"":{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""table_alignment_is_projected_to_header_and_body_cells""}}"	"{""construction"":""Use the exact accepted mechdown-table fixture; change one alignment separator from :- to -: and assert that column changes both th and td from mech-align-left to mech-align-right, with unchanged cell text. Use :-: and - for center and no-alignment cells; expected classes are mech-align-center and default mech-align-left respectively, per document_render.rs:1117-1131.""}"	Declared alignment maps consistently to header and body; syntax wrapper rows create no engine Table value or resident operation.	existing-left/right-test;explicit-center/none-and-changed-alignment-pair-required		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R25	canonical retained document figure/image renderer	figures, options and safe image attributes	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""retained_images_render_with_safe_escaped_attributes_and_captions""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""figure_grids_preserve_panel_labels_and_combined_caption""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""image_options_are_safely_whitelisted_into_presentation_attributes""}]}"	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""renderer_rejects_active_script_image_sources""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""image_options_are_safely_whitelisted_into_presentation_attributes""}]}"	Panels a/b/c and combined caption remain ordered; image URL/alt escape quotes and ampersands; supported size/alignment render; onclick/style injection is omitted; javascript: source rejects.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R26	canonical retained document references renderer	citation order, safe backmatter and complete footnotes	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""citations_are_numbered_and_deferred_to_link_safe_backmatter""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""retained_footnotes_preserve_every_paragraph""}]}"	"{""test"":{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""citation_numbers_and_backmatter_follow_first_reference_order""},""boundary"":""Definitions ordered beta/alpha must still number alpha1/beta2 when source references are alpha then beta.""}"	Backmatter follows body and first reference order; safe external links carry noopener/noreferrer; footnote retains every paragraph.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R27	canonical retained document float renderer	float direction and child ownership	"{""test"":{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""floats_preserve_left_and_right_direction""}}"	"{""test"":{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""floats_preserve_left_and_right_direction""},""boundary"":""Opposite sigil must switch mech-float-left to mech-float-right without dropping its image.""}"	<<: left.png renders left float; :>> right.png renders right float; each retains its own image.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R28	canonical Mika registry, document scopes and renderer	Mika faces have registered token roles; local execution owners stay isolated	"{""tests"":[{""path"":""src/syntax/tests/canonical_s7_document_certification.rs"",""test"":""mika_expression_inner_accepts_only_registered_triples""},{""path"":""src/syntax/tests/canonical_document_root.rs"",""test"":""mika_glyph_roles_are_determined_by_position""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""retained_document_renders_root_named_and_mika_results_in_place""}],""sources"":[""╭◉╮"",""(◉◯◉)""]}"	"{""tests"":[{""path"":""src/runtime/tests/source_document.rs"",""test"":""disabled_mika_source_is_retained_but_cannot_publish_an_index""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""visible_mika_root_programs_require_their_owner_result""}]}"	Registered Mika forms parse with canonical face roles, including ◉ eye/nose positions; disabled scope retains source but publishes no index; visible executable Mika requires its own completed scope result.	existing-exact-tests-source-inspected;not-rerun		Face components are registry/typed syntax roles, not separate numeric evaluators. F07/F08 own isolation/named scope compilation.
R29	canonical retained document fence renderer and scope collector	executable, inert, hidden and output-suppressed fences	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""inert_fences_preserve_their_language_for_highlighting""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""hidden_and_output_suppressed_fences_do_not_leak_the_program_result""}]}"	"{""tests"":[{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""visible_executable_fences_require_their_owner_result""},{""path"":""src/runtime/tests/canonical_document_outputs.rs"",""test"":""colonless_named_and_disabled_fences_do_not_execute_in_root_scope""}]}"	Rust fence retains language; hidden source visibility and output:false suppression are respected; named/disabled owners never execute as root; visible executable fence without result rejects.	existing-exact-test-source-inspected;not-rerun		Existing test assertions are the oracle; rerun at the corrective PR head. Source inspection is not a passing result.
R30	canonical document semantic collector	root statements, resource sends, invariants and metadata ownership	"{""tests"":[{""path"":""src/runtime/src/runtime/program/tests.rs"",""test"":""canonical_trailing_resource_send_preserves_implicit_result""},{""path"":""src/runtime/src/runtime/program/tests.rs"",""test"":""canonical_fizzbuzz_preserves_constraints_and_presentation_through_bytecode""},{""path"":""src/runtime/tests/canonical_document_render.rs"",""test"":""metadata_only_documents_do_not_require_program_results""}]}"	"{""test"":{""path"":""src/runtime/src/runtime/program/tests.rs"",""test"":""canonical_interactive_resource_planning_does_not_execute_host_effects""},""boundary"":""Host/resource planning is pure; disabled or unselected owner cannot contribute executable observations.""}"	Metadata-only imports/contexts need no render result; trailing send preserves result; invariants retain queryable identity across bytecode; planning performs zero host effects.	existing-exact-tests-source-inspected;not-rerun		Effect execution authorization and browser/CLI adoption remain the linked compiler/consumer cells; this is not a replacement authority.
R31	canonical composite lowering and selection	constructors, ordered fields and exact live projection	"{""tests"":[{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""nested_structured_values_execute_and_preserve_field_column_and_key_order""},{""path"":""src/engine/tests/canonical_source_completion.rs"",""test"":""selection_reads_live_matrix_values_in_canonical_order""}]}"	"{""test"":{""path"":""src/engine/tests/canonical_source_review.rs"",""test"":""contextual_composite_empty_rejects_incompatible_values_at_their_source""}}"	Nested record/table/map/tuple fields and selection order remain exact through changed inputs; incompatible contextual empty composite rejects at its source.	existing-exact-tests-source-inspected;not-rerun		Complete schema bindings are QT/QG/Q cells, and constructors/operators are catalog cells; one composite fixture does not certify every supported shape.
R32	canonical retained inline highlight renderer	highlight variant missing from the existing mixed/inline semantic assertions	"{""source"":""!!marked!!\n"",""expected"":""<mark class='mech-highlight'>marked</mark>; no !! delimiters""}"	"{""source"":""!!A < B & C!!\n"",""expected"":""<mark class='mech-highlight'>A &lt; B &amp; C</mark>; no raw !! markers""}"	Canonical document parse+render_html retains the highlight element and escapes its content; source formatting preserves original delimiters.	explicit-paired-highlight-test-required		document_render.rs:1493-1500 and1651-1652 specify mark/mech-highlight. This is an explicit test obligation for existing implementation, not a demonstrated lowering defect.
