schemas	responsibility	source-or-value-construction	expected-result	evidence-status	witness-source	witness-test	witness-command	evidence-head	related-gaps	proof-limit	cell-id
Set;FloatingPoint	set union cardinality and changed input publication	{signal<f64>} ∪ {2}; signal1,2,3; constant union counterpart.	Both source/decoded outputs canonical sorted sets[1,2],[2],[2,3]; cardinality updates without duplicate elements.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_collections.rs:207	set_union_roundtrip_executes_canonical_values_and_changed_inputs	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_collections set_union_roundtrip_executes_canonical_values_and_changed_inputs -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q11
Table;UnsignedInteger;FloatingPoint	table join is executed and tracks matched payload rows	u8 join key left rows1,2 and right rows1,3; right f64 payloadsignal3 then9.	Decoded artifact publishes only matched row key1,left7,right3 then9; rejects passthrough/cross-product/cached-result interpretations.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_completion.rs:124	table_join_has_real_resident_output_after_artifact_roundtrip	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_completion table_join_has_real_resident_output_after_artifact_roundtrip -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q12
Table;Tuple;UnsignedInteger	variable-cardinality table child propagates current row extent	Tuple of u8 table join andtrue; key1 then2 then1.	Direct/decoded publication yields table row counts1,0,1; closed tuple child schema matches current table rows.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:1087	composite_current_join_row_shapes_reach_nested_tuple_outputs	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures composite_current_join_row_shapes_reach_nested_tuple_outputs -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		This demonstrates table cardinality propagation; it does not prove comprehension-to-concat layout G18.	Q13
String;Tuple	whole string selection preserves changed Unicode and empty input	(signal<string>,signal[:]); inputs empty, a👩🏽‍💻é, changed.	Both direct/decoded tuple fields are ValueData::String with exact input text each turn.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_review.rs:1163	whole_string_select_all_preserves_changed_unicode_and_empty_values	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_review whole_string_select_all_preserves_changed_unicode_and_empty_values -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q14
String;Tuple	composite memory rejection preserves accepted value	(signal<string>,true); before string; over-budget large string; after string.	Direct/decoded over-budget turn rejects; prior schema key,shape and value remain; valid retry publishes after.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:1336	composite_memory_admission_failure_preserves_publication_and_recovers	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures composite_memory_admission_failure_preserves_publication_and_recovers -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q15
Complex	exact c32 literal storage and c64 live arithmetic publication	1+2i<c32>; signal<c64>+1<c64>; signal<c64>*2<c64>; signals(3,2),(5,2).	Direct/decoded preflight and execution preserve ValueData::Complex32(1,2) literal; c64 outputs exact real/imaginary arithmetic for both turns.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_review.rs:1463	resident_supports_c32_literal_storage_and_c64_arithmetic_execution	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_review resident_supports_c32_literal_storage_and_c64_arithmetic_execution -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G02	c32 arithmetic is not exercised by c32 literal storage; no numeric power/matmul claim.	Q16
SignedInteger;Rational64	large exact literals survive codec and execution	Hex literals0xf64,0xf32,0xc32,-0xf64; large signed/unsigned rational numerator and denominator reduce to-1/1 and1/1.	Decoded artifact returns exact I64/Rational64 ValueDataDraft twice, avoiding f64 coercion.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_structures.rs:764	hexadecimal_and_large_rational_values_survive_artifact_roundtrip_and_execution	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_structures hexadecimal_and_large_rational_values_survive_artifact_roundtrip_and_execution -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q17
SignedInteger	signed minimum magnitude admission preserves width	-128<i8>,-32768<i16>,-2147483648<i32>,-9223372036854775808<i64>,i128::MIN; parenthesized andhex i8 alternatives.	Decoded constant ValueDataDraft exactly each signed-width MIN; unary sign is admitted before positive magnitude overflow.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_review.rs:1972	review_signed_minima_decode_before_positive_magnitude_admission	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_review review_signed_minima_decode_before_positive_magnitude_admission -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		Constant codec only; not live input/state publication.	Q18
Id	Id source annotation denotes canonical Id schema	signal<id>; x<id> := signal<id>.	Semantic output SchemaBody::Id and artifact construction succeed.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_review.rs:904	latest_review_id_annotations_use_the_canonical_id_schema	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_review latest_review_id_annotations_use_the_canonical_id_schema -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		No resident input/publication or constant-binding evidence; Q30 covers those concrete missing cells.	Q19
Index	Index annotations survive source range construction	lo<ix>..hi<ix> from semantic_annotations_follow_value_roles_and_lexical_scope.	All source inputs have SchemaBody::Index; range output is Matrix<Index>; artifact constructs.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_semantics.rs:1307	semantic_annotations_follow_value_roles_and_lexical_scope	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_semantics semantic_annotations_follow_value_roles_and_lexical_scope -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		No live endpoint execution in this subcase; Q31 specifies input/publication and zero-index rejection.	Q20
Atom;Option	nominal atom annotation acceptance/rejection	Accept :ready<:ready>, :ready<:ready?>,:ready<*?>; reject :ready<:other>,:ready<:other?>,:ready<u8>.	Accepted Atom/Option artifacts stable through codec; mismatched nominal/numeric annotations give incompatible-literal-kind.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_review.rs:1628	review_atom_annotations_keep_exact_nominal_identity	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_review review_atom_annotations_keep_exact_nominal_identity -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		Nominal data is represented by schema key, not a textual runtime payload.	Q21
Map;Complex	map keyability applies equally to empty and populated values	Empty/populated c32/c64 keys; empty u8/bool/string keys withc64 values.	Complex keys consistently reject non-keyable-map-key-kind atsource; c64 values remain legal with keyable key type.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_review.rs:1941	review_empty_maps_enforce_the_same_keyability_as_populated_maps	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_review review_empty_maps_enforce_the_same_keyability_as_populated_maps -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q22
Set;Complex	typed empty sets use same keyability rule as populated sets	Empty sets annotatedu8,bool,string; annotatedc32/c64; untyped (1,{}).	Typed keyable sets execute decoded artifact for2turns; complex element sets reject positioned non-keyable-set-element-kind; untyped empty rejects unresolved-set-element-kind.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_review.rs:2045	review_annotated_empty_sets_execute_and_share_keyability_admission	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_review review_annotated_empty_sets_execute_and_share_keyability_admission -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q23
Map	typed empty map materializes without unresolved entry kind	x<{u8:bool}> := {:}; untyped (1,{:}).	Decoded artifact executes empty map twice; untyped empty gives positioned unresolved-map-entry-kind.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_review.rs:1903	review_annotated_empty_map_roundtrips_and_executes	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_review review_annotated_empty_map_roundtrips_and_executes -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q24
Tuple;Matrix;FloatingPoint	composite generator destructuring into primitive bindings already executes	[x+y | (x,y)<-signal<[(f64,f64)]:1,2>]; repeated variable tuple andarray patterns.	Live snapshot tuple/array children bind f64 variables; matching sums update3,7 ->10,7; unequal repeated components filter out.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_completion.rs:348	structured_patterns_read_live_components_and_reject_partial_matches	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_completion structured_patterns_read_live_components_and_reject_partial_matches -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G06	Composite input destructuring exists. G06 is composite retained binding/yield storage, not proof that all tuple pattern input is absent.	Q25
Tuple;FloatingPoint;Bool	scalar match can publish compound output	signal<f64> ? |0=>(1,true)|*=>(2,false); signal0,4,0.	Decoded artifact publishes exact tuple values(1,true),(2,false),(1,true).	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_completion.rs:247	match_publishes_the_selected_compound_result_across_turns	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_completion match_publishes_the_selected_compound_result_across_turns -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G09	Compound arm result support does not establish structural scrutinee pattern support.	Q26
Enum	source enum declarations and nominal variant construction	<color> := Red | Green; x := :Red; x.	Frozen document lowering rejects EnumDefine; acceptance requires canonical nominal enum declaration/variant identity and payload schema.	observed-source-family-gap			MECH_AUDIT_CASE=enum-declaration MECH_AUDIT_REQUIRE_PASS=1 ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G11	Q01 codec enum constant is constructed below frontend and cannot close this gap.	Q27
ReifiedType	sized and scalar reified source kinds versus dimensionless constructor	<u8>; <[f64]>; use reified-kind and reified-inferred-matrix semantic fixtures.	Scalar kind executes with source/bytecode agreement only; dimensionless matrix reification currently rejects. Contract decisionG13 owns whether an unsized value-independent type is admitted.	observed-equivalence-and-contract-gap			MECH_AUDIT_CASE=reified-kind ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G13	No independent expected reified ValueData/KindExpr assertion in semantic fixtures; Q33 defines that exact obligation.	Q28
Dynamic	dynamic-to-concrete conversion remains a positioned rejection	set/equals(signal<*>,{1}) and set/disjoint(signal<*>,{1}); corresponding inferred concrete Set inputs execute positive cases.	Explicit Dynamic operand rejects unsupported-dynamic-conversion; inferred concrete set operands match their positive equals/disjoint results over1,2,1.	existing-test-recorded-B-suite-pass	src/engine/tests/canonical_source_review.rs:2162	review_all_set_relations_infer_either_peer_and_execute	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_source_review review_all_set_relations_infer_either_peer_and_execute -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae		Negative assertion is direct in this test; boxing preserves concrete payload rather than enabling unchecked downcast.	Q29
Id	typed Id input, generic constant binding and publication	Compile x := signal<id>; construct ValueDataDraft::Id7 then9 from input schema; bind input0 toId7 separately.	Direct/decoded identity program publishes Id7 then9 preserving SchemaBody::Id; binding produces zero inputs and output Id7; mismatched String snapshot rejects. No Id variant is added to RuntimeHostInputValue.	untested-specific-boundary-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae			Q30
Index	typed Index input, generic binding and range endpoints	Compile x := signal<ix>; canonical snapshots Index1 and2; bindinput0 toIndex1; bind lo<ix>..hi<ix> endpoints1,3 as constants before activation; host Index0 negative.	Direct/decoded identity output is Index1 then2; constant-bound range endpoints yield typed Index matrix; live endpoints retain existing activation-fixed range rejection; Index0 rejects canonical/host validation.	untested-specific-boundary-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		Host pointer-width input and portable shape/index width must remain distinct.	Q31
Enum	generic enum snapshot artifact publication independent of source declaration	Take Q01 Enum{key=test/enum,variantpayload:f64}, construct output constant ordinal0,payload9 then alternate input snapshot payload10; invalidordinal1 and wrongpayloadbool negatives.	SourceProgram/artifact input or constant path preserves exact nominal enum key,ordinal,payload through bytecode and copiedoutput; invalid ordinal/schema rejects beforepublication.	untested-specific-boundary-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae	G11	This generic artifact witness cannot substitute for source enum declaration closureQ27.	Q32
ReifiedType	reified output exact identity	Compile known-admitted <u8>; separately Q01 direct ValueDataDraft::Type::Schema(recordkey) and Type::Kind(Tuple[Id,Index]); publish them via generic artifact constant outputs.	Assert exact ReifiedType ValueData/KindExpr for source<u8>; generic schema form retains referenced record SchemaKey aftercodec/publication; generic tuple kind preserves Id/Index components.	untested-specific-boundary-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae	G13	The dimensionless reified matrix policy is G13 and does not block exact scalar type-kind witness.	Q33
UnsignedInteger	exact scalar typed-input/constant/publication identity	Compile x := signal<u8>; construct canonical input snapshots U8(1),U8(2); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact u8 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:315	exact_scalar_u8	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_u8 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-u8
UnsignedInteger	exact scalar typed-input/constant/publication identity	Compile x := signal<u16>; construct canonical input snapshots U16(1),U16(2); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact u16 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:324	exact_scalar_u16	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_u16 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-u16
UnsignedInteger	exact scalar typed-input/constant/publication identity	Compile x := signal<u32>; construct canonical input snapshots U32(1),U32(2); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact u32 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:333	exact_scalar_u32	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_u32 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-u32
UnsignedInteger	exact scalar typed-input/constant/publication identity	Compile x := signal<u64>; construct canonical input snapshots U64(1),U64(2); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact u64 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:342	exact_scalar_u64	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_u64 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-u64
UnsignedInteger	exact scalar typed-input/constant/publication identity	Compile x := signal<u128>; construct canonical input snapshots U128(1),U128(2); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact u128 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:351	exact_scalar_u128	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_u128 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-u128
SignedInteger	exact scalar typed-input/constant/publication identity	Compile x := signal<i8>; construct canonical input snapshots I8(1),I8(2); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact i8 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:360	exact_scalar_i8	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_i8 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-i8
SignedInteger	exact scalar typed-input/constant/publication identity	Compile x := signal<i16>; construct canonical input snapshots I16(1),I16(2); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact i16 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:369	exact_scalar_i16	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_i16 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-i16
SignedInteger	exact scalar typed-input/constant/publication identity	Compile x := signal<i32>; construct canonical input snapshots I32(1),I32(2); activate direct+decoded; separately bind input0 tofirst snapshot.	Copied output keeps exact i32 schema width and ValueData tag/value on2turns; constantbound copy has0inputs and same exactvalue.	observed-defect-bound-artifact-bytecode	src/runtime/tests/s8_replacement_schema_audit.rs:378	exact_scalar_i32	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_schema_audit exact_scalar_i32 -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G25	s8-audit-schema-final.log: live source/decoded and bound-source publication all pass on two turns; bound-bytecode decoding rejects NonCanonicalSchemaId expected0 found1. One shared append-only schema ordering/remap defect across23 cells. Decoded bound execution is blocked by G25, not credited. Independent canonical Value boundary only.	QT-i32
