cell_id	gap	source_json	existing_exact_test	fixture_ids	expected_behavior	current_status	status_reason	execution_protocol	observed-fixture-stage	observation-log
FSM11	G14	"""#Async(value<f64>) => <f64>\n  | :first(value<f64>)\n  | :second(value<f64>)\n  | :done(value<f64>).\n#Async(value) -> :first(value)\n  :first(x) ~> :second(x + 1)\n  :second(x) ~> :done(x + 1)\n  :done(x) => x.\nresult := #Async(40)\nresult\n"""			Duplicate wakeups coalesce; each instance resumes at most once per turn.	blocked	Canonical behavior not qualified; blocked by G14. Explicit specification; blocked by G14.	Use actual runtime scheduler and host-input turn control; assert committed-turn/publication/generation counters, prepare/abort/retry and drain effects from expected_behavior. Plain two-turn artifact harness is insufficient.		""
FSM12	G14	"""#Async(value<f64>) => <f64>\n  | :first(value<f64>)\n  | :second(value<f64>)\n  | :done(value<f64>).\n#Async(value) -> :first(value)\n  :first(x) ~> :second(x + 1)\n  :second(x) ~> :done(x + 1)\n  :done(x) => x.\nresult := #Async(40)\nresult\n"""			A repeated async chain exhausts a bounded drain while another runnable instance progresses, leaving pending work for a later drain.	blocked	Canonical behavior not qualified; blocked by G14. Explicit specification; blocked by G14.	Use actual runtime scheduler and host-input turn control; assert committed-turn/publication/generation counters, prepare/abort/retry and drain effects from expected_behavior. Plain two-turn artifact harness is insufficient.		""
FSM13	G14	"""#Async(value<f64>) => <f64>\n  | :first(value<f64>)\n  | :second(value<f64>)\n  | :done(value<f64>).\n#Async(value) -> :first(value)\n  :first(x) ~> :second(x + 1)\n  :second(x) ~> :done(x + 1)\n  :done(x) => x.\nresult := #Async(40)\nresult\n"""			Malformed typed machine/control references and excessive work/storage fail admission or the candidate without partial publication.	blocked	Canonical behavior not qualified; blocked by G14. Existing artifact/turn memory authorities; new FSM representation is not present.	Use actual runtime scheduler and host-input turn control; assert committed-turn/publication/generation counters, prepare/abort/retry and drain effects from expected_behavior. Plain two-turn artifact harness is insufficient.		""
ACT01	G15	"""tick := 0\n~x := 0\n~> tick { x = x + 1 }\nx\n"""	src/engine/src/statements/tests/activation_scope.rs::activation_scope_does_not_execute_during_load	activation-stable-no-trigger;activation-pattern-no-trigger	Load/activation does not run the scope body or advance its registers.	blocked	Strict source/index admitted; recorded lowering rejection at G15 owning collector/body. Canonical behavior not qualified; blocked by G15. `activation_scope_does_not_execute_during_load` (185).	Port observable assertions from exact test to retained document + resident host packets; no execution at load, explicit trigger changes, sample-only changes, prepare/discard/retry and publication checks. Old interpreter test is oracle evidence only.	activation-stable-no-trigger:lowering;activation-pattern-no-trigger:lowering	/private/tmp/mech-syntax-qualification/s8-audit-contract-probes.log
ACT02	G15	"""tick := 0\n~x := 0\n~> tick { x = x + 1 }\nx\n"""	src/engine/src/statements/tests/activation_scope.rs::activation_scope_samples_latest_external_value	activation-stable-no-trigger	A trigger causes one body evaluation; sampled external changes alone cause none; the next trigger observes the latest external value.	blocked	Strict source/index admitted; recorded lowering rejection at G15 owning collector/body. Canonical behavior not qualified; blocked by G15. tests at 207,221,263,287,298.	Port observable assertions from exact test to retained document + resident host packets; no execution at load, explicit trigger changes, sample-only changes, prepare/discard/retry and publication checks. Old interpreter test is oracle evidence only.	activation-stable-no-trigger:lowering	/private/tmp/mech-syntax-qualification/s8-audit-contract-probes.log
ACT03	G15	"""tick := 0\n~x := 0\n~> tick { x = x + 1 }\nx\n"""	src/engine/src/statements/tests/activation_scope.rs::activation_scope_register_commit_does_not_reactivate_body		Body-local dependent expressions see current local results, without retriggering the scope after commit.	blocked	Canonical behavior not qualified; blocked by G15. tests at 245,343.	Port observable assertions from exact test to retained document + resident host packets; no execution at load, explicit trigger changes, sample-only changes, prepare/discard/retry and publication checks. Old interpreter test is oracle evidence only.		""
ACT04	G15	"""tick := 0\n~x := 0\n~> tick { x = x + 1 }\nx\n"""	src/engine/src/statements/tests/activation_scope.rs::activation_scope_registers_commit_atomically		Two register writes commit atomically; body failure/discard preserves published registers and permits retry.	blocked	Canonical behavior not qualified; blocked by G15. test at 328; candidate failure contract; failure/discard resident port still owed.	Port observable assertions from exact test to retained document + resident host packets; no execution at load, explicit trigger changes, sample-only changes, prepare/discard/retry and publication checks. Old interpreter test is oracle evidence only.		""
ACT05	G15	"""event := (3, 4)\n~selected := 0\n~> event\n  | (x, y) => { selected = x * 10 + y }\n  | * => { selected = -1 }\nselected\n"""	src/engine/src/statements/tests/activation_scope.rs::patterned_activation_guards_dispatch_in_order_without_growing_the_plan	activation-pattern-no-trigger	First matching successful guard wins; unselected bodies do not execute failing operations.	blocked	Strict source/index admitted; recorded lowering rejection at G15 owning collector/body. Canonical behavior not qualified; blocked by G15. tests at 585,616 with expected 120,205,-1 and retained -1 after failure.	Port observable assertions from exact test to retained document + resident host packets; no execution at load, explicit trigger changes, sample-only changes, prepare/discard/retry and publication checks. Old interpreter test is oracle evidence only.	activation-pattern-no-trigger:lowering	/private/tmp/mech-syntax-qualification/s8-audit-contract-probes.log
ACT06	G15	"""event := (3, 4)\n~selected := 0\n~> event\n  | (x, y) => { selected = x * 10 + y }\n  | * => { selected = -1 }\nselected\n"""	src/engine/src/statements/tests/activation_scope.rs::patterned_activation_permanent_pattern_forms_dispatch_without_topology_growth	activation-pattern-no-trigger	Tuple/tagged/array/rest/repeated/computed patterns bind correct values; no bindings leak across arms or overwrite the outer binding.	blocked	Strict source/index admitted; recorded lowering rejection at G15 owning collector/body. Canonical behavior not qualified; blocked by G15. tests at 515,559,914,1074; depends on G06/G08/G09/G11.	Port observable assertions from exact test to retained document + resident host packets; no execution at load, explicit trigger changes, sample-only changes, prepare/discard/retry and publication checks. Old interpreter test is oracle evidence only.	activation-pattern-no-trigger:lowering	/private/tmp/mech-syntax-qualification/s8-audit-contract-probes.log
ACT07	G15	"""tick := 0\n~x := 0\n~> tick { x = x + 1 }\nx\n"""	src/engine/src/statements/tests/activation_scope.rs::patterned_activation_samples_current_user_function_output_on_trigger		Pattern expressions and called-function results sample only on trigger, using the current capture.	blocked	Canonical behavior not qualified; blocked by G15. tests at 1100,1140; depends on G19.	Port observable assertions from exact test to retained document + resident host packets; no execution at load, explicit trigger changes, sample-only changes, prepare/discard/retry and publication checks. Old interpreter test is oracle evidence only.		""
ACT08	G15	"""tick := 0\n~x := 0\n~> tick { x = x + 1 }\nx\n"""	src/engine/src/statements/tests/activation_scope.rs::patterned_activation_exhaustiveness_rules_are_preserved_canonically		Nonexhaustive arms, early wildcard, incompatible repeated binding, impure guard, invalid trigger and own-trigger write reject before partial installation.	blocked	Canonical behavior not qualified; blocked by G15. tests at 395,428,446,465,653,757,824,883 and stable-reference check.	Port observable assertions from exact test to retained document + resident host packets; no execution at load, explicit trigger changes, sample-only changes, prepare/discard/retry and publication checks. Old interpreter test is oracle evidence only.		""
ACT09	G15	"""tick := 0\n@out := cli://stdout{:write}\n~> tick { @out <- \""forbidden\"" }\n"""	src/engine/src/mechdown.rs::validate_activation_body;docs/design/archive/gate-e2-closeout.md:61		Context sends and excluded nested definitions remain positioned rejections before effects or registration.	blocked	Canonical behavior not qualified; blocked by G15. explicit E2 target contract and preflight source checks.	Compile with configured stdout capability; require positioned activation-scope context-send rejection and zero provider deliveries before/after error. Repeat with nested activation and prohibited declarations.		""
ACT10	G15	"""tick := 0\n~x := 0\n~> tick { x = x + 1 }\nx\n"""	src/engine/src/statements/tests/activation_scope.rs::activation_scope_plan_is_stable_across_triggers		Repeated triggers do not grow executable topology or retained capture storage; reset/replacement releases or invalidates the old owner.	blocked	Canonical behavior not qualified; blocked by G15. tests at 548,559,585,914 plus resident lifecycle contract; storage/lifecycle port still owed.	Port observable assertions from exact test to retained document + resident host packets; no execution at load, explicit trigger changes, sample-only changes, prepare/discard/retry and publication checks. Old interpreter test is oracle evidence only.		""
FUN01	G19	"""first(n<f64>) => <f64>\n  | n => 42\n  | * => 99.\nfirst(7)\n"""	tests/fixtures/s8-replacement-audit/semantic-cases.json#pattern-function	function-pattern-first-match	Nonrecursive scalar pattern body, ordered overlapping arms and omitted-pattern wildcard body return the independently expected result.	blocked	Strict source/index admitted; recorded lowering rejection at G19 owning collector/body. Canonical behavior not qualified; blocked by G19. G19; current `pattern-function` expects 3 on both turns.	Compile retained document, decode artifact, execute source and decoded with independent expected values on two turns.	function-pattern-first-match:lowering	/private/tmp/mech-syntax-qualification/s8-audit-contract-probes.log
FUN02	G19	"""plus(x<f64>, y<f64>) => <f64>\n  | (x, y) => x + y.\nplus(y: 2, x: 40)\n"""	src/runtime/src/runtime/program/tests.rs::canonical_document_functions_inline_typed_named_calls_without_leaking_bindings		Positional and reordered named calls bind identical typed arguments; duplicate/missing/unknown names and incompatible argument/output kinds reject at the call/definition anchor.	blocked	Canonical behavior not qualified; blocked by G19. G19; existing `canonical_document_functions_inline_typed_named_calls_without_leaking_bindings` is statement-body evidence only.	Require 42 on each source/decoded turn. Derive explicit negative calls plus(), plus(x:1,x:2), plus(wrong:1,y:2), plus(true,2); assert retained call/argument anchors and no effects.		""
FUN03	G19	"""sum(pair<(f64, f64)>) => <f64>\n  | (x, y) => x + y.\nx := 99\nresult := sum((1, 2))\nresult == 3 && x == 99\n"""			Tuple/array/tag patterns and lexical bindings use the shared canonical pattern owner without caller/arm binding leakage.	blocked	Canonical behavior not qualified; blocked by G19. G19 + G06/G09/G11.	Require true on source/decoded turns and no caller/arm binding leakage. Parameterize tuple, array/rest, nominal variant and repeated-binding patterns from shared closed pattern census.		""
FUN04	G19	"""twice(x<f64>) => <f64>\n  | x => x * 2.\nanswer := twice(twice(10)) + 2\nanswer\n"""	src/runtime/src/runtime/program/tests.rs::canonical_uncalled_functions_do_not_bind_resource_inputs		Nested calls in a formula return the correct value; uncalled functions neither bind inputs nor plan providers.	blocked	Canonical behavior not qualified; blocked by G19. G19; existing statement-body/resource tests at runtime/program/tests.rs:5521,5603,5629,6002.	Require 42 twice through source/bytecode. Port canonical_uncalled_functions_do_not_bind_resource_inputs to pattern-body functions; provider plan/read/effect counts remain zero for uncalled body.		""
FUN05	G19	"""twice(n<f64>) => <f64>\n  | n => n * 2.\nb := twice([1 2 3; 4 5 6])\nb[1,1] == 2 && b[1,3] == 6 && b[2,1] == 8 && b[2,3] == 12\n"""		function-pattern-broadcast-matrix	Any single-value function lifts elementwise over homogeneous matrices and sets under specification.mec:1089. Preserve matrix shape/order; set outputs deduplicate by canonical key relation; scalar output kind may differ from input where the result collection type is valid. Empty input and element failure publish no partial result.	blocked	Corrected matrix broadcast source passes syntax/index and hits G19 unsupported-function-body. Earlier single-& indexing failure was a fixture mistake, retained only as history. Set lifting, differing output kind, empty collection and keyability boundaries remain the explicit blocked cases in this cell.	Run the corrected non-square-matrix probe; add independent cases twice({1,2,3}) == {2,4,6}, positive([-1 0 2]) == [false false true] for positive(n<f64>)=bool n>0, and empty matrix/set. Use the closed schema/keyability rejection contract for invalid result element kinds; no multi-argument broadcast inferred.	function-pattern-broadcast-matrix: lowering/source-semantics/unsupported-function-body (corrected && source)	/private/tmp/mech-syntax-qualification/s8-audit-reconciled-contract-probes.log
FUN06	G19	"""only-zero(n<f64>) => <f64>\n  | 0 => 42.\nonly-zero(0)\n"""		function-pattern-partial-match	A matching partial numeric function succeeds; a nonmatching call has no invented output; enum exhaustiveness is checked against declared variants.	blocked	Strict source/index admitted; recorded lowering rejection at G19 owning collector/body. Canonical behavior not qualified; blocked by G19. G19 + G11; source contract and old defined-output behavior.	Compile retained document, decode artifact, execute source and decoded with independent expected values on two turns.	function-pattern-partial-match:lowering	/private/tmp/mech-syntax-qualification/s8-audit-contract-probes.log
FUN07	G20	"""f(n<f64>) => <f64>\n  | n => n.\nf(1)\n"""	tests/fixtures/s8-replacement-audit/semantic-cases.json#factorial;tests/fixtures/s8-replacement-audit/semantic-cases.json#statement-recursion		A self-recursive base case and non-tail factorial(5)=120 run with source/bytecode agreement on subsequent turns.	blocked	Canonical behavior not qualified; blocked by G20. G20; `factorial` and `statement-recursion` explicitly expect 120,120.	Compile retained document, decode artifact, execute source and decoded with independent expected values on two turns.		""
FUN08	G20	"""fib(n<f64>) => <f64>\n  | 0 => 0\n  | 1 => 1\n  | n => fib(n - 1) + fib(n - 2).\nfib(10)\n"""		function-branching-recursion;function-tail-recursion	Branching recursion fib(10)=55 and tail-recursive countdown terminate without graph expansion; local frames do not alias.	blocked	Strict source/index admitted; recorded lowering rejection at G19 pattern-function body, before recursive execution can be tested. Canonical behavior not qualified; blocked by G20. G20; reference Fibonacci; runtime architecture acceptance still owed.	Compile retained document, decode artifact, execute source and decoded with independent expected values on two turns.	function-branching-recursion:lowering;function-tail-recursion:lowering	/private/tmp/mech-syntax-qualification/s8-audit-contract-probes.log
FUN09	G20	"""loop(n<f64>) => <f64>\n  | n => loop(n).\nloop(1)\n"""			Excessive/nonterminating recursion exhausts one bounded work/frame budget without host-stack overflow or partial state/output publication; valid retry succeeds.	blocked	Canonical behavior not qualified; blocked by G20. G20; shared resident budget/publication contract, not an arbitrary eight-call language limit.	Use resident artifact with bounded work/frame/payload admission and prepared-candidate abort/retry; inspect published output/state and retained memory counters after failure.		""
FUN10	G20	"""carry(n<f64>, pair<(f64, f64)>) => <(f64, f64)>\n  | (0, pair) => pair\n  | (n, pair) => carry(n - 1, pair).\ncarry(3, (1, 2))\n"""			Recursive typed aggregate arguments/results obey managed storage accounting, bytecode validation and drop/abort cleanup; recursion invoked within shared control uses the same work budget.	blocked	Canonical behavior not qualified; blocked by G20. G20 + structural value/control owners; acceptance untested.	Use resident artifact with bounded work/frame/payload admission and prepared-candidate abort/retry; inspect published output/state and retained memory counters after failure.		""
