inventory	rule	declared-disposition	witness	behavior-evidence	related-gaps	open-obligation	acceptance-boundary
phase-2i	l6	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	l7	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	literal	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	map	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	mapping	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	match-arm	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	matrix	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	matrix-column	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	matrix-comprehension	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G06;G07;G08;G18	O06	rule membership alone does not certify all semantic uses
phase-2i	matrix-row	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	negate-factor	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	not-factor	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	parenthetical-term	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	pattern	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G06;G08;G09	O06	rule membership alone does not certify all semantic uses
phase-2i	pattern-array	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G06;G08;G09	O06	rule membership alone does not certify all semantic uses
phase-2i	pattern-array-item	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G06;G08;G09	O06	rule membership alone does not certify all semantic uses
phase-2i	pattern-array-token	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G06;G08;G09	O06	rule membership alone does not certify all semantic uses
phase-2i	pattern-atom-struct	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G06;G08;G09	O06	rule membership alone does not certify all semantic uses
phase-2i	pattern-tuple	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G06;G08;G09	O06	rule membership alone does not certify all semantic uses
phase-2i	pattern-tuple-struct	compile-time	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G06;G08;G09	O06	rule membership alone does not certify all semantic uses
phase-2i	range-expression	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G24	O06	rule membership alone does not certify all semantic uses
phase-2i	range-subscript	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	record	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	regular-table	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	set	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	set-comprehension	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G06;G07;G08;G18	O06	rule membership alone does not certify all semantic uses
phase-2i	slice	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)	G24	O06	rule membership alone does not certify all semantic uses
phase-2i	structure	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	subscript	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	table	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	table-header	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	table-row	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	table-row2	structural	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
phase-2i	tuple	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	tuple-struct	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	var	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
phase-2i	variable-define	executable	canonical_phase_2i_certification::certification_table_executes_every_direct_accept_reject_and_recovery_case	canonical_phase_2i_semantic_certification::every_semantic_rule_meets_its_required_witness_outcome (artifact construction, not resident execution)		O06	rule membership alone does not certify all semantic uses
s7	abstract-el	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	activation-arm	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G15	O06	rule membership alone does not certify all semantic uses
s7	activation-scope	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G15	O06	rule membership alone does not certify all semantic uses
s7	alignment-separator	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	body	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	cd-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	center-alignment	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	check-list	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	check-list-item	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	checked-item	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	citation	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	clc-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	clear-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	code-block	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	code-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	code-terminal	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	context-send	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	docs-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	emphasis	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	empty-paragraph	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	enum-define	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G11	O06	rule membership alone does not certify all semantic uses
s7	enum-variant	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G11	O06	rule membership alone does not certify all semantic uses
s7	enum-variant-inline-kind	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G11	O06	rule membership alone does not certify all semantic uses
s7	enum-variant-kind	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G11	O06	rule membership alone does not certify all semantic uses
s7	error-block	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	eval-inline-mech-code	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	figure-item	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	figures	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	figures-row	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	float	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	float-sigil	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	footnote	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	fsm	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-arm	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-block-transition	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-comment-arm	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-declare	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-guard	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-guard-arm	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-implementation	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-specification	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-state-definition	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-state-definition-variables	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-statement-transition	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	fsm-transition	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G14	O06	rule membership alone does not certify all semantic uses
s7	function-arg	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	function-define	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G19;G20	O06	rule membership alone does not certify all semantic uses
s7	function-define-match-arms	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G19;G20	O06	rule membership alone does not certify all semantic uses
s7	function-define-statements	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	function-match-arm	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only	G19;G20	O06	rule membership alone does not certify all semantic uses
s7	function-out-arg	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	function-out-args	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	help-rpl	historical-command	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only			excluded from document execution; preserve separate command contract
s7	highlight	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
s7	hyperlink	document-dependency	canonical_s7_document_certification::s7_dispositions_cover_the_exact_remaining_inventory	structural/syntax inventory only		O06	rule membership alone does not certify all semantic uses
