inventory	rule	declared-disposition	control-acceptance-cells	acceptance-cells	responsibility-class	owning-layer	related-gaps	current-control-status	syntax-evidence	accepted-source-json	rejected-source-json	recovery-source-json	semantic-certification-outcome	command-positive-json	command-negative-json	coverage-boundary
phase-2i	fancy-table-header	structural		rule:R31;schema:Q04;schema:Q12	structural-table-syntax	canonical Table schema and constructor owner		not-a-control-qualification-row	rule:R01	"""a│"""	"""]a│"""	"""a"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	field	compile-time		schema:Q04;schema:Q06;schema:Q08	compile-time-field-schema	canonical record/table schema admission		not-a-control-qualification-row	rule:R01	"""a<u8>"""	"""}a<u8>"""	"""a<u8"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	formula	executable		rule:R05;compiler:F01	expression-grouping	canonical precedence lowering; operand operation owns execution		not-a-control-qualification-row	rule:R01	"""1 + 2"""	""")1 + 2"""	"""1 +"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	formula-subscript	structural		rule:R31;schema:Q09;schema:Q10;schema:Q14;catalog:C15	structural-selector	canonical selection lowering and resident selection contracts	G17	not-a-control-qualification-row	rule:R01	"""1 + 2"""	"""]1 + 2"""	"""1 +"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	fsm-args	structural	FSM01	control:FSM01	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R01	"""(1, x: 2)"""	"""}(1, x: 2)"""	"""(1"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	fsm-async-transition	structural	FSM04;FSM05;FSM06;FSM07;FSM08;FSM09;FSM10;FSM11;FSM12	control:FSM04;control:FSM05;control:FSM06;control:FSM07;control:FSM08;control:FSM09;control:FSM10;control:FSM11;control:FSM12	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R01	"""~> :next"""	""")~> :next"""	"""~>"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	fsm-instance	structural	FSM01;FSM08;FSM09;FSM10	control:FSM01;control:FSM08;control:FSM09;control:FSM10	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R01	"""#machine(1)"""	"""]#machine(1)"""	"""#machine("""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	fsm-output	structural	FSM02;FSM03;FSM10	control:FSM02;control:FSM03;control:FSM10	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R01	"""=> :value"""	"""}=> :value"""	"""=>"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	fsm-pipe	executable	FSM01;FSM02;FSM04;FSM05;FSM06;FSM07;FSM08;FSM09;FSM10;FSM11;FSM12;FSM13	control:FSM01;control:FSM02;control:FSM04;control:FSM05;control:FSM06;control:FSM07;control:FSM08;control:FSM09;control:FSM10;control:FSM11;control:FSM12;control:FSM13	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R01	"""#machine -> :next => :value"""	""")#machine -> :next => :value"""	"""#machine ->"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	fsm-state-transition	structural	FSM01;FSM02;FSM03	control:FSM01;control:FSM02;control:FSM03	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R01	"""-> :next"""	"""]-> :next"""	"""->"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	fsm-value	structural	FSM01;FSM09;FSM13	control:FSM01;control:FSM09;control:FSM13	control-structure	canonical FSM declaration/continuation owner	G14	blocked	rule:R01	""":value"""	"""}:value"""	"""\""unterminated"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	function-call	executable	FUN01;FUN02;FUN04;FUN05;FUN07;FUN08;FUN09;FUN10	rule:R06;rule:R17;catalog:C01;catalog:C02;catalog:C03;catalog:C04;catalog:C05;catalog:C06;catalog:C07;catalog:C08;catalog:C09;catalog:C10;catalog:C11;catalog:C12;catalog:C13;catalog:C14;catalog:C15;catalog:C16;catalog:C17;catalog:C18;catalog:C19;catalog:C20;catalog:C21;catalog:C22;catalog:C23;catalog:C24;catalog:C25;catalog:C26;catalog:C27;catalog:C28;catalog:C29;catalog:C30;catalog:C31;catalog:C32;catalog:C33;catalog:C34;control:FUN01;control:FUN02;control:FUN04;control:FUN05;control:FUN07;control:FUN08;control:FUN09;control:FUN10	executable-call-dispatch	canonical function environment, user-function body and configured catalog admission	G19;G20	blocked	rule:R01	"""foo(1)"""	""")foo(1)"""	"""foo("""	expected-user-error:source-semantics/unknown-function			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	generator	structural		rule:R07;rule:R08;rule:R09;rule:R10	structural-control-qualifier	canonical comprehension lowering and resident control	G06;G07;G08;G18	not-a-control-qualification-row	rule:R01	"""x <- xs"""	"""]x <- xs"""	"""x <-"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	header-field	compile-time		schema:Q04;schema:Q06;schema:Q08	compile-time-field-schema	canonical record/table schema admission		not-a-control-qualification-row	rule:R01	"""a<u8>"""	"""}a<u8>"""	"""a<u8"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	inline-table	executable		rule:R31;schema:Q04;schema:Q12;schema:Q13;catalog:C33	executable-table-constructor	canonical Table schema and constructor owner		not-a-control-qualification-row	rule:R01	"""|a<u8>|1|"""	""")|a<u8>|1|"""	"""|a<u8>|"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	inline-table-header	structural		rule:R31;schema:Q04;schema:Q12	structural-table-syntax	canonical Table schema and constructor owner		not-a-control-qualification-row	rule:R01	"""a<u8>|"""	"""]a<u8>|"""	"""a<u8>"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	inline-table-row	structural		rule:R31;schema:Q04;schema:Q12	structural-table-syntax	canonical Table schema and constructor owner		not-a-control-qualification-row	rule:R01	"""1|"""	"""}1|"""	"""1"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	kind	compile-time		schema:Q06;schema:Q21;schema:Q28;schema:Q02;schema:Q03;schema:Q29;rule:R13	compile-time-type-environment	canonical schema admission and explicit G12 prerequisite	G12;G13	not-a-control-qualification-row	rule:R01	"""*"""	""")*"""	"""<u8"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	kind-annotation	compile-time		schema:Q06;schema:Q21;schema:Q28;schema:Q02;schema:Q03;schema:Q29;rule:R13	compile-time-type-environment	canonical schema admission and explicit G12 prerequisite	G12;G13	not-a-control-qualification-row	rule:R01	"""<u8>"""	"""]<u8>"""	"""<u8"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	kind-kind	compile-time		schema:Q28;schema:Q33	compile-time-reified-type	canonical reified type representation	G13	not-a-control-qualification-row	rule:R01	"""<u8>"""	"""}<u8>"""	"""<u8"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	kind-map	compile-time		schema:Q22;schema:Q24;schema:Q08;schema:QG-Map	compile-time-map-schema	canonical Map schema/keyability owner	G25	not-a-control-qualification-row	rule:R01	"""{u8:f64}"""	"""){u8:f64}"""	"""{u8:"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	kind-matrix	compile-time		schema:Q06;schema:Q28;compiler:F13;schema:QG-Matrix	compile-time-matrix-schema	canonical independent dimension parameters and shape binding	G13;G25	not-a-control-qualification-row	rule:R01	"""[u8]:1,2"""	"""][u8]:1,2"""	"""[u8"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	kind-record	compile-time		schema:Q06;schema:Q08;schema:QG-Record	compile-time-record-schema	canonical Record field schema owner	G25	not-a-control-qualification-row	rule:R01	"""{a<u8>}"""	"""}{a<u8>}"""	"""{a<u8>"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	kind-scalar	compile-time		schema:Q17;schema:Q18;schema:Q19;schema:Q20;schema:Q21;rule:R13;schema:QT-u8;schema:QT-u16;schema:QT-u32;schema:QT-u64;schema:QT-u128;schema:QT-i8;schema:QT-i16;schema:QT-i32;schema:QT-i64;schema:QT-i128;schema:QT-f32;schema:QT-f64;schema:QT-c32;schema:QT-c64;schema:QT-r64;schema:QT-bool;schema:QT-string	compile-time-scalar-schema	canonical primitive/nominal schemas; constrained-kind decision separate	G12;G25	not-a-control-qualification-row	rule:R01	"""u8:1..10"""	""")u8:1..10"""	"""u8:1.."""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	kind-set	compile-time		schema:Q23;schema:Q11;schema:QG-Set	compile-time-set-schema	canonical Set keyability and size parameters	G25	not-a-control-qualification-row	rule:R01	"""{u8}:10"""	"""]{u8}:10"""	"""{u8"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	kind-table	compile-time		schema:Q06;schema:Q12;schema:Q13;schema:QG-Table	compile-time-table-schema	canonical Table columns and row parameters	G25	not-a-control-qualification-row	rule:R01	"""|a<u8>|:10"""	"""}|a<u8>|:10"""	"""|a<u8>"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	kind-tuple	compile-time		schema:Q07;schema:Q08;schema:QG-Tuple	compile-time-tuple-schema	canonical positional Tuple schema owner	G25	not-a-control-qualification-row	rule:R01	"""(u8,f64)"""	""")(u8,f64)"""	"""(u8"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	kind-with-option	compile-time		schema:Q02;schema:Q08;schema:Q21;schema:QG-Option	compile-time-optional-schema	canonical Option payload/absence owner	G25	not-a-control-qualification-row	rule:R01	"""u8?"""	"""]u8?"""	"""<u8"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	l1	executable		rule:R05;catalog:C08	operator-precedence	canonical logic operation scheme and configured target		not-a-control-qualification-row	rule:R01	"""true && false"""	"""}true && false"""	"""true &&"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	l2	executable		rule:R05;catalog:C10;catalog:C11;catalog:C12	operator-precedence	canonical comparison operation schemes and configured target		not-a-control-qualification-row	rule:R01	"""1 == 2"""	""")1 == 2"""	"""1 =="""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	l3	executable		rule:R05;catalog:C01	operator-precedence	canonical add/sub operation schemes and configured target		not-a-control-qualification-row	rule:R01	"""1 + 2"""	"""]1 + 2"""	"""1 +"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	l4	executable		rule:R05;catalog:C01;catalog:C03;catalog:C16;catalog:C17;catalog:C18	operator-precedence	canonical multiplication/division/matrix operation schemes and configured target		not-a-control-qualification-row	rule:R01	"""1**2"""	"""}1**2"""	"""2 *"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	l5	executable		rule:R05;catalog:C02	operator-precedence	canonical power scheme and configured target admission		not-a-control-qualification-row	rule:R01	"""2 ^ 3"""	""")2 ^ 3"""	"""2 ^"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	l6	executable		rule:R05;catalog:C33;schema:Q12	operator-precedence	canonical table operation and join contracts		not-a-control-qualification-row	rule:R01	"""a ⋈ b"""	"""]a ⋈ b"""	"""a ⋈"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	l7	executable		rule:R05;catalog:C24;catalog:C25;catalog:C26;catalog:C27;catalog:C28;catalog:C29	operator-precedence	canonical set operation schemes and configured target		not-a-control-qualification-row	rule:R01	"""{1} ∪ {2}"""	"""}{1} ∪ {2}"""	"""{1} ∪"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	literal	executable		rule:R06;schema:Q16;schema:Q17;schema:Q18;schema:Q19;schema:Q20;schema:Q21;schema:Q28	literal-admission	canonical primitive/nominal/reified value construction	G02;G13	not-a-control-qualification-row	rule:R01	"""_"""	""")_"""	"""\""unterminated"""	expected-user-error:source-semantics/unresolved-empty-expression			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	map	executable		rule:R31;schema:Q04;schema:Q05;schema:Q22;schema:Q24	executable-map-constructor	canonical Map schema/key ordering owner		not-a-control-qualification-row	rule:R01	"""{1:2}"""	"""]{1:2}"""	"""{1:"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	mapping	structural		rule:R31;schema:Q04;schema:Q05	structural-map-entry	canonical Map schema/key ordering owner		not-a-control-qualification-row	rule:R01	"""1:2"""	"""}1:2"""	"""1:"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	match-arm	structural	FUN01;FUN06;ACT05;ACT08	rule:R11;control:FUN01;control:FUN06;control:ACT05;control:ACT08	structural-match-arm	canonical control branch selection and lexical bindings	G09;G15;G19	blocked	rule:R01	"""| * => 1"""	""")| * => 1"""	"""| * =>"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	matrix	executable		rule:R31;schema:Q06;catalog:C19;rule:R15	executable-matrix-constructor	canonical matrix geometry and runtime shape owner	G18	not-a-control-qualification-row	rule:R01	"""[1 2]"""	"""][1 2]"""	"""[1"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	matrix-column	structural		rule:R31;schema:Q06;catalog:C19	structural-matrix-entry	canonical row-major matrix geometry owner		not-a-control-qualification-row	rule:R01	"""1,"""	"""}1,"""	"""\""unterminated"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	matrix-comprehension	executable		rule:R07;rule:R08;rule:R09;rule:R10;rule:R15;catalog:C21	executable-comprehension	canonical control graph, retained storage and downstream layout	G06;G07;G08;G18	not-a-control-qualification-row	rule:R01	"""[x | x <- xs]"""	""")[x | x <- xs]"""	"""[x | x <-"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	matrix-row	structural		rule:R31;schema:Q06;catalog:C19	structural-matrix-entry	canonical row-major matrix geometry owner		not-a-control-qualification-row	rule:R01	"""1 2;"""	"""]1 2;"""	"""\""unterminated"""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	negate-factor	executable		catalog:C04;rule:R05	executable-prefix	canonical numeric negation scheme		not-a-control-qualification-row	rule:R01	"""-1"""	"""}-1"""	"""-"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	not-factor	executable		catalog:C09;rule:R05	executable-prefix	canonical Boolean negation scheme		not-a-control-qualification-row	rule:R01	"""!true"""	""")!true"""	"""!"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	parenthetical-term	executable		rule:R05;compiler:F01	expression-grouping	canonical precedence lowering; operand operation owns execution		not-a-control-qualification-row	rule:R01	"""(1 + 2)"""	"""](1 + 2)"""	"""(1"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	pattern	compile-time	FUN03;ACT06;ACT07;ACT08;FSM02	rule:R07;rule:R08;rule:R10;rule:R11;schema:Q25;control:FUN03;control:ACT06;control:ACT07;control:ACT08;control:FSM02	compile-time-pattern-binding	canonical pattern representation; consumer selects filtering/exhaustiveness contract	G06;G08;G09;G14;G15;G19	blocked	rule:R01	"""42"""	"""}42"""	"""\""unterminated"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	pattern-array	compile-time	FUN03;ACT06	rule:R07;rule:R08;rule:R10;rule:R11;schema:Q25;control:FUN03;control:ACT06	compile-time-pattern-binding	canonical pattern representation; consumer selects filtering/exhaustiveness contract	G06;G08;G09;G15;G19	blocked	rule:R01	"""[head, ..., tail]"""	""")[head, ..., tail]"""	"""[head"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	pattern-array-item	compile-time	FUN03;ACT06	rule:R07;rule:R08;rule:R10;rule:R11;schema:Q25;control:FUN03;control:ACT06	compile-time-pattern-binding	canonical pattern representation; consumer selects filtering/exhaustiveness contract	G06;G08;G09;G15;G19	blocked	rule:R01	"""x"""	"""]x"""	"""\""unterminated"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	pattern-array-token	compile-time	FUN03;ACT06	rule:R07;rule:R08;rule:R10;rule:R11;schema:Q25;control:FUN03;control:ACT06	compile-time-pattern-binding	canonical pattern representation; consumer selects filtering/exhaustiveness contract	G06;G08;G09;G15;G19	blocked	rule:R01	"""head"""	"""}head"""	"""\""unterminated"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	pattern-atom-struct	compile-time	FUN03;ACT06;FSM02	rule:R07;rule:R08;rule:R10;rule:R11;schema:Q25;control:FUN03;control:ACT06;control:FSM02	compile-time-pattern-binding	canonical pattern representation; consumer selects filtering/exhaustiveness contract	G06;G08;G09;G14;G15;G19	blocked	rule:R01	""":some(x)"""	"""):some(x)"""	""":some(\""unterminated"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	pattern-tuple	compile-time	FUN03;ACT06;FSM02	rule:R07;rule:R08;rule:R10;rule:R11;schema:Q25;control:FUN03;control:ACT06;control:FSM02	compile-time-pattern-binding	canonical pattern representation; consumer selects filtering/exhaustiveness contract	G06;G08;G09;G14;G15;G19	blocked	rule:R01	"""(x,y)"""	"""](x,y)"""	"""(\""unterminated"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	pattern-tuple-struct	compile-time	FUN03;ACT06;FSM02	rule:R07;rule:R08;rule:R10;rule:R11;schema:Q25;control:FUN03;control:ACT06;control:FSM02	compile-time-pattern-binding	canonical pattern representation; consumer selects filtering/exhaustiveness contract	G06;G08;G09;G14;G15;G19	blocked	rule:R01	"""`some(x)"""	"""}`some(x)"""	"""`some(\""unterminated"""	compile-time			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	range-expression	executable		catalog:C15;schema:Q20;rule:R04	executable-range	canonical range/index schema and resident cardinality owner	G24	not-a-control-qualification-row	rule:R01	"""1..=10"""	""")1..=10"""	"""1..="""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	range-subscript	structural		rule:R31;schema:Q09;schema:Q10;schema:Q14;catalog:C15	structural-selector	canonical selection lowering and resident selection contracts	G17	not-a-control-qualification-row	rule:R01	"""1..10"""	"""]1..10"""	"""1.."""	structural			The accepted/rejected/recovery fragments certify direct grammar and typed access. This helper has no independent evaluator; listed parent cells own its value/error behavior.
phase-2i	record	executable		rule:R31;schema:Q04;schema:Q08	executable-record-constructor	canonical ordered Record schema owner		not-a-control-qualification-row	rule:R01	"""{a:1}"""	"""}{a:1}"""	"""{a:"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	regular-table	executable		rule:R31;schema:Q04;schema:Q12;schema:Q13;catalog:C33	executable-table-constructor	canonical Table schema and constructor owner		not-a-control-qualification-row	rule:R01	"""|a<u8>|\n|1|"""	""")|a<u8>|\n|1|"""	"""|a<u8>|"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
phase-2i	set	executable		catalog:C23;schema:Q23;schema:Q11	executable-set-constructor	canonical Set keyability and cardinality owner		not-a-control-qualification-row	rule:R01	"""{1,2}"""	"""]{1,2}"""	"""{1"""	executable			The accepted/rejected/recovery fragments certify direct grammar and typed access. Executable or compile-time behavior is separately owned by the named cells; the certification semantic outcome alone is not a value oracle.
