export	overload-id	declaration	qualification	acceptance
math/div	2	FunctionTypeOverload { id: 2, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }, KindParameter { id: KindParameterId(1), upper_bound: None }, KindParameter { id: KindParameterId(2), upper_bound: None }], dimension_parameters: [DimensionParameterDeclaration { id: DimensionParameterId(0), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(1), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }], inputs: Fixed([Matrix { element: Parameter(KindParameterId(0)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }, Parameter(KindParameterId(1))]), outputs: [Matrix { element: Parameter(KindParameterId(2)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: Number }, Satisfies { kind: Parameter(KindParameterId(1)), predicate: Number }, Promotes { left: Parameter(KindParameterId(0)), right: Parameter(KindParameterId(1)), output: Parameter(KindParameterId(2)) }] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
math/div	3	FunctionTypeOverload { id: 3, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }, KindParameter { id: KindParameterId(1), upper_bound: None }, KindParameter { id: KindParameterId(2), upper_bound: None }], dimension_parameters: [DimensionParameterDeclaration { id: DimensionParameterId(0), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(1), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }], inputs: Fixed([Parameter(KindParameterId(0)), Matrix { element: Parameter(KindParameterId(1)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }]), outputs: [Matrix { element: Parameter(KindParameterId(2)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: Number }, Satisfies { kind: Parameter(KindParameterId(1)), predicate: Number }, Promotes { left: Parameter(KindParameterId(0)), right: Parameter(KindParameterId(1)), output: Parameter(KindParameterId(2)) }] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
math/div	4	FunctionTypeOverload { id: 4, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }, KindParameter { id: KindParameterId(1), upper_bound: None }, KindParameter { id: KindParameterId(2), upper_bound: None }], dimension_parameters: [DimensionParameterDeclaration { id: DimensionParameterId(0), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(1), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(2), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }], inputs: Fixed([Matrix { element: Parameter(KindParameterId(0)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }, Matrix { element: Parameter(KindParameterId(1)), dimensions: [Parameter(DimensionParameterId(2)), Constant(1)] }]), outputs: [Matrix { element: Parameter(KindParameterId(2)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: Number }, Satisfies { kind: Parameter(KindParameterId(1)), predicate: Number }, Promotes { left: Parameter(KindParameterId(0)), right: Parameter(KindParameterId(1)), output: Parameter(KindParameterId(2)) }, DimensionCompatible(Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(2)))] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
math/div	5	FunctionTypeOverload { id: 5, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }, KindParameter { id: KindParameterId(1), upper_bound: None }, KindParameter { id: KindParameterId(2), upper_bound: None }], dimension_parameters: [DimensionParameterDeclaration { id: DimensionParameterId(0), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(1), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(2), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }], inputs: Fixed([Matrix { element: Parameter(KindParameterId(0)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }, Matrix { element: Parameter(KindParameterId(1)), dimensions: [Constant(1), Parameter(DimensionParameterId(2))] }]), outputs: [Matrix { element: Parameter(KindParameterId(2)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: Number }, Satisfies { kind: Parameter(KindParameterId(1)), predicate: Number }, Promotes { left: Parameter(KindParameterId(0)), right: Parameter(KindParameterId(1)), output: Parameter(KindParameterId(2)) }, DimensionCompatible(Parameter(DimensionParameterId(1)), Parameter(DimensionParameterId(2)))] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
math/div	6	FunctionTypeOverload { id: 6, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }, KindParameter { id: KindParameterId(1), upper_bound: None }, KindParameter { id: KindParameterId(2), upper_bound: None }], dimension_parameters: [DimensionParameterDeclaration { id: DimensionParameterId(0), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(1), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(2), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }], inputs: Fixed([Matrix { element: Parameter(KindParameterId(0)), dimensions: [Parameter(DimensionParameterId(2)), Constant(1)] }, Matrix { element: Parameter(KindParameterId(1)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }]), outputs: [Matrix { element: Parameter(KindParameterId(2)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: Number }, Satisfies { kind: Parameter(KindParameterId(1)), predicate: Number }, Promotes { left: Parameter(KindParameterId(0)), right: Parameter(KindParameterId(1)), output: Parameter(KindParameterId(2)) }, DimensionCompatible(Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(2)))] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
math/div	7	FunctionTypeOverload { id: 7, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }, KindParameter { id: KindParameterId(1), upper_bound: None }, KindParameter { id: KindParameterId(2), upper_bound: None }], dimension_parameters: [DimensionParameterDeclaration { id: DimensionParameterId(0), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(1), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(2), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }], inputs: Fixed([Matrix { element: Parameter(KindParameterId(0)), dimensions: [Constant(1), Parameter(DimensionParameterId(2))] }, Matrix { element: Parameter(KindParameterId(1)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }]), outputs: [Matrix { element: Parameter(KindParameterId(2)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: Number }, Satisfies { kind: Parameter(KindParameterId(1)), predicate: Number }, Promotes { left: Parameter(KindParameterId(0)), right: Parameter(KindParameterId(1)), output: Parameter(KindParameterId(2)) }, DimensionCompatible(Parameter(DimensionParameterId(1)), Parameter(DimensionParameterId(2)))] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
math/div	8	FunctionTypeOverload { id: 8, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }, KindParameter { id: KindParameterId(1), upper_bound: None }, KindParameter { id: KindParameterId(2), upper_bound: None }], dimension_parameters: [DimensionParameterDeclaration { id: DimensionParameterId(0), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(1), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(2), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(3), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }], inputs: Fixed([Matrix { element: Parameter(KindParameterId(0)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }, Matrix { element: Parameter(KindParameterId(1)), dimensions: [Parameter(DimensionParameterId(2)), Parameter(DimensionParameterId(3))] }]), outputs: [Matrix { element: Parameter(KindParameterId(2)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: Number }, Satisfies { kind: Parameter(KindParameterId(1)), predicate: Number }, Promotes { left: Parameter(KindParameterId(0)), right: Parameter(KindParameterId(1)), output: Parameter(KindParameterId(2)) }, DimensionCompatible(Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(2))), DimensionCompatible(Parameter(DimensionParameterId(1)), Parameter(DimensionParameterId(3)))] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
math/div	9	FunctionTypeOverload { id: 9, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }, KindParameter { id: KindParameterId(1), upper_bound: None }, KindParameter { id: KindParameterId(2), upper_bound: None }], dimension_parameters: [DimensionParameterDeclaration { id: DimensionParameterId(0), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(1), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(2), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(3), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }], inputs: Fixed([Matrix { element: Parameter(KindParameterId(0)), dimensions: [Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(1))] }, Matrix { element: Parameter(KindParameterId(1)), dimensions: [Parameter(DimensionParameterId(2)), Parameter(DimensionParameterId(3))] }]), outputs: [Matrix { element: Parameter(KindParameterId(2)), dimensions: [Parameter(DimensionParameterId(2)), Parameter(DimensionParameterId(3))] }], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: Number }, Satisfies { kind: Parameter(KindParameterId(1)), predicate: Number }, Promotes { left: Parameter(KindParameterId(0)), right: Parameter(KindParameterId(1)), output: Parameter(KindParameterId(2)) }, DimensionCompatible(Parameter(DimensionParameterId(0)), Parameter(DimensionParameterId(2))), DimensionCompatible(Parameter(DimensionParameterId(1)), Parameter(DimensionParameterId(3)))] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
range/inclusive	0	FunctionTypeOverload { id: 0, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }, KindParameter { id: KindParameterId(1), upper_bound: None }, KindParameter { id: KindParameterId(2), upper_bound: None }], dimension_parameters: [DimensionParameterDeclaration { id: DimensionParameterId(0), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }], inputs: Fixed([Parameter(KindParameterId(0)), Parameter(KindParameterId(1))]), outputs: [Matrix { element: Parameter(KindParameterId(2)), dimensions: [Constant(1), Parameter(DimensionParameterId(0))] }], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: RangeEndpoint }, Satisfies { kind: Parameter(KindParameterId(1)), predicate: RangeEndpoint }, Promotes { left: Parameter(KindParameterId(0)), right: Parameter(KindParameterId(1)), output: Parameter(KindParameterId(2)) }] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
string/concat	0	FunctionTypeOverload { id: 0, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [], dimension_parameters: [], inputs: Fixed([Named(KindId(14)), Named(KindId(14))]), outputs: [Named(KindId(14))], constraints: [] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
set/insert	0	FunctionTypeOverload { id: 0, input_layout: [Value, Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }], dimension_parameters: [DimensionParameterDeclaration { id: DimensionParameterId(0), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: None }, DimensionParameterDeclaration { id: DimensionParameterId(1), origin: Inferred, lifetime: Turn, lower_bound: Constant(0), upper_bound: Some(Add([Parameter(DimensionParameterId(0)), Constant(1)])) }], inputs: Fixed([Set { element: Parameter(KindParameterId(0)), cardinality: Parameter(DimensionParameterId(0)) }, Parameter(KindParameterId(0))]), outputs: [Set { element: Parameter(KindParameterId(0)), cardinality: Parameter(DimensionParameterId(1)) }], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: Keyable }] }, output_schema_rules: [FromInput(0)] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
set/define	syntax-directed	Some(FunctionTypeDeclaration { overloads: [], template: Some(SetDefinition), parameter_names: None })	O01: intrinsic contract requires operator-specific kind/layout witnesses	qualify the source intrinsic contract and supported target layouts
math/bessel/y1	0	FunctionTypeOverload { id: 0, input_layout: [Value], scheme: KindScheme { kind_parameters: [KindParameter { id: KindParameterId(0), upper_bound: None }], dimension_parameters: [], inputs: Fixed([Parameter(KindParameterId(0))]), outputs: [Parameter(KindParameterId(0))], constraints: [Satisfies { kind: Parameter(KindParameterId(0)), predicate: FloatingPoint }] }, output_schema_rules: [FromResolvedType] }	O01: untested as an independently identified overload; the export sample is not attributed to this candidate	representative admitted kind/layout cells, rejected target cells, reference values, bytecode and changing-turn behavior
