cell-id	owning-layer	responsibility	fixture-or-construction	expected-result	evidence-status	witness-source	witness-test	witness-command	evidence-head	related-gaps	proof-limit	methods
P12	runtime static projection	projection prunes unused inputs while retaining constrained inputs	other := unused<f64>+1; answer in {42,used,used+2}; supplied used40; separate safe! reads absent checked.	Unused input is not required; answers42,40,42; missing integrity input rejects.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:6000	canonical_static_projection_drops_unrelated_unbound_inputs	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_static_projection_drops_unrelated_unbound_inputs -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347			ProgramCompiler::evaluate_static_document_symbols;ProgramCompiler::evaluate_static_document_symbols_with_inputs;ProgramCompiler::evaluate_static_tree_symbols;ProgramCompiler::evaluate_static_tree_symbols_with_inputs;CanonicalSourceProgram::referenced_input_names;CanonicalSourceFrontend::compile_document_with_planning_contract
P13	runtime rooted graph	resolved revisions and interactive publication survive all eight rooted canonical wrappers	dep exports41; retain old main adding1; resolver then replaces main with version adding59; eight resolved/request, ordinary/interactive, options/default wrappers.	Resolved variants produce42; request variants100; exact dep revision hash retained; answer symbol exists only in interactive variants; decoded bytecode same.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:6065	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		Options are supplied but the test does not assert identity differences; P14 owns that assertion.	ProgramCompiler::compile_canonical_root;ProgramCompiler::compile_canonical_resolved_root;ProgramCompiler::compile_canonical_interactive_root;ProgramCompiler::compile_canonical_interactive_resolved_root;ProgramCompiler::compile_canonical_root_with_options;ProgramCompiler::compile_canonical_interactive_root_with_options;ProgramCompiler::compile_canonical_resolved_root_with_options;ProgramCompiler::compile_canonical_interactive_resolved_root_with_options;ProgramCompiler::compile_root;ProgramCompiler::compile_interactive_root;ProgramCompilerView::compile_resolved_root;ProgramCompilerView::compile_interactive_resolved_root
P14	runtime module identity	ModuleBuildOptions fields reach module-build identity and validation	Repeat P13 with one-at-a-time compiler identity, edition, target, feature set and capability set changes; repeat options unchanged; test rooted+resolved ordinary+interactive wrappers.	At canonical_graph_module_identity, equal canonical options yield equal ModuleVersionId; each ModuleBuilder identity-bearing field changes its module identity according to that existing builder contract, independent of whether artifact revision changes. Values remain42; required capability identity passed to build_resolved_source.	untested-identity-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		P13 only supplies options. ProgramCompilationProduct currently does not expose module IDs; this cell needs a module-builder observation/test seam, not an invented assertion that inert options must alter executable artifact revision.	ProgramCompiler::compile_canonical_root;ProgramCompiler::compile_canonical_resolved_root;ProgramCompiler::compile_canonical_interactive_root;ProgramCompiler::compile_canonical_interactive_resolved_root;ProgramCompiler::compile_canonical_root_with_options;ProgramCompiler::compile_canonical_interactive_root_with_options;ProgramCompiler::compile_canonical_resolved_root_with_options;ProgramCompiler::compile_canonical_interactive_resolved_root_with_options;ProgramCompiler::compile_root;ProgramCompiler::compile_interactive_root;ProgramCompiler::compile_canonical_mixed_resolved_root;ProgramCompilerView::compile_resolved_root;ProgramCompilerView::compile_interactive_resolved_root
P15	runtime graph errors	missing dependency does not poison reusable interactive compiler	Valid configured timer root; broken root imports absent dependency; compile valid again with same compiler.	Valid product retains timer requirement and answer symbol; error includes missing canonical dependency; subsequent valid compilation succeeds.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:6254	canonical_interactive_root_keeps_resource_authority_and_dependency_errors	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_interactive_root_keeps_resource_authority_and_dependency_errors -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347			ProgramCompiler::compile_canonical_root;ProgramCompiler::compile_canonical_resolved_root;ProgramCompiler::compile_canonical_interactive_root;ProgramCompiler::compile_canonical_interactive_resolved_root;ProgramCompiler::compile_canonical_root_with_options;ProgramCompiler::compile_canonical_interactive_root_with_options;ProgramCompiler::compile_canonical_resolved_root_with_options;ProgramCompiler::compile_canonical_interactive_resolved_root_with_options;ProgramCompiler::compile_root;ProgramCompiler::compile_interactive_root
P16	runtime ordered graph	ordered roots share prior definitions and publish caller order	first defines seed41; second defines answer=seed+1; separate missing export and dependency cycle pairs.	Source/decoded outputs seed41,answer42 in caller order; missing export and cycles reject.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:6462	canonical_ordered_roots_share_prior_definitions_and_reject_invalid_edges	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_ordered_roots_share_prior_definitions_and_reject_invalid_edges -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347	G16	Direct/prior definitions only; no transitive live alias proof.	ProgramCompiler::compile_canonical_roots;ProgramCompiler::compile_roots
P17	engine ordered documents	explicit root exports retain live state and independent source maps	CanonicalOrderedDocument dependency identity1 increments counter; main identity0 imports RootExport(counter) and adds1; dependency ordered before main for lowering.	One state; both retained document anchors; output caller identity order answer,counter; answer turns2,3,4.	existing-test-recorded-suite-pass	src/engine/tests/canonical_document_state.rs:1078	ordered_retained_roots_link_live_exports_and_preserve_caller_output_order	cargo +nightly-2026-03-03 test --locked -p mech-engine --no-default-features --features full_compiler,full_source,resident-artifact --test canonical_document_state ordered_retained_roots_link_live_exports_and_preserve_caller_output_order -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae			ProgramCompiler::compile_canonical_roots;ProgramCompiler::compile_roots;CanonicalSourceFrontend::compile_ordered_documents_with_catalog;CanonicalSourceProgram::compile_artifact
P18	runtime ordered graph	transitive path to an explicit root shares live dependency instance	Explicit roots main and dep; main imports middle; middle imports dep; dep counter increments each turn.	Main outputs1 then2; frozen observation is1 then1.	observed-wrong-value	src/runtime/tests/s8_replacement_gap_audit.rs:278	ordered_transitive_explicit_root_witness	MECH_AUDIT_REQUIRE_PASS=1 cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --test s8_replacement_gap_audit ordered_transitive_explicit_root_witness -- --exact	662d29b79df8ab05a25bbadb941a689fd5bd5aae	G16	Run MECH_AUDIT_REQUIRE_PASS=1 with this command to fail on the known wrong value.	ProgramCompiler::compile_canonical_roots;ProgramCompiler::compile_roots
P19	runtime ordered provider ownership	direct explicit dependency plans its provider once	main imports explicit dep; dep exports configured planned clock value41; call canonical and shipping ordered wrappers.	Plan counter exactly1; outputs caller order answer,value.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:2856	explicit_dependency_root_plans_provider_reads_exactly_once	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::explicit_dependency_root_plans_provider_reads_exactly_once -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		Direct edge only; not a transitive provider-count or live-read test.	ProgramCompiler::compile_canonical_roots;ProgramCompiler::compile_roots
P20	runtime ordered provider ownership	transitive explicit dependency plans once and contributes one live read per turn	Use P18 three-file graph with dep @clock:=test://clock/tick{:read(delta-seconds)}; value:=@clock/delta-seconds; exportvalue; instrument PlanningObservationProvider plans/reads; explicit main,dep.	Compilation plans provider once and live reads0; installed live artifact owns one clock observation; turn values41 then42 reach main; no duplicate read from middle.	untested-transitive-provider-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae	G16	P18 stale counter and P19 direct provider count do not establish this combination.	ProgramCompiler::compile_canonical_roots;ProgramCompiler::compile_roots
P21	runtime ordered lexical resources	cross-root local function keeps its defining resource context	first root declares @clock:=test://clock/first{:read(tick)} and sample() returning @clock/tick; second declares same alias clock/second then answer:=sample(); provider first=11, second=99.	Defining context determines sample result11; only the actually referenced resource is planned/live; source anchor stays in first document. Compare function invoked in defining root with cross-root invocation.	untested-cross-root-function-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		No root-cause assignment before execution; global prior definitions are established by P16.	ProgramCompiler::compile_canonical_roots;ProgramCompiler::compile_roots;CanonicalSourceFrontend::compile_ordered_documents_with_catalog
P22	runtime ordered transactional planning	later-root rejection leaves no host effect and reusable compiler usable	First root has configured clock read+scene write as P08; second references missing export or incompatible typed value; retry valid second with same compiler.	Rejected compile performs0 live reads/preparations/deliveries and publishes no artifact; retry returns same identity/result as fresh compiler with the same valid roots.	untested-later-root-rejection-cell				662d29b79df8ab05a25bbadb941a689fd5bd5aae		P15 covers single-root graph reuse; P08 covers document effects separately.	ProgramCompiler::compile_canonical_roots;ProgramCompiler::compile_roots
P23	runtime mixed partitioning	one retained document owns coordinator, compute interface and typed initializer	MIXED_COMPUTE_SOURCE passed to compile_mixed_source -> compile_mixed_document.	Coordinator has no compute region; region calculation has one input x and output result; scalarF32 x initializer1.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:1219	canonical_mixed_document_owns_partitioning_and_typed_initializers	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_mixed_document_owns_partitioning_and_typed_initializers -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		Interface/initializer proof; not complete application/backend execution.	ProgramCompiler::compile_mixed_source;ProgramCompiler::compile_mixed_document;ProgramCompiler::compile_mixed_tree;ProgramCompiler::compile_canonical_mixed_root;ProgramCompiler::compile_canonical_mixed_resolved_root;ProgramCompiler::compile_mixed_root;CanonicalSourceFrontend::compile_mixed_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_mixed_document_with_planning_contract
P24	runtime mixed dependency graph	rooted and resolved mixed products share transitive imports	main imports dep imports leaf2f32; dep value3; compute x=dep/value; coordinator sends x=6; later supplied x10; self-cycle negative.	Both products share exact dep/leaf stamps; initializer3; activationinput6; compute turns produce9 then13; self-cycle rejects and compiler retry succeeds.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:1243	canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		Native resident compute execution only; actual backend profiles remain consumer qualification.	ProgramCompiler::compile_mixed_source;ProgramCompiler::compile_mixed_document;ProgramCompiler::compile_mixed_tree;ProgramCompiler::compile_canonical_mixed_root;ProgramCompiler::compile_canonical_mixed_resolved_root;ProgramCompiler::compile_mixed_root;CanonicalSourceFrontend::compile_mixed_document_with_planning_contract
P25	runtime mixed initializer shape	batched compute initializers retain outer extent and canonical values	lanes=[1f32 2f32 3f32 4f32]; coordinator sends lanes*0.001 to scalar compute input.	Activation matrix keeps four lanes with values0.001,0.002,0.003,0.004 and declared per-instance input schema.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:1353	canonical_mixed_document_retains_batched_activation_values	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::canonical_mixed_document_retains_batched_activation_values -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		Native partition/activation value proof only.	ProgramCompiler::compile_mixed_source;ProgramCompiler::compile_mixed_document;ProgramCompiler::compile_mixed_tree;ProgramCompiler::compile_canonical_mixed_root;ProgramCompiler::compile_canonical_mixed_resolved_root;ProgramCompiler::compile_mixed_root;CanonicalSourceFrontend::compile_mixed_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_mixed_document_with_planning_contract
P26	runtime mixed effect preflight	wrong coordinator payload shape rejects before provider execution	C-renamed mixed_document_rejects_coordinator_input_with_the_wrong_shape_without_a_provider uses incompatible coordinator send dimensions.	compile_mixed_document rejects with compute boundary planning failed and ElementCountMismatch for2x1 payload against2x2 declared matrix, without installing a provider.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:1525	mixed_document_rejects_coordinator_input_with_the_wrong_shape_without_a_provider	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::mixed_document_rejects_coordinator_input_with_the_wrong_shape_without_a_provider -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		Direct error assertion only; no provider counters or partial-publication assertions in this test.	ProgramCompiler::compile_mixed_source;ProgramCompiler::compile_mixed_document;ProgramCompiler::compile_mixed_tree;ProgramCompiler::compile_canonical_mixed_root;ProgramCompiler::compile_canonical_mixed_resolved_root;ProgramCompiler::compile_mixed_root;CanonicalSourceFrontend::compile_mixed_document_with_catalog_and_resources;CanonicalSourceFrontend::compile_mixed_document_with_planning_contract
P27	runtime retirement	tree compiler APIs cease to be an independent production authority	Inspect frozen C ProgramCompiler::*tree*, ProgramCompilerView and runtime load_interactive_tree_program; run retirement-witness.py on C.	No callable production tree compiler, parser fallback, duplicate executable tree/cache authority remains after equivalent canonical responsibility cells pass.	observed-retirement-gap			python3 docs/design/grammar-audit/s8-replacement-audit/retirement-witness.py /path/to/c-candidate --require-closed	e31d08260fac40bcf7982e854cc5d2623a606347	G21	Source audit is an executable structural gate, not behavior proof.	ProgramCompiler::compile_tree;ProgramCompiler::compile_interactive_tree;ProgramCompiler::compile_tree_artifact;ProgramCompiler::compile_tree_artifact_with_inputs;ProgramCompiler::compile_tree_artifact_with_input_initializers;ProgramCompiler::evaluate_static_tree_symbols;ProgramCompiler::evaluate_static_tree_symbols_with_inputs;ProgramCompiler::compile_mixed_tree
P28	runtime existing-runtime compiler view	shipping rooted loader uses configured runtime contracts and same decoded revision	Existing runtime configured provider, input driver, read grant; main imports dep and external_source(); load_root_program then install resulting bytecode separately.	Both routes ResidentExternal; matching program revision and initial value; rooted dependencies planned before route selection.	existing-test-recorded-suite-pass	src/runtime/src/runtime/program/tests.rs:2697	resident_root_plans_the_resolved_source_import_closure_before_route_selection	cargo +nightly-2026-03-03 test --locked -p mech-runtime --no-default-features --features full_compiler,full_source,resident-routing-source,compute --lib runtime::program::tests::resident_root_plans_the_resolved_source_import_closure_before_route_selection -- --exact	e31d08260fac40bcf7982e854cc5d2623a606347		Evidence on C canonical routing, not B old-tree route.	ProgramCompiler::compile_canonical_root;ProgramCompiler::compile_canonical_resolved_root;ProgramCompiler::compile_canonical_interactive_root;ProgramCompiler::compile_canonical_interactive_resolved_root;ProgramCompiler::compile_canonical_root_with_options;ProgramCompiler::compile_canonical_interactive_root_with_options;ProgramCompiler::compile_canonical_resolved_root_with_options;ProgramCompiler::compile_canonical_interactive_resolved_root_with_options;ProgramCompiler::compile_root;ProgramCompiler::compile_interactive_root;ProgramCompilerView::compile_resolved_root
