export	overload-id	acceptance-group	candidate-layout	predicate-domain	kind-domain	configured-target-domain	source-exposure	recipe-form	source-recipe-json	boundary-cells	reference-oracle	implementation-authority	discovery-command	acceptance-status
compare/eq	8	C10	inputs: Fixed([Matrix { element: bool, dimensions: [1, D2] }, Matrix { element: bool, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	9	C10	inputs: Fixed([Matrix { element: string, dimensions: [D0, D1] }, Matrix { element: string, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	string	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	10	C10	inputs: Fixed([Matrix { element: string, dimensions: [D0, D1] }, string]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	string	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	11	C10	inputs: Fixed([Matrix { element: string, dimensions: [D0, D1] }, Matrix { element: string, dimensions: [D2, 1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	string	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	12	C10	inputs: Fixed([Matrix { element: string, dimensions: [D0, D1] }, Matrix { element: string, dimensions: [1, D2] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	string	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	13	C10	inputs: Fixed([string, Matrix { element: string, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	string	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	14	C10	inputs: Fixed([Matrix { element: string, dimensions: [D2, 1] }, Matrix { element: string, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	string	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	15	C10	inputs: Fixed([Matrix { element: string, dimensions: [1, D2] }, Matrix { element: string, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	string	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	16	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K0, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	17	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K0, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D2, D3] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	18	C10	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	bool	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	19	C10	inputs: Fixed([Matrix { element: bool, dimensions: [D0, D1] }, Matrix { element: bool, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D2, D3] }]	exact/template	bool	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	20	C10	inputs: Fixed([Matrix { element: string, dimensions: [D0, D1] }, Matrix { element: string, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	exact/template	string	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	21	C10	inputs: Fixed([Matrix { element: string, dimensions: [D0, D1] }, Matrix { element: string, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D2, D3] }]	exact/template	string	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	22	C10	inputs: Fixed([K0, K1]), outputs: [bool]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	23	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K1, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	24	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, K1]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	25	C10	inputs: Fixed([K0, Matrix { element: K1, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	26	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K1, dimensions: [D2, 1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	27	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K1, dimensions: [1, D2] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	28	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D2, 1] }, Matrix { element: K1, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	29	C10	inputs: Fixed([Matrix { element: K0, dimensions: [1, D2] }, Matrix { element: K1, dimensions: [D0, D1] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
compare/eq	30	C10	inputs: Fixed([Matrix { element: K0, dimensions: [D0, D1] }, Matrix { element: K1, dimensions: [D2, D3] }]), outputs: [Matrix { element: bool, dimensions: [D0, D1] }]	Number	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64	u8,u16,u32,u64,u128,i8,i16,i32,i64,i128,f32,f64,c32,c64,r64,string,bool,id,index,atom; E-STRUCT (nominal construction G11)	Prelude	named-call	"""answer := compare/eq(1.0, 2.0)\nanswer\n"""	EQ;PROMOTION;LAYOUT;TURN;VISIBILITY	value equality after declared lossless promotion; scalar vs elementwise output shape explicit	scheme.rs:317-414,455; numeric.rs:1862	MECH_AUDIT_CASE=catalog-compare-eq ./docs/design/grammar-audit/s8-replacement-audit/run-probes.sh semantic_replacement_witnesses	specified; candidate-specific execution not yet recorded; discovery command is export sample only
