id	grammar-name	module	rust-function	classification	feature-gate	entry-point	output-type	parent-rules	child-rules	selection-behavior	termination	whitespace	spec-location	conformance-cases	implementation-path	notes
base.exclamation	exclamation	base	exclamation	terminal	always	parse	Token	invariant-define	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::exclamation	Macro-generated terminal "!" with TokenKind::Exclamation; no implicit whitespace.
base.grave	grave	base	grave	terminal	always	parse	Token	inline-code,pattern-tuple-struct	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::grave	Macro-generated terminal "`" with TokenKind::Grave; no implicit whitespace.
base.hashtag	hashtag	base	hashtag	terminal	always	parse	Token	fsm,fsm-implementation,fsm-instance,fsm-specification	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::hashtag	Macro-generated terminal "#" with TokenKind::HashTag; no implicit whitespace.
base.negate	negate	base	negate	terminal	always	parse	Token	grammar-not	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::negate	Macro-generated terminal "¬" with TokenKind::Not; no implicit whitespace.
base.percent	percent	base	percent	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::percent	Macro-generated terminal "%" with TokenKind::Percent; no implicit whitespace.
base.period	period	base	period	terminal	always	parse	Token	dot-subscript,dot-subscript-int,float-decimal-start,float-full,fsm-implementation,fsm-specification,function-define-statements,ordered-list-item,swizzle-subscript,ul-subtitle	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::period	Macro-generated terminal "." with TokenKind::Period; no implicit whitespace.
base.plus	plus	base	plus	terminal	always	parse	Token	grammar-repeat1,module-import	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::plus	Macro-generated terminal "+" with TokenKind::Plus; no implicit whitespace.
base.question	question	base	question	terminal	always	parse	Token	expression,grammar-optional,match-expression	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::question	Macro-generated terminal "?" with TokenKind::Question; no implicit whitespace.
base.quote	quote	base	quote	terminal	always	parse	Token	grammar-terminal-token,utf8-string	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::quote	Macro-generated terminal "\"" with TokenKind::Quote; no implicit whitespace.
base.semicolon	semicolon	base	semicolon	terminal	always	parse	Token	grammar-rule	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::semicolon	Macro-generated terminal ";" with TokenKind::Semicolon; no implicit whitespace.
base.slash	slash	base	slash	terminal	always	parse	Token	absolute-source-import-specifier,module-import-context-alias,module-only-import,module-suffix-import,prefixed-context-path,rational-literal	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::slash	Macro-generated terminal "/" with TokenKind::Slash; no implicit whitespace.
base.tilde	tilde	base	tilde	terminal	always	parse	Token	strikethrough	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::tilde	Macro-generated terminal "~" with TokenKind::Tilde; no implicit whitespace.
base.underscore	underscore	base	underscore	terminal	always	parse	Token	module-import-intrinsic-segment,underline,underscore-digit	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::underscore	Macro-generated terminal "_" with TokenKind::Underscore; no implicit whitespace.
base.check-mark	check-mark	base	check_mark	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::check_mark	Macro-generated terminal "✓" with TokenKind::True; no implicit whitespace.
base.cross	cross	base	cross	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::cross	Macro-generated terminal "✗" with TokenKind::False; no implicit whitespace.
base.english-true-literal	english-true-literal	base	english_true_literal	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	docs/design/specification.mec:578	TERMINAL-CONTRACTS	src/syntax/src/base.rs::english_true_literal	Macro-generated terminal "true" with TokenKind::True; no implicit whitespace.
base.english-false-literal	english-false-literal	base	english_false_literal	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	docs/design/specification.mec:579	TERMINAL-CONTRACTS	src/syntax/src/base.rs::english_false_literal	Macro-generated terminal "false" with TokenKind::False; no implicit whitespace.
base.space	space	base	space	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::space	Macro-generated terminal " " with TokenKind::Space; no implicit whitespace.
base.nbsp	nbsp	base	nbsp	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::nbsp	Macro-generated terminal "\u{00A0}" with TokenKind::Space; no implicit whitespace.
base.thin-space	thin-space	base	thin_space	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::thin_space	Macro-generated terminal "\u{2009}" with TokenKind::Space; no implicit whitespace.
base.new-line-char	new-line-char	base	new_line_char	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::new_line_char	Macro-generated terminal "\n" with TokenKind::Newline; no implicit whitespace.
base.carriage-return	carriage-return	base	carriage_return	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::carriage_return	Macro-generated terminal "\r" with TokenKind::CarriageReturn; no implicit whitespace.
base.carriage-return-new-line	carriage-return-new-line	base	carriage_return_new_line	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::carriage_return_new_line	Macro-generated terminal "\r\n" with TokenKind::CarriageReturn; no implicit whitespace.
base.tab	tab	base	tab	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::tab	Macro-generated terminal "\t" with TokenKind::Tab; no implicit whitespace.
base.left-bracket	left-bracket	base	left_bracket	terminal	always	parse	Token	bracket-subscript,checked-item,citation,grammar-list,hyperlink,kind-matrix,matrix-comprehension,pattern-array,reference,unchecked-item	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::left_bracket	Macro-generated terminal "[" with TokenKind::LeftBracket; no implicit whitespace.
base.left-parenthesis	left-parenthesis	base	left_parenthesis	terminal	always	parse	Token	argument-list,context-capability-declaration,enum-variant-kind,fsm-args,fsm-implementation,fsm-specification,fsm-state-definition-variables,function-define,function-out-args,hyperlink,img,kind-tuple,mini-mika,pattern-atom-struct,pattern-tuple,pattern-tuple-struct,subtitle,tuple,tuple-destructure,tuple-struct	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::left_parenthesis	Macro-generated terminal "(" with TokenKind::LeftParenthesis; no implicit whitespace.
base.left-brace	left-brace	base	left_brace	terminal	always	parse	Token	activation-arm,activation-scope,brace-subscript,context-declaration,empty-map,empty-set,eval-inline-mech-code,fsm-block-transition,inline-mech-code,kind-map,kind-record,kind-set,set-comprehension	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::left_brace	Macro-generated terminal "{" with TokenKind::LeftBrace; no implicit whitespace.
base.left-angle1	left-angle1	base	left_angle1	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::left_angle1	Macro-generated terminal "<" with TokenKind::LeftAngle; no implicit whitespace.
base.left-angle2	left-angle2	base	left_angle2	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::left_angle2	Macro-generated terminal "⟨" with TokenKind::LeftAngle; no implicit whitespace.
base.right-bracket	right-bracket	base	right_bracket	terminal	always	parse	Token	bracket-subscript,checked-item,citation,footnote,footnote-reference,grammar-list,hyperlink,img,kind-matrix,matrix-comprehension,pattern-array,reference,unchecked-item	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::right_bracket	Macro-generated terminal "]" with TokenKind::RightBracket; no implicit whitespace.
base.right-parenthesis	right-parenthesis	base	right_parenthesis	terminal	always	parse	Token	argument-list,context-capability-declaration,enum-variant-kind,fsm-args,fsm-implementation,fsm-specification,fsm-state-definition-variables,function-define,function-out-args,hyperlink,img,kind-tuple,mini-mika,pattern-atom-struct,pattern-tuple,pattern-tuple-struct,subtitle,tuple,tuple-destructure,tuple-struct	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::right_parenthesis	Macro-generated terminal ")" with TokenKind::RightParenthesis; no implicit whitespace.
base.right-brace	right-brace	base	right_brace	terminal	always	parse	Token	activation-arm,activation-scope,brace-subscript,context-declaration,empty-map,empty-set,eval-inline-mech-code,fsm-block-transition,inline-mech-code,kind-map,kind-record,kind-set,set-comprehension	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::right_brace	Macro-generated terminal "}" with TokenKind::RightBrace; no implicit whitespace.
base.right-angle1	right-angle1	base	right_angle1	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::right_angle1	Macro-generated terminal ">" with TokenKind::RightAngle; no implicit whitespace.
base.right-angle2	right-angle2	base	right_angle2	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::right_angle2	Macro-generated terminal "⟩" with TokenKind::RightAngle; no implicit whitespace.
base.box-tl-round	box-tl-round	base	box_tl_round	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_tl_round	Macro-generated terminal "╭" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-tr-round	box-tr-round	base	box_tr_round	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_tr_round	Macro-generated terminal "╮" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-bl-round	box-bl-round	base	box_bl_round	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_bl_round	Macro-generated terminal "╰" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-br-round	box-br-round	base	box_br_round	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_br_round	Macro-generated terminal "╯" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-tl-bold	box-tl-bold	base	box_tl_bold	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_tl_bold	Macro-generated terminal "┏" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-tr-bold	box-tr-bold	base	box_tr_bold	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_tr_bold	Macro-generated terminal "┓" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-bl-bold	box-bl-bold	base	box_bl_bold	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_bl_bold	Macro-generated terminal "┗" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-br-bold	box-br-bold	base	box_br_bold	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_br_bold	Macro-generated terminal "┛" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-tl	box-tl	base	box_tl	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_tl	Macro-generated terminal "┌" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-tr	box-tr	base	box_tr	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_tr	Macro-generated terminal "┐" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-bl	box-bl	base	box_bl	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_bl	Macro-generated terminal "└" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-br	box-br	base	box_br	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_br	Macro-generated terminal "┘" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-cross	box-cross	base	box_cross	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_cross	Macro-generated terminal "┼" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-horz	box-horz	base	box_horz	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_horz	Macro-generated terminal "─" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-t-left	box-t-left	base	box_t_left	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_t_left	Macro-generated terminal "├" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-t-right	box-t-right	base	box_t_right	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_t_right	Macro-generated terminal "┤" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-t-top	box-t-top	base	box_t_top	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_t_top	Macro-generated terminal "┬" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-t-bottom	box-t-bottom	base	box_t_bottom	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_t_bottom	Macro-generated terminal "┴" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-vert	box-vert	base	box_vert	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_vert	Macro-generated terminal "│" with TokenKind::BoxDrawing; no implicit whitespace.
base.box-vert-bold	box-vert-bold	base	box_vert_bold	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::box_vert_bold	Macro-generated terminal "┃" with TokenKind::BoxDrawing; no implicit whitespace.
base.abstract-sigil	abstract-sigil	base	abstract_sigil	terminal	always	parse	Token	abstract-el	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::abstract_sigil	Macro-generated terminal "%%" with TokenKind::AbstractSigil; no implicit whitespace.
base.emphasis-sigil	emphasis-sigil	base	emphasis_sigil	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::emphasis_sigil	Macro-generated terminal "*" with TokenKind::EmphasisSigil; no implicit whitespace.
base.equation-sigil	equation-sigil	base	equation_sigil	terminal	always	parse	Token	equation,inline-equation	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::equation_sigil	Macro-generated terminal "$$" with TokenKind::EquationSigil; no implicit whitespace.
base.footnote-prefix	footnote-prefix	base	footnote_prefix	terminal	always	parse	Token	footnote,footnote-reference	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::footnote_prefix	Macro-generated terminal "[^" with TokenKind::FootnotePrefix; no implicit whitespace.
base.float-left	float-left	base	float_left	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::float_left	Macro-generated terminal "<<:" with TokenKind::FloatLeft; no implicit whitespace.
base.float-right	float-right	base	float_right	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::float_right	Macro-generated terminal ":>>" with TokenKind::FloatRight; no implicit whitespace.
base.http-prefix	http-prefix	base	http_prefix	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::http_prefix	Macro-generated terminal "http" with TokenKind::HttpPrefix; no implicit whitespace.
base.highlight-sigil	highlight-sigil	base	highlight_sigil	terminal	always	parse	Token	highlight	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::highlight_sigil	Macro-generated terminal "!!" with TokenKind::HighlightSigil; no implicit whitespace.
base.img-prefix	img-prefix	base	img_prefix	terminal	always	parse	Token	img	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::img_prefix	Macro-generated terminal "![" with TokenKind::ImgPrefix; no implicit whitespace.
base.quote-sigil	quote-sigil	base	quote_sigil	terminal	always	parse	Token	quote-block	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::quote_sigil	Macro-generated terminal ">" with TokenKind::QuoteSigil; no implicit whitespace.
base.question-sigil	question-sigil	base	question_sigil	terminal	always	parse	Token	question-block	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::question_sigil	Macro-generated terminal "(?)>" with TokenKind::QuestionSigil; no implicit whitespace.
base.info-sigil	info-sigil	base	info_sigil	terminal	always	parse	Token	info-block	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::info_sigil	Macro-generated terminal "(i)>" with TokenKind::InfoSigil; no implicit whitespace.
base.idea-sigil	idea-sigil	base	idea_sigil	terminal	always	parse	Token	idea-block	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::idea_sigil	Macro-generated terminal "(*)>" with TokenKind::IdeaSigil; no implicit whitespace.
base.warning-sigil	warning-sigil	base	warning_sigil	terminal	always	parse	Token	warning-block	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::warning_sigil	Macro-generated terminal "(!)>" with TokenKind::WarningSigil; no implicit whitespace.
base.error-sigil	error-sigil	base	error_sigil	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::error_sigil	Macro-generated terminal "(x)>" with TokenKind::ErrorSigil; no implicit whitespace.
base.error-alt-sigil	error-alt-sigil	base	error_alt_sigil	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::error_alt_sigil	Macro-generated terminal "(✗)>" with TokenKind::ErrorSigil; no implicit whitespace.
base.success-check-sigil	success-check-sigil	base	success_check_sigil	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::success_check_sigil	Macro-generated terminal "(✓)>" with TokenKind::SuccessSigil; no implicit whitespace.
base.success-sigil	success-sigil	base	success_sigil	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::success_sigil	Macro-generated terminal "(+)>" with TokenKind::SuccessSigil; no implicit whitespace.
base.strike-sigil	strike-sigil	base	strike_sigil	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::strike_sigil	Macro-generated terminal "~~" with TokenKind::StrikeSigil; no implicit whitespace.
base.strong-sigil	strong-sigil	base	strong_sigil	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::strong_sigil	Macro-generated terminal "**" with TokenKind::StrongSigil; no implicit whitespace.
base.grave-codeblock-sigil	grave-codeblock-sigil	base	grave_codeblock_sigil	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	docs/design/specification.mec:1809	TERMINAL-CONTRACTS	src/syntax/src/base.rs::grave_codeblock_sigil	Macro-generated terminal "```" with TokenKind::GraveCodeBlockSigil; no implicit whitespace.
base.tilde-codeblock-sigil	tilde-codeblock-sigil	base	tilde_codeblock_sigil	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	docs/design/specification.mec:1810	TERMINAL-CONTRACTS	src/syntax/src/base.rs::tilde_codeblock_sigil	Macro-generated terminal "~~~" with TokenKind::TildeCodeBlockSigil; no implicit whitespace.
base.underline-sigil	underline-sigil	base	underline_sigil	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::underline_sigil	Macro-generated terminal "__" with TokenKind::UnderlineSigil; no implicit whitespace.
base.section-sigil	section-sigil	base	section_sigil	terminal	always	parse	Token	section-reference	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::section_sigil	Macro-generated terminal "§" with TokenKind::SectionSigil; no implicit whitespace.
base.mika-section-open	mika-section-open	base	mika_section_open	terminal	always	parse	Token	none	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::mika_section_open	Macro-generated terminal "⸢" with TokenKind::MikaSectionOpen; no implicit whitespace.
base.mika-section-close	mika-section-close	base	mika_section_close	terminal	always	parse	Token	section	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::mika_section_close	Macro-generated terminal "⸥" with TokenKind::MikaSectionClose; no implicit whitespace.
base.prompt-sigil	prompt-sigil	base	prompt_sigil	terminal	always	parse	Token	prompt	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::prompt_sigil	Macro-generated terminal ">:" with TokenKind::PromptSigil; no implicit whitespace.
base.module-import-sigil	module-import-sigil	base	module_import_sigil	terminal	always	parse	Token	import-declaration	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::module_import_sigil	Macro-generated terminal "+>" with TokenKind::ModuleImportSigil; no implicit whitespace.
base.module-export-sigil	module-export-sigil	base	module_export_sigil	terminal	always	parse	Token	export-declaration	none	none	exact fixed terminal	none	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::module_export_sigil	Macro-generated terminal "<+" with TokenKind::ModuleExportSigil; no implicit whitespace.
base.assign-operator	assign-operator	base	assign_operator	terminal	always	parse	Token	variable-assign	none	none	exact fixed terminal	whitespace0 before and after terminal (includes newlines)	docs/design/specification.mec:1349	TERMINAL-CONTRACTS	src/syntax/src/base.rs::assign_operator	Macro-generated terminal "=" with TokenKind::AssignOperator; whitespace0 on both sides.
base.async-transition-operator	async-transition-operator	base	async_transition_operator	terminal	always	parse	Token	activation-scope,fsm-async-transition	none	none	exact fixed terminal	whitespace0 before and after terminal (includes newlines)	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::async_transition_operator	Macro-generated terminal "~>" with TokenKind::AsyncTransitionOperator; whitespace0 on both sides.
base.define-operator	define-operator	base	define_operator	terminal	always	parse	Token	context-declaration,enum-define,fsm-declare,function-define-statements,grammar-rule,invariant-define,kind-define,tuple-destructure,variable-define	none	none	exact fixed terminal	whitespace0 before and after terminal (includes newlines)	docs/design/specification.mec:1332	TERMINAL-CONTRACTS	src/syntax/src/base.rs::define_operator	Macro-generated terminal ":=" with TokenKind::DefineOperator; whitespace0 on both sides.
base.synth-operator	synth-operator	base	synth_operator	terminal	always	parse	Token	none	none	none	exact fixed terminal	whitespace0 before and after terminal (includes newlines)	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::synth_operator	Macro-generated terminal "?=" with TokenKind::SynthOperator; whitespace0 on both sides.
base.gen-operator	gen-operator	base	gen_operator	terminal	always	parse	Token	none	none	none	exact fixed terminal	whitespace0 before and after terminal (includes newlines)	not-located	TERMINAL-CONTRACTS	src/syntax/src/base.rs::gen_operator	Macro-generated terminal "@=" with TokenKind::GenOperator; whitespace0 on both sides.
