grammar-name	disposition	rationale
plan-rpl	historical-command	Runtime REPL requests own this command; it is not document syntax.
profile-rpl	historical-command	Runtime REPL requests own this command; it is not document syntax.
program	document-dependency	Generated member of the canonical Document closure.
prompt	document-dependency	Generated member of the canonical Document closure.
question-block	document-dependency	Generated member of the canonical Document closure.
quit-rpl	historical-command	Runtime REPL requests own this command; it is not document syntax.
quote-block	document-dependency	Generated member of the canonical Document closure.
repl-identifier	historical-command	Runtime REPL requests own this command; it is not document syntax.
right-alignment	document-dependency	Generated member of the canonical Document closure.
save-rpl	historical-command	Runtime REPL requests own this command; it is not document syntax.
section	document-dependency	Generated member of the canonical Document closure.
section-element	document-dependency	Generated member of the canonical Document closure.
slice-ref	document-dependency	Generated member of the canonical Document closure.
statement	document-dependency	Generated member of the canonical Document closure.
step-rpl	historical-command	Runtime REPL requests own this command; it is not document syntax.
strikethrough	document-dependency	Generated member of the canonical Document closure.
strong	document-dependency	Generated member of the canonical Document closure.
sublist	document-dependency	Generated member of the canonical Document closure.
subtitle	document-dependency	Generated member of the canonical Document closure.
success-block	document-dependency	Generated member of the canonical Document closure.
symbols-rpl	historical-command	Runtime REPL requests own this command; it is not document syntax.
table-column	document-dependency	Generated member of the canonical Document closure.
title	document-dependency	Generated member of the canonical Document closure.
title-front-matter	document-dependency	Generated member of the canonical Document closure.
tuple-destructure	document-dependency	Generated member of the canonical Document closure.
ul-subtitle	document-dependency	Generated member of the canonical Document closure.
unchecked-item	document-dependency	Generated member of the canonical Document closure.
underline	document-dependency	Generated member of the canonical Document closure.
unordered-list	document-dependency	Generated member of the canonical Document closure.
unordered-list-item	document-dependency	Generated member of the canonical Document closure.
variable-assign	document-dependency	Generated member of the canonical Document closure.
warning-block	document-dependency	Generated member of the canonical Document closure.
whos-rpl	historical-command	Runtime REPL requests own this command; it is not document syntax.
