consumer-id	integration-owner	final-entry-point	owning-data-type	input-finality-policy	diagnostic-policy	feature-distribution-profiles	positive-witness	negative-witness	final-c-change	removal-dependencies	blocker-owner	status	evidence-sha	evidence-result
runtime.module-index	A	CanonicalDocumentIndex::from_document through source_index_for_module_record_source	SourceDocument	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; invalid or conflicting declarations publish no partial index	mech-runtime:source; isolated profile plus full distribution	canonical_insertion_hands_off_root_dependencies_and_preserves_local_owners: root dependency plus Mika-local index remain usable	invalid_canonical_authority_never_falls_back_to_an_available_legacy_tree: resolved and stored entry points reject	src/runtime/src/runtime/module/mod.rs::source_index_for_module_record_source -> CanonicalDocumentIndex::from_document through source_index_for_module_record_source	route:runtime.module-index; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; root-parser-exports	S7A usable declaration bindings	prepared	2f3a7a97f5afbecab1fbcd475574c862c88daf26	pass
runtime.program-artifact	B	compile_document_artifact; compile_document_artifact_with_inputs; compile_document_artifact_with_input_initializers; evaluate_static_document_symbols	SourceDocument and ProgramArtifact	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; invalid source or capability denial emits no artifact	mech-runtime:full_compiler,resident-routing-source,compute (709 B library tests); C c07ff2f3 full runtime 692/710; final isolated/product profiles remain required	canonical_planning_values_remain_constants_and_live_defaults_are_detached; canonical_static_symbols_filter_and_detach_matrix_values; matrix_declaration_defaults_become_typed_live_inputs (C)	canonical_static_symbol_result_does_not_alias_the_implicit_result; canonical_resource_defaults_do_not_create_unselected_live_observations	src/runtime/src/runtime/program/compiler.rs::impl ProgramCompiler::compile_source_artifact -> ProgramCompiler::compile_source_artifact through canonical compiler	route:runtime.program-artifact; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; root-parser-exports; runtime-tree-loading; old-engine-mechdown	C: switch remaining tree-artifact callers and run final consumer/distribution targets	prepared	ba5563ac3e3cc23cc070d86e518af812b6e99adf	pass
runtime.program-compile	B	compile_canonical_root_with_options; compile_canonical_resolved_root_with_options; ordered-root canonical linker remains required	SourceDocument and ProgramCompilationProduct	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; failed planning publishes no resident program	mech-runtime:full_compiler,resident-routing-source,compute (709 B library tests); C c07ff2f3 full runtime 692/710; final isolated/product profiles remain required	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; cutover_rooted_entrypoints_use_the_canonical_dependency_graph (C)	canonical_interactive_root_keeps_resource_authority_and_dependency_errors; explicit_dependency_root_plans_provider_reads_exactly_once still fails in C	src/runtime/src/runtime/program/compiler.rs::impl <'a>ProgramCompilerView<'a>::compile_source -> ProgramCompilerView::compile_source through canonical compiler	route:runtime.program-compile; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; root-parser-exports; runtime-tree-loading; old-engine-mechdown	B: ordered multi-root composition with live cross-root bindings, caller output order and one planning pass; C: 18 runtime output/application failures	planned	ba5563ac3e3cc23cc070d86e518af812b6e99adf	partial: rooted/resolved/options pass; ordered roots and complete C application semantics remain open
runtime.program-declaration-tree	B	compile_mixed_document; compile_canonical_mixed_root; compile_canonical_mixed_resolved_root	typed document partitions	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; duplicate or unsupported declaration fails in owning semantic layer	mech-runtime:full_compiler,resident-routing-source,compute (709 B library tests); C c07ff2f3 full runtime 692/710; final isolated/product profiles remain required	canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers; mixed_root_preserves_imports_in_coordinator_and_compute_products (C); mixed_root_inlines_user_function_graphs_into_compute_artifacts (C)	canonical_rooted_mixed_compilation_shares_transitive_imports_and_initializers: cycle rejection and compiler reuse; mixed_compilation_rejects_multiple_compute_regions_for_v04	src/runtime/src/runtime/program/compiler.rs::declaration_tree -> canonical declaration partition in ProgramCompiler mixed compilation	route:runtime.program-declaration-tree; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; root-parser-exports; runtime-tree-loading; old-engine-mechdown	C: complete served mixed artifact transport and full EKF/particle browser applications	prepared	ba5563ac3e3cc23cc070d86e518af812b6e99adf	pass
runtime.program-executable-tree	B	compile_document and compile_canonical_root through retained executable scopes	typed document scopes	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; inert/disabled/recovered syntax never executes	mech-runtime:full_compiler,resident-routing-source,compute (709 B library tests); C c07ff2f3 full runtime 692/710; final isolated/product profiles remain required	canonical_resource_planning_excludes_inactive_document_owners; retained_document_can_be_loaded_as_a_production_resident_program (C)	canonical resource/context admission tests pass; C source failures remain visible in the full runtime suite	src/runtime/src/runtime/program/compiler.rs::executable_tree -> canonical executable partition in ProgramCompiler	route:runtime.program-executable-tree; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; root-parser-exports; runtime-tree-loading; old-engine-mechdown	B/C: close C pattern-function, comprehension/state initialization, selector, output metadata and N-body failures before deleting remaining tree-taking callers	planned	ba5563ac3e3cc23cc070d86e518af812b6e99adf	partial: canonical executable ownership passes; complete maintained source/application matrix is open
runtime.program-interactive	B	compile_interactive_document; compile_canonical_interactive_root_with_options; compile_canonical_interactive_resolved_root_with_options	SourceDocument and observable compilation product	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality; append/advance alone never submits	propagate; invalid submission leaves previous symbol state intact	mech-runtime:full_compiler,resident-routing-source,compute (709 B library tests); C c07ff2f3 full runtime 692/710; final isolated/product profiles remain required	canonical_resolved_and_rooted_interactive_compilation_preserve_revision_and_symbols; canonical_interactive_result_identity_is_independent_of_fence_publication	canonical_interactive_root_keeps_resource_authority_and_dependency_errors; canonical_interactive_matrix_projection_and_failed_candidate_preserve_state	src/runtime/src/runtime/program/compiler.rs::impl <'a>ProgramCompilerView<'a>::compile_interactive_source -> ProgramCompilerView::compile_interactive_source through canonical compiler	route:runtime.program-interactive; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; root-parser-exports; runtime-tree-loading; old-engine-mechdown	C: remaining public host adoption and complete document/application matrix; retained compiler interfaces are implemented	prepared	ba5563ac3e3cc23cc070d86e518af812b6e99adf	pass
runtime.program-source-tree	A	SourceDocument through retained compiler source records	SourceDocument	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; malformed source retains diagnostics and cannot enter compilation	mech-runtime:resident-routing-source; isolated profile plus full distribution	workspace_snapshot_preserves_the_exact_accepted_source_revision: module/store/workspace share one accepted snapshot	successful_and_rejected_runtime_replacements_preserve_revision_history: malformed candidate cannot consume accepted revision	src/runtime/src/runtime/program/compiler.rs::source_tree -> SourceDocument through retained compiler source records	route:runtime.program-source-tree; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; root-parser-exports; runtime-tree-loading; old-engine-mechdown	B compiler source interfaces	prepared	2f3a7a97f5afbecab1fbcd475574c862c88daf26	pass
runtime.resolver-file	A	FileSourceResolver::resolve with SourceDocument and CanonicalDocumentIndex	SourceDocument	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; malformed file returns error before insertion; I/O errors preserved	mech-runtime:source; isolated profile plus full distribution	canonical_file_replacement_advances_revision_and_rejection_preserves_history: stable document identity and advancing accepted revision	canonical_file_resolution_rejects_malformed_retained_source: malformed retained files reject before admission	src/runtime/src/resolver/file.rs::impl SourceResolver for FileSourceResolver::resolve -> FileSourceResolver::resolve with SourceDocument and CanonicalDocumentIndex	route:runtime.resolver-file; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; root-parser-exports	S7A usable declaration bindings	prepared	956c844dac7185f98c1036155da9aa1c17ea046b	pass
runtime.resolver-memory-insert	A	InMemorySourceResolver::insert_string with SourceDocument strict admission	SourceDocument	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; malformed replacement leaves previous entry intact	mech-runtime:source; isolated profile plus full distribution	canonical_insertion_hands_off_root_dependencies_and_preserves_local_owners: admitted source publishes usable dependency handoff	canonical_insertion_fails_closed_before_replacing_the_accepted_revision: malformed candidate leaves accepted entry intact	src/runtime/src/resolver/memory.rs::impl InMemorySourceResolver::insert_string -> InMemorySourceResolver::insert_string with SourceDocument strict admission	route:runtime.resolver-memory-insert; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; root-parser-exports	S7A usable declaration bindings	prepared	2f3a7a97f5afbecab1fbcd475574c862c88daf26	pass
runtime.resolver-memory-with	A	InMemorySourceResolver::with_string with retained diagnostics	SourceDocument	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	omit-cache; deferred source cannot publish an index or compile as valid	mech-runtime:source; isolated profile plus full distribution	canonical_builder_retains_malformed_source_without_publishing_facts: exact malformed source and diagnostics retained	canonical_builder_retains_malformed_source_without_publishing_facts: no tree, facts, dependencies or valid index published	src/runtime/src/resolver/memory.rs::impl InMemorySourceResolver::with_string -> InMemorySourceResolver::with_string with retained diagnostics	route:runtime.resolver-memory-with; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; module-store-cache; module-store-transfer; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; root-parser-exports	none	prepared	2f3a7a97f5afbecab1fbcd475574c862c88daf26	pass
serve.workspace-render	B	ServerSourceRegistry::sync_workspace_snapshot canonical render/publication	SourceDocument and accepted artifact	raw at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	render-diagnostic; malformed workspace snapshot renders diagnostics and does not activate	mech:serve; isolated profile plus full distribution	configured_served_root_uses_snapshot_dependencies_and_planning_hosts; 90 ordinary server tests passed at the preceding C checkpoint	configured_served_root_uses_snapshot_dependencies_and_planning_hosts: old snapshot stable after disk edit, refreshed dependency invalidates old artifact	src/serve.rs::impl ServerSourceRegistry::sync_workspace_snapshot -> ServerSourceRegistry::sync_workspace_snapshot canonical render/publication	route:serve.workspace-render; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-store-cache; module-store-transfer; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; old-formatter; cli-style-sheets; root-parser-exports; runtime-tree-loading; old-engine-mechdown	B/C: full served mixed EKF/particles, canonical document output associations, real browser admission and stale-dependency rejection	planned	ba5563ac3e3cc23cc070d86e518af812b6e99adf	partial: configured ordinary served graph passed; full C served/browser product remains open
wasm.document-capture	A	Typed document output capture through document_runtime_tree replacement	SourceDocument and canonical output identities	fixed-capture at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	propagate; hidden or disabled outputs do not leak or capture wrong scope	mech-wasm:browser_project_core; isolated profile plus full distribution	canonical_browser_capture_keeps_hidden_disabled_named_and_mika_owners: exact owner results render in the browser adapter	canonical_browser_capture_keeps_hidden_disabled_named_and_mika_owners: hidden output is absent and stale revision results reject	src/wasm/src/project.rs::document_runtime_tree -> Typed document output capture through document_runtime_tree replacement	route:wasm.document-capture; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-store-cache; module-store-transfer; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; interactive-cache; bundle-payload; browser-loader; browser-features; old-formatter; cli-style-sheets; root-parser-exports; runtime-tree-loading; old-engine-mechdown; wasm-repl-transfer; cli-repl-mika-presentation	S7A canonical capture/rendering qualification	prepared	2f3a7a97f5afbecab1fbcd475574c862c88daf26	pass
wasm.initial-repl-source	A	WasmDocumentBootstrap::initial_repl_source from retained revision	SourceDocument	trimmed at frozen route; proposed canonical retained source is raw complete revision; explicit submit declares finality	format-tree-fallback; stale detached payload rejected; no format-and-reparse fallback	mech-wasm:browser_project_core; isolated profile plus full distribution	canonical_browser_source_preserves_exact_text_and_transactional_revisions: whitespace/CRLF/Unicode source and accepted replacements preserved	canonical_browser_source_preserves_exact_text_and_transactional_revisions: malformed replacement leaves accepted revision unchanged	src/wasm/src/project.rs::impl WasmDocumentBootstrap::initial_repl_source -> WasmDocumentBootstrap::initial_repl_source from retained revision	route:wasm.initial-repl-source; source-tree-apis; parser-nom; legacy-lowering; prototype-selection; prototype-fragment; prototype-fragment-exports; parser-exports; syntax-features; old-core-nodes; prototype-document; prototype-mech; prototype-mechdown; source-index; source-index-helpers; module-cache; module-store-cache; module-store-transfer; module-builder-transfer; workspace-cache; workspace-load-transfer; runtime-features; compiler-tree-apis; old-engine-source; source-container; interactive-cache; bundle-payload; browser-loader; browser-features; old-formatter; cli-style-sheets; root-parser-exports; runtime-tree-loading; old-engine-mechdown; wasm-repl-transfer; cli-repl-mika-presentation	B bundle admission contract	prepared	2f3a7a97f5afbecab1fbcd475574c862c88daf26	pass
