removal-id	kind	source-path	surface	preparation-owner	c-action	test-disposition	replacement-contract	blocker	status	evidence-sha	evidence-result	completion-action
nom-module:patterns	implementation	src/syntax/src/patterns.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:state_machines	implementation	src/syntax/src/state_machines.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:statements	implementation	src/syntax/src/statements.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:structures	implementation	src/syntax/src/structures.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
nom-module:submission	implementation	src/syntax/src/submission.rs	retiring direct-rule recognizer or old-tree consumer	A	physically delete and remove crate-root module/export	retarget	canonical document grammar/typed syntax; renderer supplied by S7A	migrate maintained assertions before acceptance	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
old-core-nodes	public-api	src/core/src/nodes.rs	Program and retired source AST nodes; downstream public type consumers	B	delete retired AST after all compiler/config/render dependencies removed	retarget	canonical typed syntax and semantic/artifact types	audit individual shared SourceRange/Token-like values before deletion	inventoried	pending	deletion rehearsal not yet qualified	delete-path
old-engine-mechdown	api	src/engine/src/mechdown.rs	old Program/section annotation interpreter projection	B	remove old document AST visitors after canonical semantic qualification	retarget	maintained placement/annotation semantics remain with canonical execution owner	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	delete-path
old-engine-source	implementation	src/engine/src/interpreter/mod.rs	old AST interpreter source interfaces and transitive visitors	B	remove source-lowering paths after semantic ownership closure; retain runtime owners	retarget	source_semantics and current resident runtime	S4 semantics; static-symbol and compute interfaces	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
old-formatter	implementation	src/syntax/src/formatter.rs	Program formatter and HTML tree serialization	A	delete after qualified canonical renderer routing	retarget	S7A canonical rendering	S7A renderer unpushed/unqualified at baseline	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
parser-exports	public-api	src/syntax/src/lib.rs	parse, ParseString, ParserError and retiring rule modules/glob exports	A	remove exports; expose canonical document APIs	retarget	TextSnapshot; DocumentStream; DocumentSyntax	downstream compilation rehearsal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
parser-nom	implementation	src/syntax/src/parser.rs	Nom parser and direct-rule modules/reexports	A	delete after all routes switched	retarget	canonical parser and typed syntax	27 routes still shipping	removed	1450e54a219e8245eedbb4f3aed9775505814431	pass	delete-path
prototype-document	implementation	src/syntax/src/document/parser/document.rs	prototype document recognizer	A	delete after prototype test assertions are retargeted	retarget	canonical document/grammar entries and retained canonical sessions	prototype APIs are outside the frozen Nom call census; separate absence proof required	inventoried	pending	not yet removed in first C draft	delete-path
prototype-fragment	public-api	src/syntax/src/document/parser/fragment.rs	parse_fragment; FragmentKind non-grammar variants; prototype lexical mode and owner dispatch	A	remove prototype fragment routes; retain canonical grammar fragment contract	retarget	canonical grammar fragments and typed canonical source entries	retarget direct document-fragment tests and keep grammar fragment assertions	inventoried	pending	preparation incomplete	replace-surface
prototype-fragment-exports	public-api	src/syntax/src/document/mod.rs	parse_fragment and FragmentKind/ParseContext/FragmentSnapshot/FenceDelimiter reexports	A	remove retired fragment exports and preserve explicitly canonical fragment APIs	retarget	canonical document and grammar entry points	fragment API migration and reduced profiles	inventoried	pending	preparation incomplete	replace-surface
prototype-mech	implementation	src/syntax/src/document/parser/mech.rs	prototype Mech recognizer	A	delete prototype owner; preserve any shared canonical utilities in their existing owners	retarget	canonical document/grammar entries and retained canonical sessions	prototype APIs are outside the frozen Nom call census; separate absence proof required	inventoried	pending	not yet removed in first C draft	delete-path
prototype-mechdown	implementation	src/syntax/src/document/parser/mechdown.rs	prototype Mechdown recognizer	A	delete prototype owner; preserve shared recovery utilities required by canonical parsing	retarget	canonical document/grammar entries and retained canonical sessions	prototype APIs are outside the frozen Nom call census; separate absence proof required	inventoried	pending	not yet removed in first C draft	delete-path
prototype-selection	implementation	src/syntax/src/document/parser/mod.rs	ParserImplementation::Prototype; parse_syntax selector; parse_document; parse_document_with_ids	A	remove prototype route and parser selector; canonical entry points call their owners directly	retarget	canonical document/grammar entries and retained canonical sessions	prototype APIs are outside the frozen Nom call census; separate absence proof required	inventoried	pending	not yet removed in first C draft	replace-surface
root-parser-exports	api	src/lib.rs	root syntax alias and grouped parser/rule/error/formatter reexports	A	remove retiring root reexports; preserve canonical syntax namespace	retarget	canonical public document API	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
route:bundle-web.project	route	src/bundle_web.rs	bundle_web_project	B	apply reviewed canonical entry point	retarget	bundle_web_project canonical render/artifact publication and real loader	S7A renderer and B artifact loader	routed	pending	canonical bundle source formatting and execution; deletion qualification pending	replace-surface
route:cli.compute-inline	route	src/cli/compute.rs	compile_inline_compute_application	B	apply reviewed canonical entry point	retarget	compile_inline_compute_application through canonical mixed compiler	S4 mixed-compute semantic coverage	routed	pending	canonical route installed; product qualification remains open	replace-surface
route:cli.format	route	src/cli/commands/format/mod.rs	run	A	apply reviewed canonical entry point	retarget	Canonical document renderer through format::run	S7A complete canonical text/HTML renderer	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:cli.run-classification	route	src/cli/run/mod.rs	parses_as_executable_run_source	A	apply reviewed canonical entry point	retarget	DocumentSyntax::contains_executable_source through parses_as_executable_run_source	none	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:engine.frozen-ekf	route	src/engine/src/efficacy/ekf/closure.rs	compile_frozen_ekf_product	B	apply reviewed canonical entry point	retarget	compile_frozen_ekf_product through canonical source frontend	S4 semantics and S6 activation	routed	pending	canonical route installed; product qualification remains open	replace-surface
route:runtime.config-profile	route	src/runtime/src/config/profile/mod.rs	parse_config_document	B	apply reviewed canonical entry point	retarget	parse_config_document through maintained canonical configuration boundary	S4 configuration semantic boundary	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.interactive-clear	route	src/runtime/src/interactive.rs	impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::clear_variables	B	apply reviewed canonical entry point	retarget	ResidentReplSession::clear_variables through canonical source edits	B interactive compiler	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.interactive-replace	route	src/runtime/src/interactive.rs	impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::replace_source_preserving	B	apply reviewed canonical entry point	retarget	ResidentReplSession::replace_source_preserving through canonical session	B interactive compiler	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.interactive-reset	route	src/runtime/src/interactive.rs	impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::reset	B	apply reviewed canonical entry point	retarget	ResidentReplSession::reset with empty canonical document	B interactive compiler	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.interactive-submit	route	src/runtime/src/interactive.rs	impl <F:ResidentReplRuntimeFactory>ResidentReplSession<F>::submit_prepared_entry	B	apply reviewed canonical entry point	retarget	ResidentReplSession::submit_finished_stream and shared submit_prepared_entry	S7B final qualification and B interactive compiler	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.module-index	route	src/runtime/src/runtime/module/mod.rs	source_index_for_module_record_source	A	apply reviewed canonical entry point	retarget	CanonicalDocumentIndex::from_document through source_index_for_module_record_source	S7A usable declaration bindings	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.program-artifact	route	src/runtime/src/runtime/program/compiler.rs	impl ProgramCompiler::compile_source_artifact	B	apply reviewed canonical entry point	retarget	ProgramCompiler::compile_source_artifact through canonical compiler	S4 compiler handoffs	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.program-compile	route	src/runtime/src/runtime/program/compiler.rs	impl <'a>ProgramCompilerView<'a>::compile_source	B	apply reviewed canonical entry point	retarget	ProgramCompilerView::compile_source through canonical compiler	S4 declaration semantics	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.program-declaration-tree	route	src/runtime/src/runtime/program/compiler.rs	declaration_tree	B	apply reviewed canonical entry point	retarget	canonical declaration partition in ProgramCompiler mixed compilation	S4 mixed-compute and declaration semantics	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.program-executable-tree	route	src/runtime/src/runtime/program/compiler.rs	executable_tree	B	apply reviewed canonical entry point	retarget	canonical executable partition in ProgramCompiler	S4/S7A scope handoffs	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.program-interactive	route	src/runtime/src/runtime/program/compiler.rs	impl <'a>ProgramCompilerView<'a>::compile_interactive_source	B	apply reviewed canonical entry point	retarget	ProgramCompilerView::compile_interactive_source through canonical compiler	S4 observable compiler interfaces	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.program-source-tree	route	src/runtime/src/runtime/program/compiler.rs	source_tree	A	apply reviewed canonical entry point	retarget	SourceDocument through retained compiler source records	B compiler source interfaces	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.resolver-file	route	src/runtime/src/resolver/file.rs	impl SourceResolver for FileSourceResolver::resolve	A	apply reviewed canonical entry point	retarget	FileSourceResolver::resolve with SourceDocument and CanonicalDocumentIndex	S7A usable declaration bindings	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.resolver-memory-insert	route	src/runtime/src/resolver/memory.rs	impl InMemorySourceResolver::insert_string	A	apply reviewed canonical entry point	retarget	InMemorySourceResolver::insert_string with SourceDocument strict admission	S7A usable declaration bindings	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:runtime.resolver-memory-with	route	src/runtime/src/resolver/memory.rs	impl InMemorySourceResolver::with_string	A	apply reviewed canonical entry point	retarget	InMemorySourceResolver::with_string with retained diagnostics	none	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:serve.workspace-render	route	src/serve.rs	impl ServerSourceRegistry::sync_workspace_snapshot	B	apply reviewed canonical entry point	retarget	ServerSourceRegistry::sync_workspace_snapshot canonical render/publication	S7A renderer and B artifact loader	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:wasm.document-capture	route	src/wasm/src/project.rs	document_runtime_tree	A	apply reviewed canonical entry point	retarget	Typed document output capture through document_runtime_tree replacement	S7A canonical capture/rendering qualification	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:wasm.initial-repl-source	route	src/wasm/src/project.rs	impl WasmDocumentBootstrap::initial_repl_source	A	apply reviewed canonical entry point	retarget	WasmDocumentBootstrap::initial_repl_source from retained revision	B bundle admission contract	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:wasm.interactive-tree	route	src/wasm/src/project.rs	impl WasmDocumentBootstrap::interactive_tree	B	apply reviewed canonical entry point	retarget	WasmDocumentBootstrap interactive canonical source compilation	B canonical program compiler	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:wasm.mixed-compute-source	route	src/wasm/src/mixed_compute.rs	impl WasmMixedComputeProject::from_source	B	apply reviewed canonical entry point	retarget	WasmMixedComputeProject::from_source through canonical mixed compiler	S4 mixed-compute and B loader	routed	pending	canonical route installed; product qualification remains open	replace-surface
route:wasm.repl-format	route	src/wasm/src/project.rs	document::impl WasmDocument::repl_format_source	A	apply reviewed canonical entry point	retarget	WasmDocument::repl_format_source through canonical renderer	S7A complete canonical renderer	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
route:wasm.repl-load-documentation	route	src/wasm/src/project.rs	document::impl WasmDocument::repl_load_documentation	B	apply reviewed canonical entry point	retarget	WasmDocument::repl_load_documentation canonical render and submission	S7A renderer and B browser execution	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
runtime-features	feature	src/runtime/Cargo.toml	resident-routing-source -> mech-syntax/formatter and source compiler edges	B	replace dependencies on removed formatter/AST	retarget	isolated source/runtime and distributions	B product profile proof	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
runtime-tree-loading	api	src/runtime/src/runtime/program/loading.rs	load_tree_program; load_interactive_tree_program; compile_tree and compile_interactive_tree handoffs	B	replace public tree-loading APIs and compiler handoffs with retained document loading	retarget	preserve activation, interactive output and failed-load rollback through runtime program tests	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
source-container	public-api	src/core/src/lib.rs	MechSourceCode::Program(Vec<MechSourceCode>)	B	review source-container contract; do not confuse with nodes::Program AST	retain-unchanged	source asset grouping may remain if still needed	explicit API decision required; not automatic name-based deletion	inventoried	pending	deletion rehearsal not yet qualified	retain-verified
source-index	public-api	src/runtime/src/resolver/index.rs	SourceIndex::from_program and recursive old-node visitors	A	remove old-node indexing; retain index DTOs and canonical projection	retarget	CanonicalDocumentIndex and existing resolver contracts	usable binding witness upstream S7A	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
source-index-helpers	implementation	src/runtime/src/resolver/ast.rs	old AST source projection helpers	A	delete after canonical callers own projections	retarget	canonical typed roles	transitive runtime clients	inventoried	pending	deletion rehearsal not yet qualified	delete-path
source-tree-apis	public-api	src/runtime/src/resolver/mod.rs	ResolvedSource.syntax_tree; with_syntax_tree; replace_syntax_tree	A	replace Program cache with retained SourceDocument; remove tree setters	retarget	one retained canonical source owner	compiler and browser transitive clients	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
syntax-features	feature	src/syntax/Cargo.toml	nom dependency and parser/formatter feature coupling	A	remove only retired edges; retain canonical feature behavior	retarget	isolated full/base/reduced/no_std profiles	C cargo metadata and compilation proof	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:hosts/gpu/src/batched/mod.rs	test	hosts/gpu/src/batched/mod.rs	direct retiring parser caller or embedded test helper	B	retarget retired interface; preserve maintained behavior	retarget	GPU batched source compilation and maintained kernel assertions	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:hosts/gpu/tests/parallel_ekf.rs	test	hosts/gpu/tests/parallel_ekf.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:hosts/gpu/tests/particle_source.rs	test	hosts/gpu/tests/particle_source.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/src/expressions/tests/matrix_selection.rs	test	src/engine/src/expressions/tests/matrix_selection.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/src/expressions/tests/structural_access.rs	test	src/engine/src/expressions/tests/structural_access.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/src/expressions/tests/variables.rs	test	src/engine/src/expressions/tests/variables.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/src/integrity.rs	test	src/engine/src/integrity.rs	direct retiring parser caller or embedded test helper	B	retarget retired interface; preserve maintained behavior	retarget	maintained planning and integrity assertions	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/engine/src/interpreter/tests/checkpoint.rs	test	src/engine/src/interpreter/tests/checkpoint.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/src/program/compiler_planning.rs	test	src/engine/src/program/compiler_planning.rs	direct retiring parser caller or embedded test helper	B	retarget retired interface; preserve maintained behavior	retarget	test planning helper and callers use canonical planning with services	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/engine/src/program/document_outputs.rs	test	src/engine/src/program/document_outputs.rs	direct retiring parser caller or embedded test helper	B	retarget retired interface; preserve maintained behavior	retarget	typed document output bindings and activation assertions	canonical consumer integration and assertion-level migration	inventoried	pending	preparation incomplete	replace-surface
test:src/engine/src/statements/tests/activation_scope.rs	test	src/engine/src/statements/tests/activation_scope.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/src/statements/tests/context.rs	test	src/engine/src/statements/tests/context.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/src/statements/tests/op_assign.rs	test	src/engine/src/statements/tests/op_assign.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/src/statements/tests/scheduling.rs	test	src/engine/src/statements/tests/scheduling.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
test:src/engine/src/statements/tests/variable_assign.rs	test	src/engine/src/statements/tests/variable_assign.rs	source assertions or candidate source/AST dependency found by textual scan	B	retarget affected assertions; preserve maintained behavior	retarget	canonical consumer/semantic expectations; never old-parser equivalence	review each assertion before removal	inventoried	pending	deletion rehearsal not yet qualified	replace-surface
