component-id	component-size	recursive	members	outgoing-unported-components	outgoing-ported-rules
SCC-0269	1	false	parse-repl-command	SCC-0057|SCC-0060|SCC-0061|SCC-0063|SCC-0095|SCC-0168|SCC-0208|SCC-0210|SCC-0272|SCC-0277|SCC-0285|SCC-0309|SCC-0336|SCC-0350|SCC-0391	colon
SCC-0272	1	false	plan-rpl	none	none
SCC-0277	1	false	profile-rpl	none	none
SCC-0278	1	false	program	SCC-0030|SCC-0367	whitespace0
SCC-0285	1	false	quit-rpl	none	none
SCC-0299	1	false	repl-identifier	none	none
SCC-0300	1	false	right-alignment	none	colon|dash
SCC-0309	1	false	save-rpl	none	none
SCC-0318	1	false	slice-ref	SCC-0001	identifier|prefixed-context-path
SCC-0334	1	false	statement	SCC-0001|SCC-0083|SCC-0110|SCC-0138|SCC-0189|SCC-0193|SCC-0256|SCC-0374|SCC-0386	context-declaration|export-declaration|import-declaration
SCC-0336	1	false	step-rpl	none	hashtag
SCC-0350	1	false	symbols-rpl	none	none
SCC-0354	1	false	table-column	SCC-0001	comma|space-tab0|table-separator
SCC-0367	1	false	title	SCC-0368	equal|new-line|text|whitespace0
SCC-0368	1	false	title-front-matter	SCC-0002	colon|equal|identifier|new-line|space-tab0|whitespace0
SCC-0374	1	false	tuple-destructure	SCC-0001	define-operator|identifier|left-parenthesis|list-separator|right-parenthesis
SCC-0376	1	false	ul-subtitle	SCC-0002	alpha-token|dash|digit-token|new-line|period|space-tab0|whitespace0
SCC-0386	1	false	variable-assign	SCC-0001|SCC-0318	assign-operator|define-operator
SCC-0391	1	false	whos-rpl	SCC-0299	none
