grammar-name	accepted-source-json	node-policy	semantic-status	spec-location
strong	"**x**"	node:Strong	syntax-only	docs/design/specification.mec::strong
sublist	"- x\n"	node:Sublist	syntax-only	docs/design/specification.mec::sublist
subtitle	"(1)x\n"	node:Subtitle	syntax-only	docs/design/specification.mec::subtitle
success-block	"(+)>x\n"	node:SuccessBlock	syntax-only	docs/design/specification.mec::success-block
title	"x\n="	node:Title	syntax-only	docs/design/specification.mec::title
title-front-matter	"="	node:TitleFrontMatter	syntax-only	docs/design/specification.mec::title-front-matter
tuple-destructure	"(x):=1 + 2"	node:TupleDestructure	syntax-only	docs/design/specification.mec::tuple-destructure
ul-subtitle	"1.x\n-\n"	node:UlSubtitle	syntax-only	docs/design/specification.mec::ul-subtitle
unchecked-item	"-[]x\n"	node:UncheckedItem	syntax-only	docs/design/specification.mec::unchecked-item
underline	"_x_"	node:Underline	syntax-only	docs/design/specification.mec::underline
unordered-list	"- x\n"	node:UnorderedList	syntax-only	docs/design/specification.mec::unordered-list
unordered-list-item	"- x\n"	node:UnorderedListItem	syntax-only	docs/design/specification.mec::unordered-list-item
variable-assign	"x=1 + 2"	node:VariableAssign	syntax-only	docs/design/specification.mec::variable-assign
warning-block	"(!)>x\n"	node:WarningBlock	syntax-only	docs/design/specification.mec::warning-block
